counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,217095,ud,2,4,4.5763804387534925,1,0,0,0,2,8,6.0
2,217104,ud,2,5,10.394985627462738,2,0,0,0,3,8,6.0
3,217068,ud,2,1,9.236239655217245,1,0,0,0,2,8,6.0
4,217077,ud,2,2,7.661039842159851,2,0,0,0,3,8,6.0
5,217086,ud,2,3,5.387130195084595,1,0,0,0,2,8,6.0
6,216976,cd,2,3,12.58962808899571,0,0,3,1,3,8,6.0
7,216984,cd,2,5,21.9284257354175,0,0,5,1,5,8,6.0
8,216994,cd,2,2,7.615778003210266,0,0,2,1,2,8,6.0
9,217001,cd,2,6,20.838377243965827,0,0,6,1,6,8,6.0
10,217012,cd,2,4,18.105925648641833,0,0,4,1,4,8,6.0
11,217021,cd,2,7,15.278312035349014,0,0,3,2,3,8,6.0
12,217029,cd,2,1,7.94664677687637,0,0,2,1,2,8,6.0
