counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,235781,ud,2,1,9.236239655217247,1,0,0,0,2,8,7.0
2,235790,ud,2,2,7.661039842159853,2,0,0,0,3,8,7.0
3,235799,ud,2,5,5.387130195084595,1,0,0,0,2,8,7.0
4,235808,ud,2,4,4.5763804387534925,1,0,0,0,2,8,7.0
5,235817,ud,2,3,10.394985627462738,2,0,0,0,3,8,7.0
6,235689,cd,2,3,12.589628088995712,0,0,3,1,3,8,7.0
7,235697,cd,2,5,21.928425735417505,0,0,5,1,5,8,7.0
8,235707,cd,2,2,7.615778003210268,0,0,2,1,2,8,7.0
9,235714,cd,2,6,20.838377243965827,0,0,6,1,6,8,7.0
10,235725,cd,2,4,18.105925648641833,0,0,4,1,4,8,7.0
11,235734,cd,2,7,15.278312035349014,0,0,3,2,3,8,7.0
12,235742,cd,2,1,7.94664677687637,0,0,2,1,2,8,7.0
