counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,22300,ud,2,2,7.760226188744166,2,0,0,0,3,9,5.0
2,22309,ud,2,4,4.528170374744902,1,0,0,0,2,9,5.0
3,22318,ud,2,5,10.02509697202952,2,0,0,0,3,9,5.0
4,22330,ud,2,3,5.084602550006874,1,0,0,0,2,9,5.0
5,22342,ud,2,1,10.386782650043024,2,0,0,0,3,9,5.0
6,22221,cd,2,3,12.41689738535893,0,0,3,1,3,9,5.0
7,22229,cd,2,5,19.784006447358372,0,0,5,1,5,9,5.0
8,22239,cd,2,2,7.853162343584782,0,0,2,1,2,9,5.0
9,22246,cd,2,6,14.774704323484901,0,0,3,2,3,9,5.0
10,22254,cd,2,1,7.386165085119291,0,0,2,1,2,9,5.0
11,22261,cd,2,4,12.66165470569343,0,0,4,1,4,9,5.0
