counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,40137,ud,2,2,10.621646204104756,2,0,0,0,3,9,6.0
2,40146,ud,2,1,7.706021158891718,2,0,0,0,3,9,6.0
3,40155,ud,2,4,4.524186486236339,1,0,0,0,2,9,6.0
4,40164,ud,2,5,10.175765066688674,2,0,0,0,3,9,6.0
5,40176,ud,2,3,5.109316161141734,1,0,0,0,2,9,6.0
6,40060,cd,2,2,7.616998489263785,0,0,2,1,2,9,6.0
7,40067,cd,2,4,15.562252712856132,0,0,5,1,5,9,6.0
8,40077,cd,2,5,23.100576321765274,0,0,7,1,7,9,6.0
9,40089,cd,2,1,10.47143580903206,0,0,2,1,2,9,6.0
10,40096,cd,2,3,12.904791629403308,0,0,4,1,4,9,6.0
11,40105,cd,2,6,15.063736993237825,0,0,3,2,3,9,6.0
