counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,60833,ud,2,1,7.900910271065881,2,0,0,0,3,9,6.0
2,60842,ud,2,4,5.5549175758657,1,0,0,0,2,9,6.0
3,60851,ud,2,3,4.64354685781075,1,0,0,0,2,9,6.0
4,60860,ud,2,5,10.712370874421225,2,0,0,0,3,9,6.0
5,60875,ud,2,2,10.848843701949235,2,0,0,0,3,9,6.0
6,60703,cd,2,3,8.193631120518205,0,0,2,1,2,9,6.0
7,60710,cd,2,4,12.827088072220937,0,0,3,1,3,9,6.0
8,60718,cd,2,8,22.429295624290667,0,0,5,1,5,9,6.0
9,60728,cd,2,2,8.03905083073397,0,0,2,1,2,9,6.0
10,60735,cd,2,9,21.667625736368393,0,0,6,1,6,9,6.0
11,60746,cd,2,6,18.692893266457567,0,0,4,1,4,9,6.0
12,60755,cd,2,10,15.77668923524437,0,0,3,2,3,9,6.0
13,60763,cd,2,1,7.832648324419079,0,0,2,1,2,9,6.0
14,60770,cd,2,7,16.396904869230355,0,0,5,1,5,9,6.0
15,60780,cd,2,5,13.480700838017158,0,0,4,1,4,9,6.0
