counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,81701,ud,2,2,10.848843701949239,2,0,0,0,3,9,7.0
2,81713,ud,2,1,7.900910271065882,2,0,0,0,3,9,7.0
3,81722,ud,2,4,5.5549175758657015,1,0,0,0,2,9,7.0
4,81731,ud,2,3,4.64354685781075,1,0,0,0,2,9,7.0
5,81740,ud,2,5,10.712370874421229,2,0,0,0,3,9,7.0
6,81571,cd,2,3,8.193631120518207,0,0,2,1,2,9,7.0
7,81578,cd,2,4,12.82708807222094,0,0,3,1,3,9,7.0
8,81586,cd,2,8,22.429295624290674,0,0,5,1,5,9,7.0
9,81596,cd,2,2,8.039050830733972,0,0,2,1,2,9,7.0
10,81603,cd,2,9,21.667625736368397,0,0,6,1,6,9,7.0
11,81614,cd,2,6,18.692893266457567,0,0,4,1,4,9,7.0
12,81623,cd,2,10,15.776689235244373,0,0,3,2,3,9,7.0
13,81631,cd,2,1,7.83264832441908,0,0,2,1,2,9,7.0
14,81638,cd,2,7,16.396904869230355,0,0,5,1,5,9,7.0
15,81648,cd,2,5,13.480700838017162,0,0,4,1,4,9,7.0
