counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,142212,ud,2,1,9.236239655217247,1,0,0,0,2,8,7.0
2,142221,ud,2,2,7.661039842159853,2,0,0,0,3,8,7.0
3,142230,ud,2,4,5.387130195084595,1,0,0,0,2,8,7.0
4,142239,ud,2,3,4.5763804387534925,1,0,0,0,2,8,7.0
5,142248,ud,2,5,10.394985627462738,2,0,0,0,3,8,7.0
6,142120,cd,2,3,12.589628088995712,0,0,3,1,3,8,7.0
7,142128,cd,2,5,21.928425735417505,0,0,5,1,5,8,7.0
8,142138,cd,2,2,7.615778003210268,0,0,2,1,2,8,7.0
9,142145,cd,2,6,20.838377243965827,0,0,6,1,6,8,7.0
10,142156,cd,2,4,18.105925648641833,0,0,4,1,4,8,7.0
11,142165,cd,2,7,15.278312035349014,0,0,3,2,3,8,7.0
12,142173,cd,2,1,7.946646776876369,0,0,2,1,2,8,7.0
