counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,145140,ud,2,2,16.910583546704316,1,0,0,0,2,46,12.0
2,145149,ud,2,1,19.12517902818711,2,0,0,0,3,46,12.0
3,145078,hl,1,2,7.410513350271679,0,24,0,0,25,46,12.0
4,145111,hl,2,1,54.81810713574379,0,21,0,0,19,46,12.0
5,144946,cd,1,8,2.1778479641012938,0,0,3,2,3,46,12.0
6,144954,cd,1,9,2.229771501879133,0,0,4,2,4,46,12.0
7,144963,cd,1,1,2.13860150909984,0,0,4,1,4,46,12.0
8,144972,cd,1,5,1.4651868423023067,0,0,2,2,2,46,12.0
9,144979,cd,1,7,1.2863991564127126,0,0,3,2,3,46,12.0
10,144987,cd,1,4,1.064858432194224,0,0,2,2,2,46,12.0
11,144994,cd,2,6,24.04448943754189,0,0,3,2,3,46,12.0
12,145002,cd,2,3,18.76042696417374,0,0,2,2,2,46,12.0
13,145009,cd,2,2,28.901856684053847,0,0,2,2,2,46,12.0
