counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,159705,ud,2,2,16.91191127969517,1,0,0,0,2,44,12.0
2,159714,ud,2,1,19.179492927421023,2,0,0,0,3,44,12.0
3,159645,hl,1,2,7.097868616086756,0,22,0,0,23,44,12.0
4,159676,hl,2,1,55.06546040795076,0,21,0,0,19,44,12.0
5,159500,cd,1,2,1.2611545035531906,0,0,2,1,2,44,12.0
6,159507,cd,1,4,1.9728397106244093,0,0,3,1,3,44,12.0
7,159515,cd,1,5,2.0511453255590184,0,0,4,1,4,44,12.0
8,159524,cd,1,1,1.4370423220444426,0,0,2,1,2,44,12.0
9,159531,cd,1,3,1.2504133120569516,0,0,3,1,3,44,12.0
10,159539,cd,1,8,1.0865438521347452,0,0,2,3,2,44,12.0
11,159546,cd,2,7,29.0355778941189,0,0,2,3,2,44,12.0
12,159553,cd,2,9,20.997348621403226,0,0,2,5,2,44,12.0
13,159560,cd,2,6,18.767251880565585,0,0,2,2,2,44,12.0
