counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,174093,ud,2,3,17.055584281417996,1,0,0,0,2,44,13.0
2,174102,ud,2,2,16.455415735338576,1,0,0,0,2,44,13.0
3,174111,ud,2,1,15.95221708924534,1,0,0,0,2,44,13.0
4,174033,hl,1,2,7.038832390796532,0,22,0,0,23,44,13.0
5,174064,hl,2,1,55.74798090922909,0,21,0,0,19,44,13.0
6,173893,cd,1,4,2.065813673740654,0,0,4,1,4,44,13.0
7,173902,cd,1,3,2.010425217551069,0,0,3,1,3,44,13.0
8,173910,cd,1,5,2.2683321204495765,0,0,5,1,5,44,13.0
9,173920,cd,1,1,1.4680010267997683,0,0,2,1,2,44,13.0
10,173927,cd,1,2,1.2909840966056447,0,0,3,1,3,44,13.0
11,173935,cd,1,8,1.0750049382209268,0,0,2,3,2,44,13.0
12,173942,cd,2,9,21.171740552039523,0,0,2,5,2,44,13.0
13,173949,cd,2,7,29.394843746135045,0,0,2,3,2,44,13.0
14,173956,cd,2,6,18.965006167694213,0,0,2,2,2,44,13.0
