counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,220223,ud,2,2,17.525795453023488,1,0,0,0,2,46,13.0
2,220232,ud,2,1,20.096563661135555,2,0,0,0,3,46,13.0
3,220161,hl,1,1,7.027903180415233,0,22,0,0,23,46,13.0
4,220192,hl,2,2,59.01336402899826,0,23,0,0,21,46,13.0
5,220009,cd,1,2,1.2390294102435178,0,0,2,1,2,46,13.0
6,220016,cd,1,6,2.548867340099547,0,0,6,1,6,46,13.0
7,220027,cd,1,5,2.464335032490859,0,0,5,1,5,46,13.0
8,220037,cd,1,4,1.3567686360279958,0,0,3,1,3,46,13.0
9,220045,cd,1,1,1.384420329970698,0,0,2,1,2,46,13.0
10,220052,cd,1,9,1.0651791397006267,0,0,2,3,2,46,13.0
11,220059,cd,2,10,30.85233987895591,0,0,2,5,2,46,13.0
12,220066,cd,2,8,23.988520591645823,0,0,3,2,3,46,13.0
13,220074,cd,2,7,19.789269564554754,0,0,2,2,2,46,13.0
14,220081,cd,2,3,34.39099654484787,0,0,3,1,3,46,13.0
