counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,251653,ud,2,2,18.773617935199326,1,0,0,0,2,47,13.0
2,251662,ud,2,1,22.237460629377516,3,0,0,0,4,47,13.0
3,251590,hl,1,1,6.945224550949648,0,22,0,0,23,47,13.0
4,251621,hl,2,2,62.5473329087319,0,24,0,0,22,47,13.0
5,251444,cd,1,5,2.581121322025153,0,0,6,1,6,47,13.0
6,251455,cd,1,4,2.5148248181118706,0,0,5,1,5,47,13.0
7,251465,cd,1,6,2.7851078778188953,0,0,7,1,7,47,13.0
8,251477,cd,1,3,1.442218933875549,0,0,3,1,3,47,13.0
9,251485,cd,1,2,1.3995219450207852,0,0,2,1,2,47,13.0
10,251492,cd,1,8,1.046569765848202,0,0,2,3,2,47,13.0
11,251499,cd,2,9,23.649213970245448,0,0,2,5,2,47,13.0
12,251506,cd,2,7,31.275589644087262,0,0,2,3,2,47,13.0
13,251513,cd,2,1,19.970966029160532,0,0,2,1,2,47,13.0
