counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,283795,ud,2,1,21.944735238887432,3,0,0,0,4,27,10.0
2,283804,ud,2,2,17.546394144720615,1,0,0,0,2,27,10.0
3,283767,hl,2,1,59.06981253800013,0,20,0,0,17,27,10.0
4,283651,cd,2,9,24.653131286874515,0,0,3,1,3,27,10.0
5,283659,cd,2,14,30.474712622696888,0,0,2,3,2,27,10.0
6,283666,cd,2,6,17.32765056341659,0,0,2,1,2,27,10.0
7,283565,cd,1,8,1.95205414565474,0,0,3,1,3,27,10.0
8,283573,cd,1,11,2.121433346402414,0,0,4,1,4,27,10.0
9,283582,cd,1,5,1.2697484965261752,0,0,2,1,2,27,10.0
10,283589,cd,1,12,2.7788800596119163,0,0,5,1,5,27,10.0
11,283599,cd,1,4,1.5194990099872938,0,0,2,1,2,27,10.0
12,283606,cd,1,10,2.2759500499976717,0,0,4,1,4,27,10.0
13,283615,cd,1,7,1.66303109895148,0,0,3,1,3,27,10.0
14,283623,cd,1,3,1.209741069480929,0,0,2,1,2,27,10.0
15,283630,cd,1,2,1.1237587122080854,0,0,2,1,2,27,10.0
16,283637,cd,1,13,1.1346508905256125,0,0,2,3,2,27,10.0
17,283644,cd,2,1,19.64555997257275,0,0,2,1,2,27,10.0
