counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,10328,ud,2,1,16.505927033493347,1,0,0,0,2,48,11.0
2,10337,ud,2,2,15.336836130110258,1,0,0,0,2,48,11.0
3,10265,hl,1,2,7.797383121574762,0,28,0,0,27,48,11.0
4,10301,hl,2,1,47.949543013145686,0,19,0,0,18,48,11.0
5,10131,cd,1,5,1.249959837044551,0,0,2,2,2,48,11.0
6,10138,cd,1,6,1.2718681497129243,0,0,3,2,3,48,11.0
7,10146,cd,1,3,2.6403655402877058,0,0,5,1,5,48,11.0
8,10156,cd,1,2,1.2606902147669758,0,0,2,1,2,48,11.0
9,10163,cd,1,4,0.9617157542607538,0,0,2,2,2,48,11.0
10,10170,cd,1,1,1.0339657542607539,0,0,2,1,2,48,11.0
11,10177,cd,2,8,18.746250926215307,0,0,2,5,2,48,11.0
12,10184,cd,2,7,28.43334836749856,0,0,2,4,2,48,11.0
