counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,301003,ud,2,2,17.9777141150182,1,0,0,0,2,26,12.0
2,301012,ud,2,1,22.738820068635256,3,0,0,0,4,26,12.0
3,300974,hl,2,1,65.17584453660143,0,21,0,0,18,26,12.0
4,300766,cd,1,13,1.8842361901177924,0,0,2,7,2,26,12.0
5,300773,cd,1,8,2.2389503965339737,0,0,3,1,3,26,12.0
6,300781,cd,1,6,1.6274026729766526,0,0,2,1,2,26,12.0
7,300788,cd,1,5,1.3537381928804977,0,0,2,1,2,26,12.0
8,300795,cd,1,7,1.5766314059717095,0,0,3,1,3,26,12.0
9,300803,cd,1,9,2.1881791295290305,0,0,4,1,4,26,12.0
10,300812,cd,1,4,1.2055361713101211,0,0,2,1,2,26,12.0
11,300819,cd,1,11,1.1261464846098916,0,0,2,3,2,26,12.0
12,300826,cd,1,3,1.1152608306408742,0,0,2,1,2,26,12.0
13,300833,cd,2,12,22.14043300755212,0,0,2,5,2,26,12.0
14,300847,cd,2,10,33.08382020656093,0,0,3,2,3,26,12.0
15,300840,cd,2,2,17.522810568743065,0,0,2,1,2,26,12.0
16,300855,cd,2,1,20.957929448501545,0,0,2,1,2,26,12.0
