counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,340095,ud,2,3,20.28790609066544,1,0,0,0,2,27,14.0
2,340104,ud,2,1,21.111051123830592,2,0,0,0,3,27,14.0
3,340116,ud,2,2,19.4532440050987,1,0,0,0,2,27,14.0
4,340125,ud,2,4,17.50280181003066,1,0,0,0,2,27,14.0
5,340064,hl,2,1,74.3803871678165,0,23,0,0,19,27,14.0
6,339790,cd,1,18,2.2081652676235626,0,0,2,7,2,27,14.0
7,339797,cd,1,12,2.3827532844729937,0,0,3,1,3,27,14.0
8,339805,cd,1,7,1.7647763656710684,0,0,2,1,2,27,14.0
9,339812,cd,1,6,1.839075475777016,0,0,2,1,2,27,14.0
10,339819,cd,1,11,1.8436476505989634,0,0,3,1,3,27,14.0
11,339827,cd,1,14,2.638741825009782,0,0,4,1,4,27,14.0
12,339836,cd,1,5,1.3216569999158645,0,0,2,1,2,27,14.0
13,339843,cd,1,15,3.256718743811707,0,0,5,1,5,27,14.0
14,339853,cd,1,10,2.4570523945789415,0,0,3,1,3,27,14.0
15,339861,cd,1,16,1.1390734656272228,0,0,2,2,2,27,14.0
16,339868,cd,1,4,1.1284074956952177,0,0,2,1,2,27,14.0
17,339875,cd,2,17,35.931603111233414,0,0,2,5,2,27,14.0
18,339882,cd,2,3,19.592778265527574,0,0,2,1,2,27,14.0
19,339889,cd,2,9,24.23698733562504,0,0,3,1,3,27,14.0
20,339897,cd,2,2,19.36190659949335,0,0,2,1,2,27,14.0
21,339904,cd,2,13,41.58489627742803,0,0,4,1,4,27,14.0
22,339913,cd,2,8,27.907000059726894,0,0,3,1,3,27,14.0
23,339921,cd,2,1,23.262790989629426,0,0,2,1,2,27,14.0
