counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,362895,ud,2,3,20.11774170777942,1,0,0,0,2,27,14.0
2,362904,ud,2,1,21.00680050158943,2,0,0,0,3,27,14.0
3,362916,ud,2,2,19.321320125265412,1,0,0,0,2,27,14.0
4,362925,ud,2,4,17.40892916981501,1,0,0,0,2,27,14.0
5,362864,hl,2,1,73.88634804253104,0,23,0,0,19,27,14.0
6,362616,cd,1,11,2.382530456236166,0,0,3,1,3,27,14.0
7,362631,cd,1,16,2.208033699510439,0,0,2,7,2,27,14.0
8,362624,cd,1,7,1.7646057025436073,0,0,2,1,2,27,14.0
9,362638,cd,1,6,1.8389034368905455,0,0,2,1,2,27,14.0
10,362645,cd,1,10,1.8434950914034034,0,0,3,1,3,27,14.0
11,362653,cd,1,13,2.6385495643123433,0,0,4,1,4,27,14.0
12,362662,cd,1,5,1.3215706094126007,0,0,2,1,2,27,14.0
13,362669,cd,1,14,3.2564743180049023,0,0,5,1,5,27,14.0
14,362679,cd,1,9,2.4568281905831046,0,0,3,1,3,27,14.0
15,362687,cd,1,15,1.138967374820587,0,0,2,2,2,27,14.0
16,362694,cd,1,4,1.1283026770985403,0,0,2,1,2,27,14.0
17,362701,cd,2,3,32.98569948619047,0,0,2,1,2,27,14.0
18,362708,cd,2,12,38.633980511874235,0,0,4,1,4,27,14.0
19,362717,cd,2,2,19.460379881095804,0,0,2,1,2,27,14.0
20,362724,cd,2,8,26.600517881543553,0,0,3,1,3,27,14.0
21,362732,cd,2,1,23.065869934155366,0,0,2,1,2,27,14.0
