counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,384659,ud,2,3,20.9913939433983,1,0,0,0,2,27,14.0
2,384668,ud,2,1,21.522387659019945,2,0,0,0,3,27,14.0
3,384680,ud,2,2,19.86977817536302,1,0,0,0,2,27,14.0
4,384689,ud,2,4,17.944322753036833,1,0,0,0,2,27,14.0
5,384628,hl,2,1,75.67786209862884,0,23,0,0,19,27,14.0
6,384374,cd,1,16,2.2051574582706053,0,0,2,7,2,27,14.0
7,384381,cd,1,10,2.3797485213336182,0,0,3,1,3,27,14.0
8,384389,cd,1,7,1.7629964969838066,0,0,2,1,2,27,14.0
9,384396,cd,1,9,2.4537780915845997,0,0,3,1,3,27,14.0
10,384404,cd,1,6,1.8370260672347878,0,0,2,1,2,27,14.0
11,384411,cd,1,8,1.8427840610079445,0,0,3,1,3,27,14.0
12,384419,cd,1,12,2.636986777968341,0,0,4,1,4,27,14.0
13,384428,cd,1,5,1.321372385870749,0,0,2,1,2,27,14.0
14,384435,cd,1,13,3.253738802318153,0,0,5,1,5,27,14.0
15,384445,cd,1,14,1.1366145526315212,0,0,2,2,2,27,14.0
16,384452,cd,1,4,1.1270212079126365,0,0,2,1,2,27,14.0
17,384459,cd,2,15,25.902212830575106,0,0,2,7,2,27,14.0
18,384466,cd,2,3,34.02489780925833,0,0,2,1,2,27,14.0
19,384473,cd,2,11,39.7160147821591,0,0,4,1,4,27,14.0
20,384482,cd,2,2,19.91575198233622,0,0,2,1,2,27,14.0
21,384489,cd,2,1,23.65898129450455,0,0,2,1,2,27,14.0
