counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,428968,ud,2,3,20.916072523560096,1,0,0,0,2,27,14.0
2,428977,ud,2,1,21.445895778624806,2,0,0,0,3,27,14.0
3,428989,ud,2,2,19.798508478985234,1,0,0,0,2,27,14.0
4,428998,ud,2,4,17.89194848894997,1,0,0,0,2,27,14.0
5,428937,hl,2,1,75.52118942609549,0,23,0,0,19,27,14.0
6,428700,cd,1,8,1.6699618505250977,0,0,2,1,2,27,14.0
7,428707,cd,1,10,2.476765399556629,0,0,3,1,3,27,14.0
8,428715,cd,1,12,2.647353967830231,0,0,4,1,4,27,14.0
9,428724,cd,1,7,1.5202276993713388,0,0,2,1,2,27,14.0
10,428731,cd,1,6,1.8924747131639423,0,0,2,1,2,27,14.0
11,428738,cd,1,9,1.7548548343234536,0,0,3,1,3,27,14.0
12,428746,cd,1,5,1.2120192522572482,0,0,2,1,2,27,14.0
13,428753,cd,1,11,2.3391455207161407,0,0,4,1,4,27,14.0
14,428762,cd,1,4,1.0943417502933492,0,0,2,1,2,27,14.0
15,428769,cd,1,13,1.1039143705626682,0,0,2,2,2,27,14.0
16,428783,cd,2,15,25.81652680061704,0,0,2,7,2,27,14.0
17,428776,cd,2,3,19.768278731396787,0,0,2,1,2,27,14.0
18,428790,cd,2,14,37.71463569111014,0,0,3,2,3,27,14.0
19,428798,cd,2,2,19.840707762198342,0,0,2,1,2,27,14.0
20,428805,cd,2,1,23.581398711467312,0,0,2,1,2,27,14.0
