counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,450285,ud,2,1,20.923174738641688,2,0,0,0,3,29,13.0
2,450294,ud,2,3,20.410401756040784,1,0,0,0,2,29,13.0
3,450306,ud,2,2,19.401444054376192,1,0,0,0,2,29,13.0
4,450315,ud,2,4,17.494361803031296,1,0,0,0,2,29,13.0
5,450252,hl,2,1,76.42242500165139,0,25,0,0,21,29,13.0
6,450054,cd,1,10,1.7585773209677864,0,0,3,1,3,29,13.0
7,450062,cd,1,7,1.301892727142823,0,0,2,1,2,29,13.0
8,450069,cd,1,14,3.6169317364545615,0,0,6,1,6,29,13.0
9,450087,cd,1,6,1.0949706435783901,0,0,2,1,2,29,13.0
10,450080,cd,1,16,1.104556988067507,0,0,2,2,2,29,13.0
11,450094,cd,2,5,19.37201998387205,0,0,2,1,2,29,13.0
12,450101,cd,2,9,26.828270828214574,0,0,3,1,3,29,13.0
13,450109,cd,2,13,38.757155933709,0,0,4,1,4,29,13.0
14,450118,cd,2,4,33.28005692023331,0,0,2,1,2,29,13.0
15,450125,cd,2,3,23.01719299155037,0,0,2,1,2,29,13.0
16,450007,cd,1,15,1.679407246164103,0,0,2,2,2,29,13.0
17,450014,cd,1,2,1.9996321347152175,0,0,2,1,2,29,13.0
18,450021,cd,1,8,2.584547516832739,0,0,3,1,3,29,13.0
19,450029,cd,1,12,2.771723603136703,0,0,4,1,4,29,13.0
20,450038,cd,1,1,1.6395622889958903,0,0,2,1,2,29,13.0
21,450045,cd,1,11,2.4847704223137494,0,0,4,1,4,29,13.0
