counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,472453,ud,2,2,19.474241227607973,1,0,0,0,2,29,14.0
2,472462,ud,2,4,17.57851667519842,1,0,0,0,2,29,14.0
3,472471,ud,2,1,20.930372044253993,2,0,0,0,3,29,14.0
4,472480,ud,2,3,20.487494115926218,1,0,0,0,2,29,14.0
5,472420,hl,2,1,76.3512958558553,0,25,0,0,21,29,14.0
6,472170,cd,1,15,1.6792120185436306,0,0,2,2,2,29,14.0
7,472177,cd,1,7,1.9995526778349944,0,0,2,1,2,29,14.0
8,472184,cd,1,10,2.584397613021669,0,0,3,1,3,29,14.0
9,472192,cd,1,12,2.7714574265070926,0,0,4,1,4,29,14.0
10,472201,cd,1,6,1.6394289496419399,0,0,2,1,2,29,14.0
11,472208,cd,1,11,2.484695454238302,0,0,4,1,4,29,14.0
12,472217,cd,1,9,1.758510886160044,0,0,3,1,3,29,14.0
13,472225,cd,1,5,1.3018886953782032,0,0,2,1,2,29,14.0
14,472232,cd,1,13,3.616723931103455,0,0,6,1,6,29,14.0
15,472243,cd,1,14,1.104486057426071,0,0,2,2,2,29,14.0
16,472250,cd,1,4,1.0948997232887194,0,0,2,1,2,29,14.0
17,472257,cd,2,8,28.76546716903428,0,0,3,1,3,29,14.0
18,472265,cd,2,3,23.106601310002887,0,0,2,1,2,29,14.0
19,472279,cd,2,16,35.01141121538098,0,0,2,3,2,29,14.0
20,472272,cd,2,2,19.363565093385212,0,0,2,1,2,29,14.0
21,472286,cd,2,1,19.31515220518378,0,0,2,1,2,29,14.0
