counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,516058,ud,2,3,20.44081164151776,1,0,0,0,2,29,14.0
2,516067,ud,2,1,20.827468579023066,2,0,0,0,3,29,14.0
3,516079,ud,2,2,19.36853666420031,1,0,0,0,2,29,14.0
4,516088,ud,2,4,17.482861097240892,1,0,0,0,2,29,14.0
5,516025,hl,2,1,76.06555156958454,0,25,0,0,21,29,14.0
6,515774,cd,1,15,1.679230492528314,0,0,2,2,2,29,14.0
7,515781,cd,1,7,1.9995811430026387,0,0,2,1,2,29,14.0
8,515788,cd,1,9,2.5844285822665647,0,0,3,1,3,29,14.0
9,515796,cd,1,12,2.771494534999498,0,0,4,1,4,29,14.0
10,515805,cd,1,6,1.6394555691033785,0,0,2,1,2,29,14.0
11,515812,cd,1,11,2.484738896145564,0,0,4,1,4,29,14.0
12,515821,cd,1,8,1.758544087960342,0,0,3,1,3,29,14.0
13,515829,cd,1,5,1.3019137075012641,0,0,2,1,2,29,14.0
14,515836,cd,1,13,3.616777862041684,0,0,6,1,6,29,14.0
15,515847,cd,1,14,1.10450451218392,0,0,2,2,2,29,14.0
16,515854,cd,1,4,1.0949178386557856,0,0,2,1,2,29,14.0
17,515861,cd,2,16,25.11045049171389,0,0,2,7,2,29,14.0
18,515868,cd,2,10,38.70277065436473,0,0,4,1,4,29,14.0
19,515877,cd,2,3,19.284888257654092,0,0,2,1,2,29,14.0
20,515884,cd,2,2,33.254033888562525,0,0,2,1,2,29,14.0
21,515891,cd,2,1,22.965900537078983,0,0,2,1,2,29,14.0
