counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,560223,ud,2,4,20.448333709578005,1,0,0,0,2,29,14.0
2,560214,ud,2,2,21.363608932758304,2,0,0,0,3,29,14.0
3,560235,ud,2,1,19.84995581580529,1,0,0,0,2,29,14.0
4,560244,ud,2,3,17.563086851131736,1,0,0,0,2,29,14.0
5,560181,hl,2,1,78.49772841897176,0,25,0,0,21,29,14.0
6,559935,cd,1,11,1.867490576967998,0,0,3,1,3,29,14.0
7,559950,cd,1,14,3.0171476819550094,0,0,5,1,5,29,14.0
8,559943,cd,1,7,1.3781554578068238,0,0,2,1,2,29,14.0
9,559960,cd,1,6,1.3909579521831301,0,0,2,1,2,29,14.0
10,559967,cd,1,15,3.2017506711212045,0,0,6,1,6,29,14.0
11,559978,cd,1,5,1.6415001859278746,0,0,2,1,2,29,14.0
12,559994,cd,1,10,1.7566028226878392,0,0,3,1,3,29,14.0
13,559985,cd,1,13,2.245937941849013,0,0,4,1,4,29,14.0
14,560009,cd,1,16,1.0444740796706418,0,0,2,2,2,29,14.0
15,560002,cd,1,4,1.0348861894094838,0,0,2,1,2,29,14.0
16,560030,cd,2,9,24.066873016899095,0,0,3,1,3,29,14.0
17,560016,cd,2,3,19.31811312485876,0,0,2,1,2,29,14.0
18,560023,cd,2,2,19.426599884725803,0,0,2,1,2,29,14.0
19,560047,cd,2,17,36.25639428698272,0,0,2,8,2,29,14.0
20,560038,cd,2,12,42.3904210245622,0,0,4,1,4,29,14.0
21,560061,cd,2,8,28.53212418637916,0,0,3,1,3,29,14.0
22,560054,cd,2,1,23.891851054205873,0,0,2,1,2,29,14.0
