counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,584031,ud,2,2,21.275204333365416,2,0,0,0,3,29,13.0
2,584040,ud,2,4,20.41914877370224,1,0,0,0,2,29,13.0
3,584061,ud,2,3,17.50370009639513,1,0,0,0,2,29,13.0
4,584052,ud,2,1,19.74510132167449,1,0,0,0,2,29,13.0
5,583998,hl,2,1,78.1944428954113,0,25,0,0,21,29,13.0
6,583758,cd,1,10,2.3230858615843957,0,0,3,1,3,29,13.0
7,583744,cd,1,15,2.1972604794928836,0,0,2,7,2,29,13.0
8,583751,cd,1,7,1.7086161476180264,0,0,2,1,2,29,13.0
9,583773,cd,1,9,2.4485030211925274,0,0,3,1,3,29,13.0
10,583766,cd,1,6,1.8340333072261583,0,0,2,1,2,29,13.0
11,583789,cd,1,12,2.6340577013131585,0,0,4,1,4,29,13.0
12,583781,cd,1,8,1.8426623185499011,0,0,3,1,3,29,13.0
13,583798,cd,1,13,3.2485274152795274,0,0,5,1,5,29,13.0
14,583822,cd,1,5,1.1247235618467757,0,0,2,1,2,29,13.0
15,583808,cd,1,4,1.3213433563184507,0,0,2,1,2,29,13.0
16,583815,cd,1,14,1.1343165730836424,0,0,2,2,2,29,13.0
17,583838,cd,2,3,33.269575551485296,0,0,2,1,2,29,13.0
18,583829,cd,2,11,39.42138717033288,0,0,4,1,4,29,13.0
19,583852,cd,2,2,19.273216491776598,0,0,2,1,2,29,13.0
20,583845,cd,2,16,25.07242209231431,0,0,2,8,2,29,13.0
21,583859,cd,2,1,23.724327188258815,0,0,2,1,2,29,13.0
