counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,607677,ud,2,4,18.004152244859856,1,0,0,0,2,29,14.0
2,607695,ud,2,3,20.802678671919203,1,0,0,0,2,29,14.0
3,607686,ud,2,2,21.287999452418262,2,0,0,0,3,29,14.0
4,607707,ud,2,1,20.128802127383274,1,0,0,0,2,29,14.0
5,607644,hl,2,1,78.93271134083771,0,25,0,0,21,29,14.0
6,607420,cd,1,13,1.5936773439439482,0,0,2,2,2,29,14.0
7,607413,cd,1,6,1.8209304600557379,0,0,2,1,2,29,14.0
8,607436,cd,1,8,2.3922257348819302,0,0,3,1,3,29,14.0
9,607427,cd,1,10,2.707396696942433,0,0,4,1,4,29,14.0
10,607451,cd,1,7,1.7542841671794782,0,0,3,1,3,29,14.0
11,607444,cd,1,5,1.6561434311707766,0,0,2,1,2,29,14.0
12,607466,cd,1,9,2.3255794420056706,0,0,4,1,4,29,14.0
13,607459,cd,1,4,1.2118600890071862,0,0,2,1,2,29,14.0
14,607482,cd,1,3,1.0812590177795702,0,0,2,1,2,29,14.0
15,607475,cd,1,12,1.0899697226448766,0,0,2,2,2,29,14.0
16,607497,cd,2,11,24.22665177213679,0,0,2,2,2,29,14.0
17,607489,cd,2,15,29.672254505962165,0,0,3,2,3,29,14.0
18,607519,cd,2,2,19.578222333149096,0,0,2,1,2,29,14.0
19,607504,cd,2,1,19.97735200708995,0,0,2,1,2,29,14.0
20,607511,cd,2,14,37.82107744679509,0,0,3,2,3,29,14.0
