counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,716251,ud,2,3,20.45570476449972,1,0,0,0,2,29,14.0
2,716260,ud,2,2,20.82089486660886,2,0,0,0,3,29,14.0
3,716272,ud,2,1,19.75068278202645,1,0,0,0,2,29,14.0
4,716220,hl,2,1,74.07706185726282,0,23,0,0,20,29,14.0
5,715996,cd,1,15,1.0392424852409972,0,0,2,2,2,29,14.0
6,716013,cd,1,12,3.803652986378207,0,0,7,1,7,29,14.0
7,716003,cd,1,11,2.972804839427927,0,0,5,1,5,29,14.0
8,716025,cd,1,4,1.287782120284964,0,0,2,1,2,29,14.0
9,716041,cd,1,8,1.744716093619648,0,0,3,1,3,29,14.0
10,716032,cd,1,10,2.4066410088422967,0,0,4,1,4,29,14.0
11,716056,cd,1,7,1.6707605044891474,0,0,3,1,3,29,14.0
12,716049,cd,1,3,1.575792861892017,0,0,2,1,2,29,14.0
13,716064,cd,1,14,1.8685066181400871,0,0,2,2,2,29,14.0
14,716071,cd,1,9,2.720861807981208,0,0,4,1,4,29,14.0
15,716088,cd,1,2,1.2196722645362752,0,0,2,1,2,29,14.0
16,716095,cd,2,1,19.27527454369096,0,0,2,1,2,29,14.0
17,716080,cd,1,6,1.9416687652307,0,0,3,1,3,29,14.0
18,716110,cd,2,16,36.604483795607855,0,0,3,2,3,29,14.0
19,716102,cd,2,5,27.214221436918436,0,0,3,1,3,29,14.0
20,716118,cd,2,13,23.94481532143524,0,0,2,2,2,29,14.0
