counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,40792,ud,2,2,19.020265089917444,2,0,0,0,3,50,12.0
2,40804,ud,2,4,15.123513031341014,1,0,0,0,2,50,12.0
3,40813,ud,2,1,7.429323885081303,1,0,0,0,2,50,12.0
4,40822,ud,2,3,5.933753470670621,1,0,0,0,2,50,12.0
5,40727,hl,1,2,8.23221231132932,0,27,0,0,27,50,12.0
6,40762,hl,2,1,54.231919308790054,0,22,0,0,20,50,12.0
7,40512,cd,1,9,1.697397184850061,0,0,2,2,2,50,12.0
8,40519,cd,1,11,1.3833350629036438,0,0,3,2,3,50,12.0
9,40527,cd,1,7,2.7837306756004727,0,0,5,1,5,50,12.0
10,40537,cd,1,10,2.3273843165985078,0,0,3,2,3,50,12.0
11,40545,cd,1,3,1.3173788199818754,0,0,2,1,2,50,12.0
12,40552,cd,1,14,2.170804093645211,0,0,2,5,2,50,12.0
13,40559,cd,1,8,1.436254021258598,0,0,2,2,2,50,12.0
14,40566,cd,1,13,1.2713131393734463,0,0,2,3,2,50,12.0
15,40573,cd,1,6,2.372234236710557,0,0,3,1,3,50,12.0
16,40581,cd,2,2,17.19412818586441,0,0,2,1,2,50,12.0
17,40588,cd,2,5,21.82185858043158,0,0,3,1,3,50,12.0
18,40596,cd,2,4,21.457678348360027,0,0,3,1,3,50,12.0
19,40604,cd,2,12,27.809612804239446,0,0,2,3,2,50,12.0
20,40611,cd,2,1,7.239776546774076,0,0,2,1,2,50,12.0
