counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,760030,ud,2,2,21.678302557065706,2,0,0,0,3,30,12.0
2,760039,ud,2,3,21.397374671629613,1,0,0,0,2,30,12.0
3,760051,ud,2,1,20.622170721976335,1,0,0,0,2,30,12.0
4,759998,hl,2,1,77.54872604944515,0,24,0,0,21,30,12.0
5,759823,cd,1,16,1.9126647939908326,0,0,2,2,2,30,12.0
6,759808,cd,1,4,1.5906365339161002,0,0,2,1,2,30,12.0
7,759815,cd,1,8,1.7001941734745178,0,0,3,1,3,30,12.0
8,759838,cd,1,3,1.2185512515519306,0,0,2,1,2,30,12.0
9,759830,cd,1,7,1.969717330145456,0,0,3,1,3,30,12.0
10,759852,cd,2,11,43.236417707341076,0,0,4,1,4,30,12.0
11,759845,cd,2,18,37.734642496709554,0,0,2,8,2,30,12.0
12,759868,cd,2,6,25.237814545300218,0,0,3,1,3,30,12.0
13,759861,cd,2,2,20.177707698750545,0,0,2,1,2,30,12.0
14,759883,cd,2,17,29.967180465422405,0,0,3,2,3,30,12.0
15,759876,cd,2,15,24.90707361887273,0,0,2,2,2,30,12.0
16,759753,cd,1,10,2.763902711958864,0,0,4,1,4,30,12.0
17,759746,cd,1,14,1.0381361979936892,0,0,2,2,2,30,12.0
18,759772,cd,1,13,3.8319239001927956,0,0,7,1,7,30,12.0
19,759762,cd,1,12,3.001114157972844,0,0,5,1,5,30,12.0
20,759784,cd,1,1,1.2877717372024722,0,0,2,1,2,30,12.0
21,759791,cd,1,9,2.4214462761360522,0,0,4,1,4,30,12.0
22,759800,cd,1,5,1.7447337321849923,0,0,3,1,3,30,12.0
