counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,783399,ud,2,3,20.792513693747352,1,0,0,0,2,30,13.0
2,783420,ud,2,2,20.104964503995006,1,0,0,0,2,30,13.0
3,783408,ud,2,1,21.110134615880824,2,0,0,0,3,30,13.0
4,783366,hl,2,1,77.24779861948514,0,25,0,0,22,30,13.0
5,783151,cd,1,15,2.149132216913726,0,0,2,8,2,30,13.0
6,783136,cd,1,12,1.8757324565849722,0,0,2,2,2,30,13.0
7,783143,cd,1,14,2.478125285548095,0,0,3,2,3,30,13.0
8,783158,cd,1,9,3.2163950383484297,0,0,5,1,5,30,13.0
9,783168,cd,1,4,1.3196543776684075,0,0,2,1,2,30,13.0
10,783175,cd,1,8,2.6140022093853066,0,0,4,1,4,30,13.0
11,783192,cd,1,7,2.41771879842162,0,0,3,1,3,30,13.0
12,783184,cd,1,6,1.8406325154100056,0,0,3,1,3,30,13.0
13,783214,cd,1,11,1.1211550143406785,0,0,2,2,2,30,13.0
14,783200,cd,1,3,1.8153259694584976,0,0,2,1,2,30,13.0
15,783207,cd,1,2,1.1125025286099608,0,0,2,1,2,30,13.0
16,783228,cd,2,5,27.44379268033418,0,0,3,1,3,30,13.0
17,783221,cd,2,1,19.600205027841852,0,0,2,1,2,30,13.0
18,783244,cd,2,10,24.24903752726905,0,0,2,2,2,30,13.0
19,783236,cd,2,13,37.3325885543742,0,0,3,2,3,30,13.0
