counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,805127,ud,2,3,20.873891151962088,1,0,0,0,2,32,14.0
2,805145,ud,2,2,20.16552308019851,1,0,0,0,2,32,14.0
3,805136,ud,2,1,21.22305112523778,2,0,0,0,3,32,14.0
4,805094,hl,2,1,77.43077890441342,0,25,0,0,22,32,14.0
5,804878,cd,1,4,1.277923799217788,0,0,2,1,2,32,14.0
6,804865,cd,1,12,3.9546629591489424,0,0,8,1,8,32,14.0
7,804894,cd,1,7,1.7268998165249867,0,0,3,1,3,32,14.0
8,804885,cd,1,9,2.4282075482871415,0,0,4,1,4,32,14.0
9,804902,cd,1,11,3.1257151772383525,0,0,6,1,6,32,14.0
10,804920,cd,1,6,2.232875710332521,0,0,3,1,3,32,14.0
11,804913,cd,1,3,1.5992597663765518,0,0,2,1,2,32,14.0
12,804938,cd,1,15,1.9459445352311562,0,0,2,2,2,32,14.0
13,804928,cd,1,10,2.9290708743861105,0,0,5,1,5,32,14.0
14,804954,cd,1,2,1.0108538842726822,0,0,2,1,2,32,14.0
15,804945,cd,1,8,2.0697844825686476,0,0,4,1,4,32,14.0
16,804975,cd,2,5,27.527450042978558,0,0,3,1,3,32,14.0
17,804968,cd,2,1,19.687369727627996,0,0,2,1,2,32,14.0
18,804961,cd,1,14,1.0194922522317573,0,0,2,2,2,32,14.0
19,804983,cd,2,16,41.64489070503118,0,0,4,2,4,32,14.0
20,804992,cd,2,13,36.208201163371584,0,0,2,2,2,32,14.0
