counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,93905,ud,2,1,19.547145078590685,2,0,0,0,3,28,11.0
2,93917,ud,2,2,7.4837457311340625,1,0,0,0,2,28,11.0
3,93926,ud,2,4,15.627142357871502,1,0,0,0,2,28,11.0
4,93935,ud,2,3,6.024962469272484,1,0,0,0,2,28,11.0
5,93875,hl,2,1,56.09501047996285,0,22,0,0,20,28,11.0
6,93697,cd,1,12,1.367080037449196,0,0,3,2,3,28,11.0
7,93705,cd,1,5,2.677624593300004,0,0,5,1,5,28,11.0
8,93715,cd,1,11,2.2264555374924777,0,0,3,2,3,28,11.0
9,93723,cd,1,2,1.240416352854778,0,0,2,1,2,28,11.0
10,93730,cd,1,9,1.3369254452491266,0,0,2,2,2,28,11.0
11,93737,cd,1,13,1.9967132339551394,0,0,2,7,2,28,11.0
12,93744,cd,1,8,1.2022234211487275,0,0,2,2,2,28,11.0
13,93751,cd,2,4,23.818833534064446,0,0,4,1,4,28,11.0
14,93760,cd,2,7,17.79387106479196,0,0,2,2,2,28,11.0
15,93767,cd,2,10,22.056121226954055,0,0,3,2,3,28,11.0
16,93775,cd,2,3,30.15176116418573,0,0,3,1,3,28,11.0
17,93783,cd,2,1,7.431415066078578,0,0,2,1,2,28,11.0
18,93690,cd,1,6,1.602079659746001,0,0,2,2,2,28,11.0
