counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,111619,ud,2,3,6.114809983442324,1,0,0,0,2,53,11.0
2,111592,ud,2,2,16.209386778675523,1,0,0,0,2,53,11.0
3,111601,ud,2,4,15.598750059282928,1,0,0,0,2,53,11.0
4,111610,ud,2,1,6.879969145167809,1,0,0,0,2,53,11.0
5,111525,hl,1,2,8.620955513382127,0,28,0,0,29,53,11.0
6,111562,hl,2,1,59.00779866820926,0,22,0,0,21,53,11.0
7,111345,cd,1,10,1.5151040125572552,0,0,2,2,2,53,11.0
8,111352,cd,1,11,1.4296809168997375,0,0,3,2,3,53,11.0
9,111360,cd,1,6,3.0060293133181992,0,0,5,1,5,53,11.0
10,111370,cd,1,8,3.3625023130521603,0,0,6,1,6,53,11.0
11,111381,cd,1,7,3.0449060959923187,0,0,6,1,6,53,11.0
12,111392,cd,1,3,1.6188647237265155,0,0,2,1,2,53,11.0
13,111399,cd,1,9,1.1592072730308867,0,0,2,2,2,53,11.0
14,111406,cd,1,5,1.4334066563003807,0,0,3,1,3,53,11.0
15,111414,cd,2,12,19.79646447984651,0,0,2,5,2,53,11.0
16,111421,cd,2,4,28.916881260881016,0,0,3,1,3,53,11.0
17,111429,cd,2,2,7.421268826928472,0,0,2,1,2,53,11.0
18,111436,cd,2,1,8.951587150379442,0,0,2,1,2,53,11.0
