counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,130648,ud,2,2,17.028534321068655,1,0,0,0,2,47,12.0
2,130657,ud,2,1,19.160015097021002,2,0,0,0,3,47,12.0
3,130585,hl,1,2,7.470491947998678,0,24,0,0,25,47,12.0
4,130618,hl,2,1,55.35035179721321,0,22,0,0,20,47,12.0
5,130446,cd,1,5,1.4702763787703568,0,0,2,2,2,47,12.0
6,130453,cd,1,7,2.180536385093453,0,0,3,2,3,47,12.0
7,130461,cd,1,1,2.142577069033057,0,0,4,1,4,47,12.0
8,130470,cd,1,8,2.326452119925433,0,0,4,2,4,47,12.0
9,130479,cd,1,6,1.2909366858185745,0,0,3,2,3,47,12.0
10,130487,cd,1,4,1.0688313856128695,0,0,2,2,2,47,12.0
11,130494,cd,2,9,21.09718954036515,0,0,2,5,2,47,12.0
12,130501,cd,2,3,18.818883320637166,0,0,2,2,2,47,12.0
13,130508,cd,2,2,29.190392089360657,0,0,2,2,2,47,12.0
