counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,6616300,ud,2,25,4.1660635483386255,1,0,0,0,2,201,8.0
2,6616309,ud,2,24,4.009517764333869,1,0,0,0,2,201,8.0
3,6616318,ud,2,23,8.476540215060568,3,0,0,0,4,201,8.0
4,6616261,ud,2,28,7.475201782483907,2,0,0,0,3,201,8.0
5,6616270,ud,2,22,46.63921568556741,1,0,0,0,2,201,8.0
6,6616279,ud,2,17,20.89694016232421,6,0,0,0,7,201,8.0
7,6616240,ud,2,2,5.530124737782799,1,0,0,0,2,201,8.0
8,6616249,ud,2,36,61.13690046381889,3,0,0,0,4,201,8.0
9,6616417,ud,2,21,108.17031550653827,2,0,0,0,3,201,8.0
10,6616435,ud,2,20,72.5312082325402,4,0,0,0,5,201,8.0
11,6616447,ud,2,31,8.87896812509616,2,0,0,0,3,201,8.0
12,6616390,ud,2,12,15.686768037842374,1,0,0,0,2,201,8.0
13,6616399,ud,2,16,5.040038474595968,1,0,0,0,2,201,8.0
14,6616408,ud,2,19,92.55686085556655,3,0,0,0,4,201,8.0
15,6616354,ud,2,11,1.9383035100084711,1,0,0,0,2,201,8.0
16,6616363,ud,2,15,5.169454647121307,1,0,0,0,2,201,8.0
17,6616372,ud,2,10,29.004463081949318,1,0,0,0,2,201,8.0
18,6616381,ud,2,9,2.2874046217474278,1,0,0,0,2,201,8.0
19,6616333,ud,2,8,8.105101056812451,2,0,0,0,3,201,8.0
20,6616345,ud,2,33,1.6355095310026164,1,0,0,0,2,201,8.0
21,6616552,ud,2,27,5.240672690239097,1,0,0,0,2,201,8.0
22,6616561,ud,2,29,6.028409819364214,2,0,0,0,3,201,8.0
23,6616573,ud,2,7,2.8384203490832003,1,0,0,0,2,201,8.0
24,6616525,ud,2,35,2.007475306724734,1,0,0,0,2,201,8.0
25,6616534,ud,2,14,2.5426239614576622,1,0,0,0,2,201,8.0
26,6616543,ud,2,6,2.2685051582475455,1,0,0,0,2,201,8.0
27,6616483,ud,2,13,4.835885286437357,1,0,0,0,2,201,8.0
28,6616498,ud,2,39,88.32555518549606,6,0,0,0,7,201,8.0
29,6616462,ud,2,30,18.17903330773124,2,0,0,0,3,201,8.0
30,6616471,ud,2,5,2.0514880430935394,1,0,0,0,2,201,8.0
31,6616672,ud,2,40,1.7532824597857077,1,0,0,0,2,201,8.0
32,6616645,ud,2,34,2.1286050119040363,1,0,0,0,2,201,8.0
33,6616654,ud,2,38,4.597055216040934,1,0,0,0,2,201,8.0
34,6616663,ud,2,37,2.3747795086220704,1,0,0,0,2,201,8.0
35,6616609,ud,2,1,3.272890984536944,1,0,0,0,2,201,8.0
36,6616618,ud,2,32,10.791663874073626,1,0,0,0,2,201,8.0
37,6616627,ud,2,4,12.562288961174046,1,0,0,0,2,201,8.0
38,6616636,ud,2,26,2.4179737743781695,1,0,0,0,2,201,8.0
39,6616585,ud,2,3,6.313258708472183,1,0,0,0,2,201,8.0
40,6616594,ud,2,18,10.546551780322664,3,0,0,0,4,201,8.0
41,6616133,hl,1,1,28.62437406814219,0,99,0,0,92,201,8.0
42,6615141,cd,2,27,2.9147300379490977,0,0,2,1,2,201,8.0
43,6615148,cd,2,109,32.058861266418155,0,0,8,1,8,201,8.0
44,6615161,cd,2,108,62.35188657839974,0,0,8,1,8,201,8.0
45,6615104,cd,2,96,31.3445723794698,0,0,7,1,7,201,8.0
46,6615116,cd,2,85,19.014996145361472,0,0,6,1,6,201,8.0
47,6615127,cd,2,120,63.0661754653481,0,0,9,1,9,201,8.0
48,6615078,cd,2,119,113.2670907415998,0,0,9,1,9,201,8.0
49,6615092,cd,2,95,62.18085223244947,0,0,7,1,7,201,8.0
50,6615041,cd,2,118,126.02460869291173,0,0,9,1,9,201,8.0
51,6615055,cd,2,77,18.843961799411197,0,0,5,1,5,201,8.0
52,6615065,cd,2,107,62.81281453574857,0,0,8,1,8,201,8.0
53,6615272,cd,2,106,115.8806598171484,0,0,8,1,8,201,8.0
54,6615285,cd,2,26,12.862806833780095,0,0,2,1,2,201,8.0
55,6615292,cd,2,105,115.04945630706183,0,0,8,1,8,201,8.0
56,6615238,cd,2,104,113.22895027569733,0,0,8,1,8,201,8.0
57,6615251,cd,2,66,32.10819828127477,0,0,4,1,4,201,8.0
58,6615260,cd,2,94,112.96723218114178,0,0,7,1,7,201,8.0
59,6615200,cd,2,103,61.858743947687614,0,0,8,1,8,201,8.0
60,6615213,cd,2,117,112.31302015353884,0,0,9,1,9,201,8.0
61,6615227,cd,2,84,18.52185351464934,0,0,6,1,6,201,8.0
62,6615174,cd,2,116,112.80616278425097,0,0,9,1,9,201,8.0
63,6615188,cd,2,93,30.85142974875767,0,0,7,1,7,201,8.0
64,6615401,cd,2,124,5.922366196215766,0,0,2,2,2,201,8.0
65,6615408,cd,2,115,117.47712270273675,0,0,9,1,9,201,8.0
66,6615422,cd,2,83,65.81812979048193,0,0,6,1,6,201,8.0
67,6615361,cd,2,25,7.5064335951236725,0,0,2,1,2,201,8.0
68,6615375,cd,2,92,116.48321632206256,0,0,7,1,7,201,8.0
69,6615368,cd,2,24,8.21234929035301,0,0,2,1,2,201,8.0
70,6615387,cd,2,114,118.49743001538855,0,0,9,1,9,201,8.0
71,6615332,cd,2,23,5.8657319761495454,0,0,2,1,2,201,8.0
72,6615339,cd,2,56,10.571496177340155,0,0,3,1,3,201,8.0
73,6615347,cd,2,113,117.40860319404896,0,0,9,1,9,201,8.0
74,6615305,cd,2,112,115.3260093624086,0,0,9,1,9,201,8.0
75,6615319,cd,2,102,64.87173315655737,0,0,8,1,8,201,8.0
76,6615530,cd,2,101,111.46081940153474,0,0,8,1,8,201,8.0
77,6615543,cd,2,22,7.332930509084256,0,0,2,1,2,201,8.0
78,6615550,cd,2,21,3.143128825485766,0,0,2,1,2,201,8.0
79,6615497,cd,2,76,63.11551248020472,0,0,5,1,5,201,8.0
80,6615507,cd,2,91,110.43802012958156,0,0,7,1,7,201,8.0
81,6615519,cd,2,82,59.983743923730344,0,0,6,1,6,201,8.0
82,6615458,cd,2,90,65.6043219526076,0,0,7,1,7,201,8.0
83,6615470,cd,2,100,115.37355212515112,0,0,8,1,8,201,8.0
84,6615483,cd,2,111,117.1983366839965,0,0,9,1,9,201,8.0
85,6615433,cd,2,89,116.27240599633316,0,0,7,1,7,201,8.0
86,6615445,cd,2,99,116.05859815845884,0,0,8,1,8,201,8.0
87,6615557,cd,2,55,10.114518278530458,0,0,3,1,3,201,8.0
88,6615565,cd,2,20,7.105635866145953,0,0,2,1,2,201,8.0
89,6615572,cd,2,19,3.018119676384151,0,0,2,1,2,201,8.0
90,6614374,cd,1,54,1.4264771997255803,0,0,3,1,3,201,8.0
91,6614382,cd,1,53,1.4264771997255803,0,0,3,1,3,201,8.0
92,6614390,cd,1,52,1.6491611532452803,0,0,3,1,3,201,8.0
93,6614398,cd,1,18,2.1968949401591105,0,0,2,1,2,201,8.0
94,6614351,cd,1,51,2.728654172833987,0,0,3,1,3,201,8.0
95,6614359,cd,1,128,1.4425540058129098,0,0,2,3,2,201,8.0
96,6614366,cd,1,50,1.4264771997255803,0,0,3,1,3,201,8.0
97,6614500,cd,1,49,1.350338542297723,0,0,3,1,3,201,8.0
98,6614508,cd,1,48,1.350338542297723,0,0,3,1,3,201,8.0
99,6614516,cd,1,47,1.350338542297723,0,0,3,1,3,201,8.0
100,6614524,cd,1,46,1.3869414131111202,0,0,3,1,3,201,8.0
101,6614469,cd,1,45,1.383144419318104,0,0,3,1,3,201,8.0
102,6614477,cd,1,44,1.383144419318104,0,0,3,1,3,201,8.0
103,6614485,cd,1,43,1.383144419318104,0,0,3,1,3,201,8.0
104,6614493,cd,1,127,1.3342695874278259,0,0,2,3,2,201,8.0
105,6614433,cd,1,17,2.294977139146403,0,0,2,1,2,201,8.0
106,6614447,cd,1,16,2.1968949401591105,0,0,2,1,2,201,8.0
107,6614440,cd,1,15,2.189850353432117,0,0,2,1,2,201,8.0
108,6614454,cd,1,126,1.3705920115138763,0,0,2,3,2,201,8.0
109,6614461,cd,1,42,1.383144419318104,0,0,3,1,3,201,8.0
110,6614405,cd,1,14,2.168539639146403,0,0,2,1,2,201,8.0
111,6614412,cd,1,13,2.168539639146403,0,0,2,1,2,201,8.0
