counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,7660669,ud,2,12,1.9430142642521506,1,0,0,0,2,203,8.0
2,7660642,ud,2,26,8.541254227127425,3,0,0,0,4,203,8.0
3,7660654,ud,2,11,8.457801555930336,2,0,0,0,3,203,8.0
4,7660624,ud,2,25,4.322218963993347,1,0,0,0,2,203,8.0
5,7660633,ud,2,24,4.047021319501038,1,0,0,0,2,203,8.0
6,7660600,ud,2,18,26.897974995795067,7,0,0,0,8,203,8.0
7,7660582,ud,2,23,7.1901213101883785,2,0,0,0,3,203,8.0
8,7660591,ud,2,22,56.72711922115619,1,0,0,0,2,203,8.0
9,7660561,ud,2,2,5.644573049724184,1,0,0,0,2,203,8.0
10,7660570,ud,2,36,69.63754197497747,3,0,0,0,4,203,8.0
11,7660795,ud,2,31,18.186540899488943,2,0,0,0,3,203,8.0
12,7660771,ud,2,17,77.40033734609155,3,0,0,0,4,203,8.0
13,7660780,ud,2,29,9.479166960582614,2,0,0,0,3,203,8.0
14,7660762,ud,2,16,5.1939645483397445,1,0,0,0,2,203,8.0
15,7660744,ud,2,30,148.0194621534461,4,0,0,0,5,203,8.0
16,7660726,ud,2,10,15.728041612059773,1,0,0,0,2,203,8.0
17,7660735,ud,2,21,101.10140141054416,3,0,0,0,4,203,8.0
18,7660705,ud,2,20,91.18940324789017,2,0,0,0,3,203,8.0
19,7660717,ud,2,9,2.351858118744606,1,0,0,0,2,203,8.0
20,7660696,ud,2,15,5.718149341234998,1,0,0,0,2,203,8.0
21,7660678,ud,2,34,1.6384945597902516,1,0,0,0,2,203,8.0
22,7660687,ud,2,38,2.0126621703271637,1,0,0,0,2,203,8.0
23,7660915,ud,2,28,1.5660049354462653,1,0,0,0,2,203,8.0
24,7660927,ud,2,8,6.419937198244753,1,0,0,0,2,203,8.0
25,7660906,ud,2,7,2.8429031822057143,1,0,0,0,2,203,8.0
26,7660885,ud,2,27,6.29250528518026,2,0,0,0,3,203,8.0
27,7660894,ud,2,19,5.0813548287216435,1,0,0,0,2,203,8.0
28,7660867,ud,2,6,2.511165048187639,1,0,0,0,2,203,8.0
29,7660876,ud,2,5,2.113681478602625,1,0,0,0,2,203,8.0
30,7660846,ud,2,33,2.0811966116050256,1,0,0,0,2,203,8.0
31,7660831,ud,2,37,101.7713478752368,7,0,0,0,8,203,8.0
32,7660804,ud,2,4,2.128849317881501,1,0,0,0,2,203,8.0
33,7660813,ud,2,14,4.836655371180276,1,0,0,0,2,203,8.0
34,7660984,ud,2,35,4.106795865884623,1,0,0,0,2,203,8.0
35,7660960,ud,2,3,13.987269727187666,1,0,0,0,2,203,8.0
36,7660969,ud,2,32,12.045768266202348,1,0,0,0,2,203,8.0
37,7660951,ud,2,1,3.3152775861846484,1,0,0,0,2,203,8.0
38,7660936,ud,2,13,11.336018685883113,3,0,0,0,4,203,8.0
39,7660451,hl,1,1,30.167812297340614,0,102,0,0,95,203,8.0
40,7659643,cd,2,92,121.18990292196627,0,0,7,1,7,203,8.0
41,7659631,cd,2,91,117.95440778378784,0,0,7,1,7,203,8.0
42,7659624,cd,2,26,13.61826523732864,0,0,2,1,2,203,8.0
43,7659602,cd,2,54,11.06362363417741,0,0,3,1,3,203,8.0
44,7659610,cd,2,117,123.59898083351203,0,0,9,1,9,203,8.0
45,7659595,cd,2,25,7.799786626586821,0,0,2,1,2,203,8.0
46,7659580,cd,2,120,122.73828479760107,0,0,10,1,10,203,8.0
47,7659552,cd,2,116,122.49035740278407,0,0,9,1,9,203,8.0
48,7659566,cd,2,115,67.68793656198493,0,0,9,1,9,203,8.0
49,7659539,cd,2,106,119.8668557163826,0,0,8,1,8,203,8.0
50,7659525,cd,2,24,6.056295457894024,0,0,2,1,2,203,8.0
51,7659532,cd,2,23,8.44012194777593,0,0,2,1,2,203,8.0
52,7659771,cd,2,114,122.67652987949046,0,0,9,1,9,203,8.0
53,7659750,cd,2,125,5.955803726018284,0,0,2,2,2,203,8.0
54,7659757,cd,2,113,122.58468314678765,0,0,9,1,9,203,8.0
55,7659735,cd,2,119,125.6869791513342,0,0,10,1,10,203,8.0
56,7659712,cd,2,90,121.83102507293205,0,0,7,1,7,203,8.0
57,7659724,cd,2,84,66.78067683731588,0,0,6,1,6,203,8.0
58,7659699,cd,2,105,121.14955702720835,0,0,8,1,8,203,8.0
59,7659687,cd,2,89,66.09920879159218,0,0,7,1,7,203,8.0
60,7659664,cd,2,104,124.1618980404783,0,0,8,1,8,203,8.0
61,7659677,cd,2,75,63.466976755137956,0,0,5,1,5,203,8.0
62,7659655,cd,2,63,32.77297135068654,0,0,4,1,4,203,8.0
63,7659877,cd,2,22,3.140254056198608,0,0,2,1,2,203,8.0
64,7659862,cd,2,21,3.2111932531874228,0,0,2,1,2,203,8.0
65,7659869,cd,2,53,9.021255016044977,0,0,3,1,3,203,8.0
66,7659844,cd,2,83,60.11860322868245,0,0,6,1,6,203,8.0
67,7659855,cd,2,20,5.899936319878439,0,0,2,1,2,203,8.0
68,7659831,cd,2,103,116.13170747784932,0,0,8,1,8,203,8.0
69,7659819,cd,2,88,115.16895146429862,0,0,7,1,7,203,8.0
70,7659793,cd,2,102,67.62618164387429,0,0,8,1,8,203,8.0
71,7659806,cd,2,101,120.66224443117021,0,0,8,1,8,203,8.0
72,7659785,cd,2,52,11.249796110883791,0,0,3,1,3,203,8.0
73,7658621,cd,1,51,2.8980869469722883,0,0,3,1,3,203,8.0
74,7658739,cd,1,50,1.3831444193181037,0,0,3,1,3,203,8.0
75,7658747,cd,1,49,1.3831444193181037,0,0,3,1,3,203,8.0
76,7658724,cd,1,130,1.370592011513876,0,0,2,3,2,203,8.0
77,7658731,cd,1,48,1.3831444193181037,0,0,3,1,3,203,8.0
78,7658710,cd,1,19,2.2243985546352074,0,0,2,1,2,203,8.0
79,7658717,cd,1,18,2.2149184359310974,0,0,2,1,2,203,8.0
80,7658689,cd,1,17,2.2243985546352074,0,0,2,1,2,203,8.0
81,7658703,cd,1,16,2.331220670019823,0,0,2,1,2,203,8.0
82,7658696,cd,1,15,2.2243985546352074,0,0,2,1,2,203,8.0
83,7658675,cd,1,14,2.186568884305537,0,0,2,1,2,203,8.0
84,7658682,cd,1,13,2.186568884305537,0,0,2,1,2,203,8.0
85,7658660,cd,1,47,1.6491611532452803,0,0,3,1,3,203,8.0
86,7658668,cd,1,12,2.2149184359310974,0,0,2,1,2,203,8.0
87,7658644,cd,1,46,1.4264771997255803,0,0,3,1,3,203,8.0
88,7658652,cd,1,45,1.4264771997255803,0,0,3,1,3,203,8.0
89,7658629,cd,1,129,1.4425540058129098,0,0,2,3,2,203,8.0
90,7658636,cd,1,44,1.4264771997255803,0,0,3,1,3,203,8.0
91,7658870,cd,2,74,154.3610485371067,0,0,5,1,5,203,8.0
92,7658855,cd,2,43,91.28031865393416,0,0,3,1,3,203,8.0
93,7658848,cd,1,11,1.0637620619010038,0,0,2,1,2,203,8.0
