counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,8761474,ud,2,28,10.540685724831231,3,0,0,0,4,198,11.0
2,8761489,ud,2,3,3.3267995767577134,1,0,0,0,2,198,11.0
3,8761498,ud,2,36,11.660800860559515,1,0,0,0,2,198,11.0
4,8761507,ud,2,15,13.777549696919854,1,0,0,0,2,198,11.0
5,8761516,ud,2,31,4.11094232152482,1,0,0,0,2,198,11.0
6,8761525,ud,2,35,230.74873919680635,7,0,0,0,8,198,11.0
7,8761546,ud,2,2,5.548069528635167,1,0,0,0,2,198,11.0
8,8761555,ud,2,14,4.074674376446376,1,0,0,0,2,198,11.0
9,8761564,ud,2,34,72.72588033201075,5,0,0,0,6,198,11.0
10,8761573,ud,2,27,7.422845047095141,2,0,0,0,3,198,11.0
11,8761582,ud,2,33,66.61188299203619,3,0,0,0,4,198,11.0
12,8761594,ud,2,37,2.9594487932633236,1,0,0,0,2,198,11.0
13,8761465,ud,2,13,3.4075801180237377,1,0,0,0,2,198,11.0
14,8761735,ud,2,26,81.60476382798109,3,0,0,0,4,198,11.0
15,8761753,ud,2,25,4.7458469864433255,1,0,0,0,2,198,11.0
16,8761765,ud,2,39,60.11472685520843,1,0,0,0,2,198,11.0
17,8761774,ud,2,24,147.5260599416817,4,0,0,0,5,198,11.0
18,8761792,ud,2,12,6.954272314872194,1,0,0,0,2,198,11.0
19,8761801,ud,2,23,12.069917740117159,1,0,0,0,2,198,11.0
20,8761810,ud,2,11,2.208135260133562,1,0,0,0,2,198,11.0
21,8761822,ud,2,10,4.881101594316251,1,0,0,0,2,198,11.0
22,8761831,ud,2,30,1.8978871605738799,1,0,0,0,2,198,11.0
23,8761855,ud,2,9,2.2007242807716554,1,0,0,0,2,198,11.0
24,8761603,ud,2,22,55.03084171716394,1,0,0,0,2,198,11.0
25,8761612,ud,2,21,20.68598909197572,6,0,0,0,7,198,11.0
26,8761633,ud,2,20,4.289410388757957,1,0,0,0,2,198,11.0
27,8761642,ud,2,19,3.9884650963014625,1,0,0,0,2,198,11.0
28,8761651,ud,2,18,8.40942906493071,3,0,0,0,4,198,11.0
29,8761660,ud,2,8,7.951560336919618,2,0,0,0,3,198,11.0
30,8761678,ud,2,32,1.5808841955273336,1,0,0,0,2,198,11.0
31,8761687,ud,2,38,2.011808266149585,1,0,0,0,2,198,11.0
32,8761696,ud,2,17,5.486983747059696,1,0,0,0,2,198,11.0
33,8761705,ud,2,29,95.6620580528741,2,0,0,0,3,198,11.0
34,8761717,ud,2,7,2.359561712777261,1,0,0,0,2,198,11.0
35,8761726,ud,2,1,20.375732455416728,1,0,0,0,2,198,11.0
36,8761864,ud,2,6,2.098914079059228,1,0,0,0,2,198,11.0
37,8761873,ud,2,16,4.590332543381972,1,0,0,0,2,198,11.0
38,8761882,ud,2,5,4.0979605270753074,1,0,0,0,2,198,11.0
39,8761891,ud,2,4,2.859258477153026,1,0,0,0,2,198,11.0
40,8761353,hl,1,1,30.63600892867016,0,104,0,0,97,198,11.0
41,8760193,cd,1,53,1.4264771997255803,0,0,3,1,3,198,11.0
42,8760201,cd,1,52,1.4264771997255803,0,0,3,1,3,198,11.0
43,8760209,cd,1,86,1.4425540058129096,0,0,2,3,2,198,11.0
44,8760216,cd,1,51,1.64916115324528,0,0,3,1,3,198,11.0
45,8760231,cd,1,28,2.3329830586281304,0,0,2,1,2,198,11.0
46,8760224,cd,1,27,2.2261609432435145,0,0,2,1,2,198,11.0
47,8760238,cd,1,26,2.2166771741348663,0,0,2,1,2,198,11.0
48,8760245,cd,1,25,2.188331272913844,0,0,2,1,2,198,11.0
49,8760252,cd,1,24,2.188331272913844,0,0,2,1,2,198,11.0
50,8760259,cd,1,23,2.2261609432435145,0,0,2,1,2,198,11.0
51,8760266,cd,1,22,2.2166771741348663,0,0,2,1,2,198,11.0
52,8760273,cd,1,21,2.2261609432435145,0,0,2,1,2,198,11.0
53,8760287,cd,1,50,1.383144419318104,0,0,3,1,3,198,11.0
54,8760280,cd,1,85,1.3705920115138763,0,0,2,3,2,198,11.0
55,8760295,cd,1,49,1.383144419318104,0,0,3,1,3,198,11.0
56,8760303,cd,1,48,1.383144419318104,0,0,3,1,3,198,11.0
57,8760311,cd,1,47,1.383144419318104,0,0,3,1,3,198,11.0
58,8760319,cd,1,84,1.323198964574867,0,0,2,3,2,198,11.0
59,8760178,cd,1,20,2.0918288445017637,0,0,2,1,2,198,11.0
60,8760185,cd,1,46,1.4264771997255803,0,0,3,1,3,198,11.0
61,8760458,cd,2,19,23.80082274565048,0,0,2,1,2,198,11.0
62,8760465,cd,2,67,122.35287510791035,0,0,5,1,5,198,11.0
63,8760475,cd,2,74,181.18046957903738,0,0,6,1,6,198,11.0
64,8760486,cd,2,18,60.56713188831803,0,0,2,1,2,198,11.0
65,8760493,cd,2,66,173.94503280662352,0,0,5,1,5,198,11.0
66,8760503,cd,2,73,171.79978351946414,0,0,6,1,6,198,11.0
67,8760514,cd,2,79,170.70592433032803,0,0,7,1,7,198,11.0
68,8760526,cd,2,72,138.61878422356713,0,0,6,1,6,198,11.0
69,8760537,cd,2,65,139.71264341270322,0,0,5,1,5,198,11.0
70,8760547,cd,2,45,137.66226131076544,0,0,3,1,3,198,11.0
71,8760555,cd,2,64,158.88521850618832,0,0,5,1,5,198,11.0
72,8760565,cd,2,63,180.0893975856065,0,0,5,1,5,198,11.0
73,8760575,cd,2,71,212.17653769236742,0,0,6,1,6,198,11.0
