counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,12186044,ud,2,38,26.65956057151887,10,0,0,0,11,255,18.0
2,12186035,ud,2,12,1.8690191276004335,1,0,0,0,2,255,18.0
3,12186020,ud,2,41,39.920425307647136,1,0,0,0,2,255,18.0
4,12186002,ud,2,29,1.8757173585438567,1,0,0,0,2,255,18.0
5,12185993,ud,2,43,73.16050843580616,3,0,0,0,4,255,18.0
6,12186110,ud,2,36,30.37654114797943,1,0,0,0,2,255,18.0
7,12186098,ud,2,45,23.890640462436718,1,0,0,0,2,255,18.0
8,12186089,ud,2,44,65.3702180779576,2,0,0,0,3,255,18.0
9,12186080,ud,2,27,7.503304083936412,1,0,0,0,2,255,18.0
10,12185981,ud,2,42,101.33953153259006,5,0,0,0,6,255,18.0
11,12185972,ud,2,11,4.906594874881289,1,0,0,0,2,255,18.0
12,12185963,ud,2,22,7.835188188332685,1,0,0,0,2,255,18.0
13,12185948,ud,2,10,10.776776208650226,3,0,0,0,4,255,18.0
14,12185939,ud,2,15,6.852428587689737,1,0,0,0,2,255,18.0
15,12185930,ud,2,14,4.283801388224477,1,0,0,0,2,255,18.0
16,12185921,ud,2,4,4.980513818744707,1,0,0,0,2,255,18.0
17,12186299,ud,2,26,1.9594296797014732,1,0,0,0,2,255,18.0
18,12186290,ud,2,13,5.948912419748983,1,0,0,0,2,255,18.0
19,12186281,ud,2,3,1.8922540446465659,1,0,0,0,2,255,18.0
20,12186272,ud,2,20,1.6302479364101927,1,0,0,0,2,255,18.0
21,12186263,ud,2,19,27.48557549911223,1,0,0,0,2,255,18.0
22,12186254,ud,2,30,4.85885994851952,1,0,0,0,2,255,18.0
23,12186356,ud,2,9,11.181277502254977,2,0,0,0,3,255,18.0
24,12186341,ud,2,40,7.982349486891035,3,0,0,0,4,255,18.0
25,12186329,ud,2,8,11.848678875183849,2,0,0,0,3,255,18.0
26,12186308,ud,2,2,2.2054166877557972,1,0,0,0,2,255,18.0
27,12186173,ud,2,39,60.82591684527857,5,0,0,0,6,255,18.0
28,12186155,ud,2,17,8.619509771876302,2,0,0,0,3,255,18.0
29,12186146,ud,2,32,11.230068204782903,3,0,0,0,4,255,18.0
30,12186137,ud,2,16,112.19755324517385,5,0,0,0,6,255,18.0
31,12186128,ud,2,35,4.30469464572052,1,0,0,0,2,255,18.0
32,12186119,ud,2,1,2.7473401699313555,1,0,0,0,2,255,18.0
33,12186239,ud,2,34,6.8237415877217025,2,0,0,0,3,255,18.0
34,12186224,ud,2,31,3.882658929464328,2,0,0,0,3,255,18.0
35,12186215,ud,2,25,6.793401431064168,1,0,0,0,2,255,18.0
36,12186206,ud,2,33,14.291186094505722,1,0,0,0,2,255,18.0
37,12186182,ud,2,37,60.44301487185646,4,0,0,0,5,255,18.0
38,12186431,ud,2,28,4.324861623745587,1,0,0,0,2,255,18.0
39,12186422,ud,2,18,2.847438048712709,1,0,0,0,2,255,18.0
40,12186413,ud,2,21,3.4171778272987714,1,0,0,0,2,255,18.0
41,12186404,ud,2,7,3.3281020554635155,1,0,0,0,2,255,18.0
42,12186395,ud,2,24,5.350536825540127,1,0,0,0,2,255,18.0
43,12186386,ud,2,6,3.49800656093236,1,0,0,0,2,255,18.0
44,12186377,ud,2,5,2.027363920245028,1,0,0,0,2,255,18.0
45,12186368,ud,2,23,2.3985870316992375,1,0,0,0,2,255,18.0
46,12185725,hl,1,2,39.70580253550446,0,130,0,0,123,255,18.0
47,12185863,hl,2,1,490.035363098427,0,50,0,0,51,255,18.0
48,12184510,cd,1,32,2.487447932612653,0,0,2,1,2,255,18.0
49,12184496,cd,1,31,2.487447932612653,0,0,2,1,2,255,18.0
50,12184503,cd,1,30,2.482220481092678,0,0,2,1,2,255,18.0
51,12184489,cd,1,29,2.6138854326126526,0,0,2,1,2,255,18.0
52,12184482,cd,1,28,2.487447932612653,0,0,2,1,2,255,18.0
53,12184474,cd,1,53,1.1727645436540257,0,0,3,1,3,255,18.0
54,12184467,cd,1,27,2.454510432612653,0,0,2,1,2,255,18.0
55,12184460,cd,1,26,2.454510432612653,0,0,2,1,2,255,18.0
56,12184453,cd,1,25,2.482220481092678,0,0,2,1,2,255,18.0
57,12184570,cd,1,24,1.06344459787682,0,0,2,1,2,255,18.0
