counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,14722018,ud,2,47,47.73348283951537,2,0,0,0,3,304,21.0
2,14722033,ud,2,5,1.9610463762163577,1,0,0,0,2,304,21.0
3,14722042,ud,2,41,40.53048963402394,11,0,0,0,12,304,21.0
4,14721997,ud,2,49,100.93561121270324,4,0,0,0,5,304,21.0
5,14721958,ud,2,9,4.620509582670342,1,0,0,0,2,304,21.0
6,14721973,ud,2,21,2.0176486011733665,1,0,0,0,2,304,21.0
7,14721982,ud,2,46,156.79307154339386,6,0,0,0,7,304,21.0
8,14721925,ud,2,4,8.049249676190836,2,0,0,0,3,304,21.0
9,14721937,ud,2,8,7.3215085651950655,1,0,0,0,2,304,21.0
10,14721949,ud,2,35,16.402729525739794,4,0,0,0,5,304,21.0
11,14721895,ud,2,34,2.0242979969366375,1,0,0,0,2,304,21.0
12,14721904,ud,2,52,53.84940375165801,2,0,0,0,3,304,21.0
13,14721916,ud,2,7,4.167745673655883,1,0,0,0,2,304,21.0
14,14721886,ud,2,3,5.825448584693973,2,0,0,0,3,304,21.0
15,14722273,ud,2,51,12.992736371371251,1,0,0,0,2,304,21.0
16,14722282,ud,2,28,6.467615006894696,2,0,0,0,3,304,21.0
17,14722294,ud,2,27,5.171177433685182,1,0,0,0,2,304,21.0
18,14722303,ud,2,19,29.6265077125432,1,0,0,0,2,304,21.0
19,14722246,ud,2,18,3.4670008132529344,1,0,0,0,2,304,21.0
20,14722255,ud,2,17,3.2605280973407513,1,0,0,0,2,304,21.0
21,14722264,ud,2,25,15.984418607122773,1,0,0,0,2,304,21.0
22,14722210,ud,2,31,4.11239554628778,2,0,0,0,3,304,21.0
23,14722231,ud,2,16,7.785928888875716,1,0,0,0,2,304,21.0
24,14722177,ud,2,15,7.771742983400923,1,0,0,0,2,304,21.0
25,14722189,ud,2,33,69.79310937218843,4,0,0,0,5,304,21.0
26,14722198,ud,2,40,69.28444906977423,5,0,0,0,6,304,21.0
27,14722147,ud,2,39,41.52080394373782,1,0,0,0,2,304,21.0
28,14722156,ud,2,24,12.571468556610013,3,0,0,0,4,304,21.0
29,14722168,ud,2,14,85.42213628528968,4,0,0,0,5,304,21.0
30,14722117,ud,2,38,37.098602525730826,2,0,0,0,3,304,21.0
31,14722129,ud,2,2,2.730122699485033,1,0,0,0,2,304,21.0
32,14722138,ud,2,36,3.7930330720052385,1,0,0,0,2,304,21.0
33,14722081,ud,2,48,76.00167602624782,2,0,0,0,3,304,21.0
34,14722093,ud,2,50,174.50434327267797,2,0,0,0,3,304,21.0
35,14722105,ud,2,43,32.4717876738396,1,0,0,0,2,304,21.0
36,14722468,ud,2,23,7.199256528232484,2,0,0,0,3,304,21.0
37,14722483,ud,2,20,4.63159463806762,1,0,0,0,2,304,21.0
38,14722432,ud,2,13,3.593215286595926,1,0,0,0,2,304,21.0
39,14722441,ud,2,45,1.7010625575351828,1,0,0,0,2,304,21.0
40,14722450,ud,2,42,1.4828142404637743,1,0,0,0,2,304,21.0
41,14722459,ud,2,44,2.0286769589880143,1,0,0,0,2,304,21.0
42,14722405,ud,2,12,2.5582917506532263,1,0,0,0,2,304,21.0
43,14722414,ud,2,11,5.846523024229731,1,0,0,0,2,304,21.0
44,14722423,ud,2,30,2.1032453018079593,1,0,0,0,2,304,21.0
45,14722369,ud,2,6,12.92825670795439,2,0,0,0,3,304,21.0
46,14722378,ud,2,32,1.9820866600441125,1,0,0,0,2,304,21.0
47,14722390,ud,2,37,7.952488718196067,3,0,0,0,4,304,21.0
48,14722339,ud,2,1,2.1951700106913625,1,0,0,0,2,304,21.0
49,14722348,ud,2,22,12.078510195916149,1,0,0,0,2,304,21.0
50,14722312,ud,2,26,1.6286242391869887,1,0,0,0,2,304,21.0
51,14722321,ud,2,29,1.9183943488181665,1,0,0,0,2,304,21.0
52,14722330,ud,2,10,7.099167194617278,1,0,0,0,2,304,21.0
53,14721653,hl,1,2,45.92031022837266,0,162,0,0,155,304,21.0
54,14721823,hl,2,1,606.5849661460882,0,55,0,0,56,304,21.0
55,14721088,cd,2,38,4.508021106026543,0,0,2,1,2,304,21.0
56,14721095,cd,2,37,3.1712924327622845,0,0,2,1,2,304,21.0
57,14721102,cd,2,36,2.945297125364891,0,0,2,1,2,304,21.0
58,14721109,cd,2,35,2.5556785544921774,0,0,2,1,2,304,21.0
59,14721116,cd,2,59,2.957459044548742,0,0,3,1,3,304,21.0
60,14721060,cd,2,34,7.413247640436278,0,0,2,1,2,304,21.0
61,14721067,cd,2,33,6.075615606192898,0,0,2,1,2,304,21.0
62,14721074,cd,2,32,2.9640814255722887,0,0,2,1,2,304,21.0
63,14721081,cd,2,31,12.589624199087648,0,0,2,1,2,304,21.0
64,14721030,cd,2,58,14.548028723796257,0,0,3,1,3,304,21.0
65,14721038,cd,2,30,20.476582055701748,0,0,2,1,2,304,21.0
66,14721045,cd,2,57,13.632451913105447,0,0,3,1,3,304,21.0
67,14721053,cd,2,29,4.037551375150141,0,0,2,1,2,304,21.0
68,14720485,cd,2,28,109.80082903654142,0,0,2,1,2,304,21.0
69,14720492,cd,2,68,242.2202708452079,0,0,4,1,4,304,21.0
70,14720501,cd,2,27,38.71566400608492,0,0,2,1,2,304,21.0
71,14720508,cd,2,67,175.73111285979,0,0,4,1,4,304,21.0
72,14720451,cd,2,26,186.3622115831325,0,0,2,1,2,304,21.0
73,14720458,cd,2,66,215.9887192956757,0,0,4,1,4,304,21.0
74,14720467,cd,2,56,197.46951516081904,0,0,3,1,3,304,21.0
75,14720475,cd,2,72,227.09602287336224,0,0,5,1,5,304,21.0
76,14720418,cd,1,25,1.0584867498419575,0,0,2,1,2,304,21.0
77,14720425,cd,1,24,1.06344459787682,0,0,2,1,2,304,21.0
78,14720432,cd,2,55,161.4888195896083,0,0,3,1,3,304,21.0
79,14720440,cd,2,79,248.46050696951534,0,0,6,1,6,304,21.0
80,14720390,cd,1,23,2.9002883919404976,0,0,2,1,2,304,21.0
81,14720397,cd,1,22,2.872417960277515,0,0,2,1,2,304,21.0
82,14720404,cd,1,21,0.8897685360255386,0,0,2,1,2,304,21.0
83,14720411,cd,1,20,0.9772659088755039,0,0,2,1,2,304,21.0
84,14720359,cd,1,54,1.3787244163719339,0,0,3,1,3,304,21.0
85,14720367,cd,1,19,1.645014148370343,0,0,2,1,2,304,21.0
86,14720374,cd,1,53,2.00489995661987,0,0,3,1,3,304,21.0
87,14720382,cd,1,52,1.6009611698099366,0,0,3,1,3,304,21.0
88,14720321,cd,1,18,2.889417960277515,0,0,2,1,2,304,21.0
89,14720328,cd,1,51,1.3787244163719339,0,0,3,1,3,304,21.0
90,14720336,cd,1,96,1.382055667441161,0,0,2,3,2,304,21.0
91,14720343,cd,1,50,1.3787244163719339,0,0,3,1,3,304,21.0
92,14720351,cd,1,49,1.3787244163719339,0,0,3,1,3,304,21.0
93,14720293,cd,1,17,3.049637511559566,0,0,2,1,2,304,21.0
94,14720300,cd,1,16,2.900372040961657,0,0,2,1,2,304,21.0
