counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,514412,ud,2,21,6.152105223633404,1,0,0,0,2,96,10.0
2,514421,ud,2,32,57.50694737915848,1,0,0,0,2,96,10.0
3,514430,ud,2,27,52.552593780364845,1,0,0,0,2,96,10.0
4,514439,ud,2,2,3.369825994617269,1,0,0,0,2,96,10.0
5,514448,ud,2,26,3.7033561515617284,1,0,0,0,2,96,10.0
6,514457,ud,2,25,4.326626528547367,1,0,0,0,2,96,10.0
7,514466,ud,2,24,4.663396074369323,1,0,0,0,2,96,10.0
8,514475,ud,2,28,9.61875535528288,3,0,0,0,4,96,10.0
9,514487,ud,2,1,3.8919930457837104,1,0,0,0,2,96,10.0
10,514499,ud,2,15,7.145405907537352,2,0,0,0,3,96,10.0
11,514511,ud,2,31,1.4162729453174732,1,0,0,0,2,96,10.0
12,514520,ud,2,4,5.072266175745545,1,0,0,0,2,96,10.0
13,514529,ud,2,19,1.2828897636640928,1,0,0,0,2,96,10.0
14,514538,ud,2,8,2.6888774309877297,1,0,0,0,2,96,10.0
15,514547,ud,2,7,7.443781819043332,1,0,0,0,2,96,10.0
16,514556,ud,2,18,2.528613891460522,1,0,0,0,2,96,10.0
17,514565,ud,2,29,64.72078705293171,5,0,0,0,6,96,10.0
18,514574,ud,2,6,7.562482705855764,1,0,0,0,2,96,10.0
19,514595,ud,2,17,2.7335534431101696,1,0,0,0,2,96,10.0
20,514604,ud,2,3,6.876748970492205,1,0,0,0,2,96,10.0
21,514613,ud,2,23,47.984170484090534,5,0,0,0,6,96,10.0
22,514625,ud,2,5,3.135195049119472,1,0,0,0,2,96,10.0
23,514643,ud,2,20,2.067525117503234,1,0,0,0,2,96,10.0
24,514652,ud,2,14,14.716249362529677,2,0,0,0,3,96,10.0
25,514661,ud,2,12,6.175690593180104,1,0,0,0,2,96,10.0
26,514673,ud,2,22,98.722801592966,5,0,0,0,6,96,10.0
27,514694,ud,2,11,5.69550707426401,1,0,0,0,2,96,10.0
28,514703,ud,2,13,4.721246829725763,1,0,0,0,2,96,10.0
29,514712,ud,2,30,6.636284041819655,1,0,0,0,2,96,10.0
30,514721,ud,2,10,1.77986121276266,1,0,0,0,2,96,10.0
31,514730,ud,2,9,8.146020508357845,1,0,0,0,2,96,10.0
32,514739,ud,2,16,1.3588139418211616,1,0,0,0,2,96,10.0
33,514371,hl,2,1,265.58420603279035,0,33,0,0,33,96,10.0
34,513303,cd,1,19,1.0553147752206744,0,0,2,1,2,96,10.0
35,513296,cd,1,72,2.75123348565792,0,0,2,4,2,96,10.0
36,513310,cd,1,18,1.141522308098054,0,0,2,1,2,96,10.0
37,513317,cd,1,17,0.9644251451413345,0,0,2,1,2,96,10.0
38,513324,cd,1,71,1.1364582733884134,0,0,2,2,2,96,10.0
39,513331,cd,2,16,38.216226026794686,0,0,2,1,2,96,10.0
40,513338,cd,2,15,78.9850621525591,0,0,2,1,2,96,10.0
41,513345,cd,2,14,88.58142638612271,0,0,2,1,2,96,10.0
42,513359,cd,2,32,21.42755767325387,0,0,4,1,4,96,10.0
43,513352,cd,2,70,9.308480868481727,0,0,2,2,2,96,10.0
44,513375,cd,2,27,44.61600524916555,0,0,3,1,3,96,10.0
45,513368,cd,2,13,23.93281259618859,0,0,2,1,2,96,10.0
46,513383,cd,2,12,21.285633174561898,0,0,2,1,2,96,10.0
47,513390,cd,2,39,42.94061908881644,0,0,5,1,5,96,10.0
48,513400,cd,2,43,69.49260445300285,0,0,6,1,6,96,10.0
49,513411,cd,2,38,59.35106109860381,0,0,5,1,5,96,10.0
50,513421,cd,2,69,34.90914131221034,0,0,2,2,2,96,10.0
51,513428,cd,2,47,73.57975600256239,0,0,7,1,7,96,10.0
52,513447,cd,2,26,32.442256303605284,0,0,3,1,3,96,10.0
53,513440,cd,2,11,17.031261422279897,0,0,2,1,2,96,10.0
54,513455,cd,2,46,58.51929844160691,0,0,7,1,7,96,10.0
55,513467,cd,2,31,34.07737865521344,0,0,4,1,4,96,10.0
56,513476,cd,2,52,66.08125322885074,0,0,8,1,8,96,10.0
57,513489,cd,2,25,18.666383773888047,0,0,3,1,3,96,10.0
58,513497,cd,2,37,34.276077769347765,0,0,5,1,5,96,10.0
59,513507,cd,2,45,57.35190792827065,0,0,7,1,7,96,10.0
60,513519,cd,2,51,58.7793861208641,0,0,8,1,8,96,10.0
61,513532,cd,2,36,34.33746633447063,0,0,5,1,5,96,10.0
62,513542,cd,2,58,73.00808102482269,0,0,10,1,10,96,10.0
63,513557,cd,2,30,32.909988141877164,0,0,4,1,4,96,10.0
64,513566,cd,2,24,17.49899326055178,0,0,3,1,3,96,10.0
65,513574,cd,2,35,33.01588062364597,0,0,5,1,5,96,10.0
66,513584,cd,2,42,34.34761303741995,0,0,6,1,6,96,10.0
67,513595,cd,2,23,7.855812526878109,0,0,3,1,3,96,10.0
68,513603,cd,2,34,37.2031300121898,0,0,5,1,5,96,10.0
69,513613,cd,2,57,75.87374470254187,0,0,10,1,10,96,10.0
70,513628,cd,2,50,61.64504979858327,0,0,8,1,8,96,10.0
