counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,16014071,ud,2,21,4.282166077627846,1,0,0,0,2,305,18.0
2,16014050,ud,2,28,1.9811364555908852,1,0,0,0,2,305,18.0
3,16014059,ud,2,15,12.972190034213122,2,0,0,0,3,305,18.0
4,16014041,ud,2,49,49.07831099690689,1,0,0,0,2,305,18.0
5,16014020,ud,2,20,12.015330966359203,1,0,0,0,2,305,18.0
6,16014029,ud,2,14,63.87140266666201,3,0,0,0,4,305,18.0
7,16014005,ud,2,51,256.5634976167081,5,0,0,0,6,305,18.0
8,16013987,ud,2,13,6.790115083744608,1,0,0,0,2,305,18.0
9,16013996,ud,2,4,2.2468586716609793,1,0,0,0,2,305,18.0
10,16013969,ud,2,12,30.253169910712025,1,0,0,0,2,305,18.0
11,16013978,ud,2,27,1.6258879120966174,1,0,0,0,2,305,18.0
12,16014317,ud,2,43,50.482072344979514,2,0,0,0,3,305,18.0
13,16014290,ud,2,40,144.7691308878728,5,0,0,0,6,305,18.0
14,16014302,ud,2,42,94.31282412361469,3,0,0,0,4,305,18.0
15,16014275,ud,2,26,17.6969624208477,4,0,0,0,5,305,18.0
16,16014266,ud,2,11,4.655116542946095,1,0,0,0,2,305,18.0
17,16014245,ud,2,10,4.140763293417603,1,0,0,0,2,305,18.0
18,16014254,ud,2,3,8.121544134339302,2,0,0,0,3,305,18.0
19,16014227,ud,2,45,1.0788946799117078,1,0,0,0,2,305,18.0
20,16014236,ud,2,9,7.566068582999566,1,0,0,0,2,305,18.0
21,16014215,ud,2,50,54.372628418008915,2,0,0,0,3,305,18.0
22,16014197,ud,2,2,5.484525528731552,1,0,0,0,2,305,18.0
23,16014206,ud,2,44,89.28140680673845,2,0,0,0,3,305,18.0
24,16014182,ud,2,25,3.950753121613209,3,0,0,0,4,305,18.0
25,16014161,ud,2,23,7.822117922323395,2,0,0,0,3,305,18.0
26,16014173,ud,2,19,4.643804239084045,1,0,0,0,2,305,18.0
27,16014152,ud,2,37,2.0415416387042873,1,0,0,0,2,305,18.0
28,16014134,ud,2,29,1.5075759360553507,1,0,0,0,2,305,18.0
29,16014143,ud,2,47,8.332325078652843,1,0,0,0,2,305,18.0
30,16014116,ud,2,8,4.356064151538359,1,0,0,0,2,305,18.0
31,16014125,ud,2,38,1.7213579246833461,1,0,0,0,2,305,18.0
32,16014098,ud,2,18,6.0199143158373705,1,0,0,0,2,305,18.0
33,16014107,ud,2,41,4.706573951296351,1,0,0,0,2,305,18.0
34,16014080,ud,2,7,2.76283017662535,1,0,0,0,2,305,18.0
35,16014089,ud,2,46,3.307148584986103,1,0,0,0,2,305,18.0
36,16014554,ud,2,32,7.352377676913408,2,0,0,0,3,305,18.0
37,16014533,ud,2,22,15.192960778241362,1,0,0,0,2,305,18.0
38,16014542,ud,2,24,8.435781277234536,2,0,0,0,3,305,18.0
39,16014515,ud,2,6,3.156734769297853,1,0,0,0,2,305,18.0
40,16014524,ud,2,48,12.438814578022008,1,0,0,0,2,305,18.0
41,16014494,ud,2,17,8.046621947664722,1,0,0,0,2,305,18.0
42,16014464,ud,2,36,123.83157870305936,5,0,0,0,6,305,18.0
43,16014473,ud,2,35,65.7513541226958,5,0,0,0,6,305,18.0
44,16014449,ud,2,16,10.01633586485958,2,0,0,0,3,305,18.0
45,16014440,ud,2,34,42.43764979272037,1,0,0,0,2,305,18.0
46,16014419,ud,2,31,3.960972279292794,1,0,0,0,2,305,18.0
47,16014428,ud,2,30,36.51436484735419,2,0,0,0,3,305,18.0
48,16014410,ud,2,1,2.716485559299112,1,0,0,0,2,305,18.0
49,16014395,ud,2,39,32.624145129060906,1,0,0,0,2,305,18.0
50,16014338,ud,2,5,2.5433382512171057,2,0,0,0,3,305,18.0
51,16014350,ud,2,33,37.685428919772036,11,0,0,0,12,305,18.0
52,16013735,hl,1,2,46.18942131968846,0,164,0,0,157,305,18.0
53,16013907,hl,2,1,620.2001684383374,0,54,0,0,55,305,18.0
54,16012020,cd,1,39,2.902778946077562,0,0,2,1,2,305,18.0
55,16012027,cd,1,38,1.649410212003195,0,0,2,1,2,305,18.0
56,16012286,cd,2,37,54.48767370507475,0,0,2,1,2,305,18.0
57,16012269,cd,2,103,340.5720758892225,0,0,12,1,12,305,18.0
58,16012255,cd,2,91,241.50225248043847,0,0,9,1,9,305,18.0
59,16012226,cd,2,85,208.8563349667167,0,0,8,1,8,305,18.0
60,16012239,cd,2,101,367.9866432466487,0,0,11,1,11,305,18.0
61,16012213,cd,2,84,254.7950828426679,0,0,8,1,8,305,18.0
62,16012203,cd,2,68,113.98761763965118,0,0,5,1,5,305,18.0
63,16012183,cd,2,36,37.068785811539676,0,0,2,1,2,305,18.0
64,16012190,cd,2,83,242.35140420263986,0,0,8,1,8,305,18.0
65,16012166,cd,2,35,151.1443691641673,0,0,2,1,2,305,18.0
66,16012173,cd,2,67,156.43985736160204,0,0,5,1,5,305,18.0
67,16012145,cd,1,34,0.8832308219961131,0,0,2,1,2,305,18.0
68,16012159,cd,1,33,1.06344459787682,0,0,2,1,2,305,18.0
69,16012152,cd,1,32,1.0869257617633354,0,0,2,1,2,305,18.0
70,16012131,cd,1,31,3.1202976045024706,0,0,2,1,2,305,18.0
71,16012138,cd,1,30,0.9772659088755039,0,0,2,1,2,305,18.0
72,16012117,cd,1,29,2.9441381224380008,0,0,2,1,2,305,18.0
73,16012124,cd,1,28,2.913732355168471,0,0,2,1,2,305,18.0
74,16012103,cd,1,27,2.902778946077562,0,0,2,1,2,305,18.0
75,16012096,cd,1,26,2.902778946077562,0,0,2,1,2,305,18.0
76,16012110,cd,1,25,2.9938601045024704,0,0,2,1,2,305,18.0
77,16012081,cd,1,56,1.3787274396617812,0,0,3,1,3,305,18.0
78,16012089,cd,1,24,2.9306479310504407,0,0,2,1,2,305,18.0
79,16012065,cd,1,55,1.3787274396617812,0,0,3,1,3,305,18.0
80,16012073,cd,1,54,1.3787274396617812,0,0,3,1,3,305,18.0
81,16012050,cd,1,53,1.3787274396617812,0,0,3,1,3,305,18.0
82,16012058,cd,1,113,1.3820601065927816,0,0,2,3,2,305,18.0
83,16012034,cd,1,52,2.010633020204174,0,0,3,1,3,305,18.0
84,16012042,cd,1,51,1.604024609367338,0,0,3,1,3,305,18.0
85,16012542,cd,2,90,190.04696485987347,0,0,9,1,9,305,18.0
86,16012519,cd,2,23,42.163688309511016,0,0,2,1,2,305,18.0
87,16012526,cd,2,100,316.4776088193416,0,0,11,1,11,305,18.0
88,16012497,cd,2,89,186.58728555440672,0,0,9,1,9,305,18.0
89,16012511,cd,2,50,72.27874454886185,0,0,3,1,3,305,18.0
90,16012489,cd,2,49,68.8190652433951,0,0,3,1,3,305,18.0
91,16012473,cd,2,99,313.01792951387483,0,0,11,1,11,305,18.0
92,16012457,cd,2,98,253.05593778769162,0,0,11,1,11,305,18.0
93,16012439,cd,2,105,379.4865817471598,0,0,13,1,13,305,18.0
94,16012427,cd,2,81,130.33067547021776,0,0,7,1,7,305,18.0
95,16012408,cd,2,106,363.93332116850945,0,0,14,1,14,305,18.0
96,16012397,cd,2,76,119.73445689802962,0,0,6,1,6,305,18.0
97,16012373,cd,2,22,70.57739213121847,0,0,2,1,2,305,18.0
98,16012380,cd,2,102,241.1152028988516,0,0,12,1,12,305,18.0
99,16012356,cd,2,66,99.3524675537501,0,0,5,1,5,305,18.0
100,16012366,cd,2,21,34.64214220828857,0,0,2,1,2,305,18.0
101,16012338,cd,2,104,343.55133182422986,0,0,13,1,13,305,18.0
102,16012327,cd,2,75,109.94868612593822,0,0,6,1,6,305,18.0
103,16012315,cd,2,80,144.4535027521651,0,0,7,1,7,305,18.0
104,16012293,cd,2,20,38.70400900404426,0,0,2,1,2,305,18.0
105,16012300,cd,2,94,219.2332030681285,0,0,10,1,10,305,18.0
106,16012790,cd,2,62,88.88885712844599,0,0,4,1,4,305,18.0
107,16012799,cd,2,74,215.3195010879141,0,0,6,1,6,305,18.0
108,16012774,cd,2,61,123.79393984788025,0,0,4,1,4,305,18.0
109,16012783,cd,2,112,28.613123895107492,0,0,2,2,2,305,18.0
110,16012763,cd,2,73,250.22458380734838,0,0,6,1,6,305,18.0
111,16012751,cd,2,79,240.41826159911932,0,0,7,1,7,305,18.0
112,16012744,cd,2,111,19.7897029842946,0,0,2,2,2,305,18.0
113,16012730,cd,2,88,253.39234868258626,0,0,9,1,9,305,18.0
114,16012706,cd,2,72,80.08964719463084,0,0,6,1,6,305,18.0
115,16012717,cd,2,82,140.36538042796934,0,0,8,1,8,305,18.0
116,16012690,cd,2,97,260.25546314283577,0,0,11,1,11,305,18.0
117,16012675,cd,2,93,266.79602438743746,0,0,10,1,10,305,18.0
118,16012659,cd,2,96,267.3630640276979,0,0,11,1,11,305,18.0
119,16012645,cd,2,87,140.9324200682297,0,0,9,1,9,305,18.0
120,16012631,cd,2,86,136.8494859191884,0,0,9,1,9,305,18.0
121,16012615,cd,2,95,263.2801298786565,0,0,11,1,11,305,18.0
122,16012592,cd,2,78,161.01035639692157,0,0,7,1,7,305,18.0
123,16012604,cd,2,71,128.3644388831998,0,0,6,1,6,305,18.0
124,16012582,cd,2,65,131.93750313860522,0,0,5,1,5,305,18.0
125,16012567,cd,2,92,335.2869789261848,0,0,10,1,10,305,18.0
126,16012556,cd,2,70,113.128133031762,0,0,6,1,6,305,18.0
127,16013044,cd,2,19,4.42725392075201,0,0,2,1,2,305,18.0
128,16013051,cd,2,18,7.552696674263476,0,0,2,1,2,305,18.0
129,16013029,cd,2,17,5.600701358984628,0,0,2,1,2,305,18.0
130,16013036,cd,2,48,12.186821005058459,0,0,3,1,3,305,18.0
131,16013015,cd,2,16,7.090882865505779,0,0,2,1,2,305,18.0
132,16013022,cd,2,15,7.90512803216603,0,0,2,1,2,305,18.0
133,16012992,cd,2,47,18.388394164015175,0,0,3,1,3,305,18.0
134,16013007,cd,2,46,10.557310456898986,0,0,3,1,3,305,18.0
135,16013000,cd,2,14,5.845760264275522,0,0,2,1,2,305,18.0
136,16012978,cd,2,13,20.230961161428798,0,0,2,1,2,305,18.0
137,16012985,cd,2,12,15.708277362986461,0,0,2,1,2,305,18.0
138,16012963,cd,2,11,2.8900926816173174,0,0,2,1,2,305,18.0
139,16012970,cd,2,45,14.663920347791446,0,0,3,1,3,305,18.0
140,16012948,cd,2,44,13.363022515258114,0,0,3,1,3,305,18.0
141,16012956,cd,2,10,11.983803546762735,0,0,2,1,2,305,18.0
142,16012933,cd,2,110,5.679089938923829,0,0,2,2,2,305,18.0
143,16012940,cd,2,43,19.955247895628382,0,0,3,1,3,305,18.0
144,16012917,cd,2,109,9.780704009206007,0,0,2,2,2,305,18.0
145,16012924,cd,2,60,17.446092308849927,0,0,4,1,4,305,18.0
146,16012903,cd,2,9,159.07656147318988,0,0,2,1,2,305,18.0
147,16012910,cd,2,108,15.060495117025082,0,0,2,2,2,305,18.0
148,16012886,cd,2,59,202.6874237270945,0,0,4,1,4,305,18.0
149,16012895,cd,2,42,215.02001735756932,0,0,3,1,3,305,18.0
150,16012868,cd,2,41,93.5619304228845,0,0,3,1,3,305,18.0
151,16012876,cd,2,64,219.99257438235261,0,0,5,1,5,305,18.0
152,16012850,cd,2,58,87.03484119441659,0,0,4,1,4,305,18.0
153,16012859,cd,2,57,126.20784793660627,0,0,4,1,4,305,18.0
154,16012839,cd,2,69,213.46548515388469,0,0,6,1,6,305,18.0
155,16012817,cd,2,77,214.1829796600801,0,0,7,1,7,305,18.0
156,16012829,cd,2,63,87.752335700612,0,0,5,1,5,305,18.0
157,16012810,cd,2,8,49.267243723833914,0,0,2,1,2,305,18.0
158,16013108,cd,2,7,13.558753245269978,0,0,2,1,2,305,18.0
159,16013115,cd,2,6,7.1227247244767415,0,0,2,1,2,305,18.0
160,16013093,cd,2,5,2.5986686877678835,0,0,2,1,2,305,18.0
161,16013100,cd,2,40,2.9818882706249727,0,0,3,1,3,305,18.0
162,16013079,cd,2,4,3.0567441266186375,0,0,2,1,2,305,18.0
163,16013072,cd,2,107,3.9914784770699003,0,0,2,2,2,305,18.0
164,16013086,cd,2,3,2.974392133548645,0,0,2,1,2,305,18.0
165,16013058,cd,2,2,3.368507799524618,0,0,2,1,2,305,18.0
166,16013065,cd,2,1,2.9415323078617783,0,0,2,1,2,305,18.0
