counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,17452399,ud,2,52,96.00643501607047,4,0,0,0,5,319,22.0
2,17452390,ud,2,25,4.216798206282396,1,0,0,0,2,319,22.0
3,17452408,ud,2,24,5.0972679523762014,2,0,0,0,3,319,22.0
4,17452429,ud,2,41,4.610468640133497,1,0,0,0,2,319,22.0
5,17452420,ud,2,16,6.40205898337351,1,0,0,0,2,319,22.0
6,17452447,ud,2,15,5.214883649109042,1,0,0,0,2,319,22.0
7,17452438,ud,2,38,1.6475424630211886,1,0,0,0,2,319,22.0
8,17452456,ud,2,49,8.390128523871343,1,0,0,0,2,319,22.0
9,17452474,ud,2,31,1.4538326751661677,1,0,0,0,2,319,22.0
10,17452465,ud,2,37,1.9785971495337993,1,0,0,0,2,319,22.0
11,17452492,ud,2,23,8.783846238685708,2,0,0,0,3,319,22.0
12,17452483,ud,2,26,11.87953802132797,2,0,0,0,3,319,22.0
13,17452504,ud,2,22,4.784640810703044,1,0,0,0,2,319,22.0
14,17452513,ud,2,36,4.621580829253705,4,0,0,0,5,319,22.0
15,17452540,ud,2,14,7.332453630358602,1,0,0,0,2,319,22.0
16,17452531,ud,2,5,5.4778740619562845,1,0,0,0,2,319,22.0
17,17452810,ud,2,51,185.10052645807332,9,0,0,0,10,319,22.0
18,17452819,ud,2,40,178.99826042149152,5,0,0,0,6,319,22.0
19,17452846,ud,2,53,15.437080410201563,3,0,0,0,4,319,22.0
20,17452870,ud,2,21,15.19295669272421,1,0,0,0,2,319,22.0
21,17452882,ud,2,13,3.5535327519795854,1,0,0,0,2,319,22.0
22,17452903,ud,2,57,38.552883643380284,2,0,0,0,3,319,22.0
23,17452927,ud,2,35,7.57829639529513,2,0,0,0,3,319,22.0
24,17452915,ud,2,30,4.502616867389326,2,0,0,0,3,319,22.0
25,17452948,ud,2,12,3.627270437243183,1,0,0,0,2,319,22.0
26,17452972,ud,2,20,38.791198631645635,2,0,0,0,3,319,22.0
27,17452960,ud,2,50,4.6277091541541955,2,0,0,0,3,319,22.0
28,17452984,ud,2,34,1.6179162457546399,1,0,0,0,2,319,22.0
29,17453002,ud,2,55,3.8261927115972187,1,0,0,0,2,319,22.0
30,17452993,ud,2,11,6.984866816817246,1,0,0,0,2,319,22.0
31,17453020,ud,2,44,1.984982027143061,1,0,0,0,2,319,22.0
32,17453011,ud,2,4,2.309192987446466,1,0,0,0,2,319,22.0
33,17453038,ud,2,19,11.778799318839571,1,0,0,0,2,319,22.0
34,17453047,ud,2,54,66.51037110794388,2,0,0,0,3,319,22.0
35,17452549,ud,2,3,8.315607675700825,2,0,0,0,3,319,22.0
36,17452570,ud,2,10,4.230922905848017,1,0,0,0,2,319,22.0
37,17452561,ud,2,46,1.0736396396208594,1,0,0,0,2,319,22.0
38,17452588,ud,2,48,104.96300694683704,3,0,0,0,4,319,22.0
39,17452579,ud,2,9,4.759755354359557,1,0,0,0,2,319,22.0
40,17452597,ud,2,45,131.83569272818892,5,0,0,0,6,319,22.0
41,17452609,ud,2,47,56.7584742642575,2,0,0,0,3,319,22.0
42,17452633,ud,2,43,41.79464001783433,12,0,0,0,13,319,22.0
43,17452687,ud,2,42,42.89610579968016,1,0,0,0,2,319,22.0
44,17452675,ud,2,8,2.5411320182116897,2,0,0,0,3,319,22.0
45,17452696,ud,2,2,2.6089872495179502,1,0,0,0,2,319,22.0
46,17452714,ud,2,29,52.85950836167204,2,0,0,0,3,319,22.0
47,17452705,ud,2,33,129.83750407505636,1,0,0,0,2,319,22.0
48,17452732,ud,2,1,2.6791243033815846,1,0,0,0,2,319,22.0
49,17452723,ud,2,32,4.310311726989594,1,0,0,0,2,319,22.0
50,17452741,ud,2,39,43.339152333856084,2,0,0,0,3,319,22.0
51,17452765,ud,2,7,78.73769652807978,3,0,0,0,4,319,22.0
52,17452756,ud,2,28,7.325894417133288,3,0,0,0,4,319,22.0
53,17452774,ud,2,18,14.930435246183592,3,0,0,0,4,319,22.0
54,17452789,ud,2,56,59.113879473935164,5,0,0,0,6,319,22.0
55,17453068,ud,2,6,13.554308441202792,2,0,0,0,3,319,22.0
56,17453059,ud,2,17,4.239999069344936,1,0,0,0,2,319,22.0
57,17453080,ud,2,27,2.005236808935786,1,0,0,0,2,319,22.0
58,17453089,ud,2,58,61.60077668933798,2,0,0,0,3,319,22.0
59,17452325,hl,2,1,654.2426712365059,0,57,0,0,58,319,22.0
60,17452151,hl,1,2,48.33807562086322,0,166,0,0,159,319,22.0
61,17450252,cd,1,45,1.538200993470185,0,0,2,1,2,319,22.0
62,17450244,cd,1,67,1.6466894794115867,0,0,3,1,3,319,22.0
63,17450266,cd,1,44,2.944952514247912,0,0,2,1,2,319,22.0
64,17450259,cd,1,43,2.9164555790080833,0,0,2,1,2,319,22.0
65,17450280,cd,1,42,3.143081380290135,0,0,2,1,2,319,22.0
66,17450287,cd,1,41,1.0067494594388342,0,0,2,1,2,319,22.0
67,17450273,cd,1,40,2.9164555790080833,0,0,2,1,2,319,22.0
68,17450301,cd,1,39,1.0954295573490043,0,0,2,1,2,319,22.0
69,17450294,cd,1,38,0.8819997774315604,0,0,2,1,2,319,22.0
70,17450315,cd,2,76,169.84460292989166,0,0,4,1,4,319,22.0
71,17450308,cd,1,37,1.06344459787682,0,0,2,1,2,319,22.0
72,17450334,cd,2,95,205.55548167110325,0,0,6,1,6,319,22.0
73,17450324,cd,2,85,168.7499518664766,0,0,5,1,5,319,22.0
74,17450345,cd,2,84,206.41942275849058,0,0,5,1,5,319,22.0
75,17450367,cd,2,83,239.19213933785545,0,0,5,1,5,319,22.0
76,17450355,cd,2,100,274.90301807906707,0,0,7,1,7,319,22.0
77,17450377,cd,2,108,288.6393626259365,0,0,9,1,9,319,22.0
78,17450391,cd,2,94,223.71688098708918,0,0,6,1,6,319,22.0
79,17450414,cd,2,107,296.5211437062902,0,0,9,1,9,319,22.0
80,17450402,cd,2,99,260.8102649650786,0,0,7,1,7,319,22.0
81,17450428,cd,2,66,107.30665393693357,0,0,3,1,3,319,22.0
82,17450445,cd,2,115,358.4472822812814,0,0,10,1,10,319,22.0
83,17450436,cd,2,75,123.6476458386802,0,0,4,1,4,319,22.0
84,17450460,cd,2,74,169.2327925119248,0,0,4,1,4,319,22.0
85,17450477,cd,2,114,326.8112411988836,0,0,10,1,10,319,22.0
86,17450469,cd,2,65,105.27661763171895,0,0,3,1,3,319,22.0
87,17450492,cd,2,106,233.8485199394612,0,0,9,1,9,319,22.0
88,17450170,cd,1,133,7.065770323238527,0,0,2,3,2,319,22.0
89,17450185,cd,1,64,1.4667083059198158,0,0,3,1,3,319,22.0
90,17450177,cd,1,63,1.4667083059198158,0,0,3,1,3,319,22.0
91,17450201,cd,1,62,1.4667083059198158,0,0,3,1,3,319,22.0
92,17450193,cd,1,61,1.4667083059198158,0,0,3,1,3,319,22.0
93,17450216,cd,1,36,2.9600288615533015,0,0,2,1,2,319,22.0
94,17450223,cd,1,35,2.927408332591825,0,0,2,1,2,319,22.0
95,17450209,cd,1,132,1.4837178949876346,0,0,2,3,2,319,22.0
96,17450237,cd,1,34,3.0166438802901347,0,0,2,1,2,319,22.0
97,17450230,cd,1,33,2.9164555790080833,0,0,2,1,2,319,22.0
98,17450757,cd,2,119,283.96141684270606,0,0,12,1,12,319,22.0
99,17450774,cd,2,105,143.81398937619517,0,0,9,1,9,319,22.0
100,17450788,cd,2,98,94.80090373669583,0,0,7,1,7,319,22.0
101,17450815,cd,2,124,362.24008204318744,0,0,16,1,16,319,22.0
102,17450800,cd,2,113,160.1549812779418,0,0,10,1,10,319,22.0
103,17450836,cd,2,118,167.48009632928387,0,0,11,1,11,319,22.0
104,17450852,cd,2,122,290.5409100948518,0,0,14,1,14,319,22.0
105,17450871,cd,2,121,294.71598712643373,0,0,14,1,14,319,22.0
106,17450890,cd,2,112,141.2123760982887,0,0,10,1,10,319,22.0
107,17450905,cd,2,120,297.31760040434017,0,0,13,1,13,319,22.0
108,17450923,cd,2,82,61.2995451511223,0,0,5,1,5,319,22.0
109,17450940,cd,2,32,55.18190712414348,0,0,2,1,2,319,22.0
110,17450933,cd,2,31,37.85593302242994,0,0,2,1,2,319,22.0
111,17450947,cd,2,104,273.60799979113574,0,0,9,1,9,319,22.0
112,17450972,cd,2,60,144.48773417774044,0,0,3,1,3,319,22.0
113,17450961,cd,2,93,208.6855181522885,0,0,6,1,6,319,22.0
114,17450991,cd,2,73,137.70577593616366,0,0,4,1,4,319,22.0
115,17450980,cd,2,92,173.41665467737525,0,0,6,1,6,319,22.0
116,17451000,cd,2,91,201.02823788453165,0,0,6,1,6,319,22.0
117,17450506,cd,2,102,322.73640354006983,0,0,8,1,8,319,22.0
118,17450526,cd,2,103,308.03613864873245,0,0,9,1,9,319,22.0
119,17450519,cd,2,30,120.21970687242543,0,0,2,1,2,319,22.0
120,17450540,cd,2,59,105.51944198108802,0,0,3,1,3,319,22.0
121,17450555,cd,2,90,147.404645318348,0,0,6,1,6,319,22.0
122,17450548,cd,2,29,76.3726578323709,0,0,2,1,2,319,22.0
123,17450566,cd,2,111,300.90825634649303,0,0,10,1,10,319,22.0
124,17450589,cd,2,81,154.53252762058736,0,0,5,1,5,319,22.0
125,17450581,cd,2,58,69.24477553013156,0,0,3,1,3,319,22.0
126,17450599,cd,2,101,240.37262969007432,0,0,8,1,8,319,22.0
127,17450621,cd,2,80,103.21001056367591,0,0,5,1,5,319,22.0
128,17450612,cd,2,72,86.86901866192929,0,0,4,1,4,319,22.0
129,17450631,cd,2,117,311.8267756807536,0,0,11,1,11,319,22.0
130,17450654,cd,2,89,141.13130800368626,0,0,6,1,6,319,22.0
131,17450647,cd,2,28,58.61686377861338,0,0,2,1,2,319,22.0
132,17450665,cd,2,110,294.63491903183126,0,0,10,1,10,319,22.0
133,17450680,cd,2,27,35.67733560383371,0,0,2,1,2,319,22.0
134,17450687,cd,2,109,271.6953908570516,0,0,10,1,10,319,22.0
135,17450702,cd,2,116,284.49254351563206,0,0,11,1,11,319,22.0
136,17450718,cd,2,97,130.98893248748703,0,0,7,1,7,319,22.0
