counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,21243735,ud,2,11,2.0255453678349866,1,0,0,0,2,364,21.0
2,21243744,ud,2,47,40.69569461129539,1,0,0,0,2,364,21.0
3,21243753,ud,2,72,3.224145444518691,1,0,0,0,2,364,21.0
4,21243651,ud,2,63,2.0404876195541686,1,0,0,0,2,364,21.0
5,21243660,ud,2,26,4.619087920871852,1,0,0,0,2,364,21.0
6,21243669,ud,2,74,3.488104621869036,1,0,0,0,2,364,21.0
7,21243678,ud,2,46,136.82165126080167,3,0,0,0,4,364,21.0
8,21243687,ud,2,57,111.54278665589703,3,0,0,0,4,364,21.0
9,21243696,ud,2,56,61.4512608790407,2,0,0,0,3,364,21.0
10,21243711,ud,2,45,42.75765029465269,12,0,0,0,13,364,21.0
11,21243840,ud,2,44,50.81833365251302,3,0,0,0,4,364,21.0
12,21243852,ud,2,33,6.696657459494357,2,0,0,0,3,364,21.0
13,21243864,ud,2,25,73.43393131536278,3,0,0,0,4,364,21.0
14,21243873,ud,2,10,9.605321186117115,1,0,0,0,2,364,21.0
15,21243882,ud,2,51,141.88894430707674,5,0,0,0,6,364,21.0
16,21243891,ud,2,60,139.176520704843,11,0,0,0,12,364,21.0
17,21243900,ud,2,9,8.68419209582241,1,0,0,0,2,364,21.0
18,21243780,ud,2,43,135.90728936065022,1,0,0,0,2,364,21.0
19,21243789,ud,2,53,48.006557546200064,3,0,0,0,4,364,21.0
20,21243801,ud,2,42,4.1188957651877764,1,0,0,0,2,364,21.0
21,21243810,ud,2,62,51.71344915765389,4,0,0,0,5,364,21.0
22,21243822,ud,2,8,2.650669545019933,1,0,0,0,2,364,21.0
23,21243585,ud,2,50,1.0753212998551702,1,0,0,0,2,364,21.0
24,21243594,ud,2,69,19.839248500708184,4,0,0,0,5,364,21.0
25,21243612,ud,2,7,7.353272760987847,1,0,0,0,2,364,21.0
26,21243621,ud,2,6,8.062179654112464,2,0,0,0,3,364,21.0
27,21243633,ud,2,39,3.560270762799095,1,0,0,0,2,364,21.0
28,21243642,ud,2,68,2.612187368918035,1,0,0,0,2,364,21.0
29,21243558,ud,2,5,5.4146386843369,1,0,0,0,2,364,21.0
30,21243567,ud,2,24,4.124809707379955,1,0,0,0,2,364,21.0
31,21243576,ud,2,70,1.4366505861063636,1,0,0,0,2,364,21.0
32,21244230,ud,2,73,60.175344293980565,2,0,0,0,3,364,21.0
33,21244239,ud,2,23,4.268045405977926,1,0,0,0,2,364,21.0
34,21244248,ud,2,4,14.326906490087149,2,0,0,0,3,364,21.0
35,21244257,ud,2,38,1.9913907436063059,1,0,0,0,2,364,21.0
36,21244272,ud,2,22,4.229979950616768,1,0,0,0,2,364,21.0
37,21244281,ud,2,32,5.0805490805875895,2,0,0,0,3,364,21.0
38,21244167,ud,2,65,1.5868456500094046,1,0,0,0,2,364,21.0
39,21244176,ud,2,3,2.2997190571100763,1,0,0,0,2,364,21.0
40,21244185,ud,2,59,6.156030357605525,1,0,0,0,2,364,21.0
41,21244200,ud,2,21,12.39759252886888,1,0,0,0,2,364,21.0
42,21244212,ud,2,55,1.6539831798190467,1,0,0,0,2,364,21.0
43,21244221,ud,2,49,22.296028363557767,1,0,0,0,2,364,21.0
44,21244353,ud,2,20,9.055525349809898,2,0,0,0,3,364,21.0
45,21244365,ud,2,31,1.4566381664571746,1,0,0,0,2,364,21.0
46,21244374,ud,2,37,1.9604269302282855,1,0,0,0,2,364,21.0
47,21244386,ud,2,19,4.826002350449901,1,0,0,0,2,364,21.0
48,21244395,ud,2,18,2.2960790943679017,1,0,0,0,2,364,21.0
49,21244296,ud,2,17,6.639816760759167,1,0,0,0,2,364,21.0
50,21244305,ud,2,36,6.8161695554286865,1,0,0,0,2,364,21.0
51,21244314,ud,2,71,11.01374603862304,1,0,0,0,2,364,21.0
52,21244323,ud,2,2,3.025765917143929,1,0,0,0,2,364,21.0
53,21244335,ud,2,35,1.6421847877875932,1,0,0,0,2,364,21.0
54,21244344,ud,2,1,5.289321029271129,1,0,0,0,2,364,21.0
55,21243987,ud,2,52,2.1380871493170694,1,0,0,0,2,364,21.0
56,21244002,ud,2,16,3.3181770637060697,1,0,0,0,2,364,21.0
