counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,26453398,ud,2,62,4.1170398746044725,2,0,0,0,3,210,14.0
2,26453389,ud,2,57,4.020433661676755,1,0,0,0,2,210,14.0
3,26453410,ud,2,71,45.135536581001446,1,0,0,0,2,210,14.0
4,26453458,ud,2,15,9.581155065337695,1,0,0,0,2,210,14.0
5,26453467,ud,2,36,41.23726462011802,1,0,0,0,2,210,14.0
6,26453440,ud,2,14,2.69546925889201,1,0,0,0,2,210,14.0
7,26453449,ud,2,35,42.129805521593696,1,0,0,0,2,210,14.0
8,26453494,ud,2,13,10.468189902946879,1,0,0,0,2,210,14.0
9,26453503,ud,2,81,4.741773193724953,1,0,0,0,2,210,14.0
10,26453476,ud,2,12,1.5704753937849594,1,0,0,0,2,210,14.0
11,26453485,ud,2,34,62.41327746935753,3,0,0,0,4,210,14.0
12,26453269,ud,2,33,4.6855438618817935,1,0,0,0,2,210,14.0
13,26453260,ud,2,69,65.11079654989734,3,0,0,0,4,210,14.0
14,26453305,ud,2,56,1.3624627063019132,1,0,0,0,2,210,14.0
15,26453284,ud,2,55,18.5378883205167,1,0,0,0,2,210,14.0
16,26453293,ud,2,32,2.6174480231115975,2,0,0,0,3,210,14.0
17,26453332,ud,2,54,39.555629916487064,12,0,0,0,13,210,14.0
18,26453314,ud,2,75,3.2240205170153704,1,0,0,0,2,210,14.0
19,26453323,ud,2,70,2.1173983831789225,1,0,0,0,2,210,14.0
20,26453374,ud,2,76,64.99467783222089,10,0,0,0,11,210,14.0
21,26453140,ud,2,11,8.124061237111682,2,0,0,0,3,210,14.0
22,26453122,ud,2,53,1.025457045906124,1,0,0,0,2,210,14.0
23,26453131,ud,2,48,4.917533154474455,1,0,0,0,2,210,14.0
24,26453170,ud,2,78,21.419992698283522,1,0,0,0,2,210,14.0
25,26453179,ud,2,65,2.6042460287689697,1,0,0,0,2,210,14.0
26,26453152,ud,2,47,1.9576234606839602,1,0,0,0,2,210,14.0
27,26453161,ud,2,46,3.425132122679953,1,0,0,0,2,210,14.0
28,26453206,ud,2,80,3.4462864198806136,1,0,0,0,2,210,14.0
29,26453215,ud,2,82,37.10135422051374,1,0,0,0,2,210,14.0
30,26453188,ud,2,31,4.629016214861243,1,0,0,0,2,210,14.0
31,26453197,ud,2,52,2.0356106445943682,1,0,0,0,2,210,14.0
32,26453233,ud,2,30,62.67683321277637,1,0,0,0,2,210,14.0
33,26453242,ud,2,79,16.77790596907249,4,0,0,0,5,210,14.0
34,26453224,ud,2,61,66.53303072137948,2,0,0,0,3,210,14.0
35,26453104,ud,2,10,5.803003954328563,1,0,0,0,2,210,14.0
36,26453113,ud,2,29,4.088303252861117,1,0,0,0,2,210,14.0
37,26453911,ud,2,28,5.1942903773768805,1,0,0,0,2,210,14.0
38,26453893,ud,2,60,4.324843221412742,1,0,0,0,2,210,14.0
39,26453902,ud,2,9,10.839469205308037,1,0,0,0,2,210,14.0
40,26453944,ud,2,8,5.797013538293509,1,0,0,0,2,210,14.0
41,26453920,ud,2,7,3.252762318739291,1,0,0,0,2,210,14.0
42,26453935,ud,2,45,1.647441242827944,1,0,0,0,2,210,14.0
43,26453977,ud,2,51,20.819552555457925,4,0,0,0,5,210,14.0
44,26453956,ud,2,44,1.9249479717975855,1,0,0,0,2,210,14.0
45,26453965,ud,2,27,1.454919337470285,1,0,0,0,2,210,14.0
46,26453995,ud,2,26,5.430431645100687,1,0,0,0,2,210,14.0
47,26453782,ud,2,68,1.5916640046579418,1,0,0,0,2,210,14.0
48,26453791,ud,2,64,6.229992653137821,1,0,0,0,2,210,14.0
49,26453773,ud,2,25,13.070405412611583,1,0,0,0,2,210,14.0
50,26453809,ud,2,43,1.5880797429410518,1,0,0,0,2,210,14.0
51,26453821,ud,2,42,1.3027136974161908,1,0,0,0,2,210,14.0
52,26453800,ud,2,6,4.741416635968779,1,0,0,0,2,210,14.0
53,26453848,ud,2,73,48.304335801576684,1,0,0,0,2,210,14.0
54,26453830,ud,2,41,1.973918748110693,1,0,0,0,2,210,14.0
55,26453839,ud,2,5,16.403523789774802,2,0,0,0,3,210,14.0
56,26453872,ud,2,24,4.366959901201021,1,0,0,0,2,210,14.0
57,26453881,ud,2,23,5.36453332147385,2,0,0,0,3,210,14.0
58,26453860,ud,2,67,1.7505388864888958,1,0,0,0,2,210,14.0
59,26453650,ud,2,59,9.85722126356288,4,0,0,0,5,210,14.0
60,26453662,ud,2,40,6.527703276829396,2,0,0,0,3,210,14.0
61,26453632,ud,2,74,13.968614745164267,1,0,0,0,2,210,14.0
62,26453641,ud,2,39,6.7858583267674835,1,0,0,0,2,210,14.0
63,26453683,ud,2,22,4.090291947582882,1,0,0,0,2,210,14.0
64,26453674,ud,2,4,3.5202110638411495,1,0,0,0,2,210,14.0
65,26453719,ud,2,66,2.9964961799712855,1,0,0,0,2,210,14.0
66,26453698,ud,2,21,5.382231226360605,1,0,0,0,2,210,14.0
67,26453707,ud,2,38,6.876532082914904,2,0,0,0,3,210,14.0
68,26453749,ud,2,58,1.588740275241007,1,0,0,0,2,210,14.0
69,26453758,ud,2,3,2.2918562451154942,1,0,0,0,2,210,14.0
70,26453728,ud,2,20,38.167260531474724,2,0,0,0,3,210,14.0
71,26453740,ud,2,19,8.004363918472542,1,0,0,0,2,210,14.0
72,26453521,ud,2,37,94.26033432968882,3,0,0,0,4,210,14.0
73,26453530,ud,2,77,1.6161373584820815,1,0,0,0,2,210,14.0
74,26453512,ud,2,2,12.193107207377217,2,0,0,0,3,210,14.0
75,26453554,ud,2,63,12.3999337667123,3,0,0,0,4,210,14.0
76,26453563,ud,2,50,2.102834997643442,1,0,0,0,2,210,14.0
77,26453542,ud,2,49,83.12859986273402,5,0,0,0,6,210,14.0
78,26453590,ud,2,18,16.045781124535193,2,0,0,0,3,210,14.0
79,26453599,ud,2,72,47.753190115859205,3,0,0,0,4,210,14.0
80,26453581,ud,2,17,19.74383356987745,1,0,0,0,2,210,14.0
81,26453623,ud,2,16,16.697353786070007,1,0,0,0,2,210,14.0
82,26453614,ud,2,1,3.4769299231022943,1,0,0,0,2,210,14.0
83,26453034,hl,2,1,685.2156573462061,0,62,0,0,62,210,14.0
84,26452241,cd,2,78,4.756008501749547,0,0,3,1,3,210,14.0
85,26452249,cd,2,48,3.2924970599823853,0,0,2,1,2,210,14.0
86,26452226,cd,2,77,3.1188969165496916,0,0,3,1,3,210,14.0
87,26452234,cd,2,47,4.411289207436869,0,0,2,1,2,210,14.0
88,26452112,cd,2,46,2.5020520863515685,0,0,2,1,2,210,14.0
89,26452119,cd,2,149,4.1104694932747865,0,0,2,2,2,210,14.0
90,26452126,cd,2,76,5.729352641855728,0,0,3,1,3,210,14.0
91,26452097,cd,2,45,2.7816908606793467,0,0,2,1,2,210,14.0
92,26452104,cd,2,75,2.8480582307212643,0,0,3,1,3,210,14.0
93,26452149,cd,2,44,7.840374396961401,0,0,2,1,2,210,14.0
94,26452156,cd,2,74,8.365936642051297,0,0,3,1,3,210,14.0
95,26452134,cd,2,73,6.532911482183927,0,0,3,1,3,210,14.0
96,26452142,cd,2,43,4.830367920424083,0,0,2,1,2,210,14.0
97,26452179,cd,2,88,8.063916366018137,0,0,4,1,4,210,14.0
98,26452188,cd,2,148,5.169631414330579,0,0,2,2,2,210,14.0
99,26452164,cd,2,42,5.432055991455671,0,0,2,1,2,210,14.0
100,26452171,cd,2,72,7.622878287513467,0,0,3,1,3,210,14.0
101,26452212,cd,2,147,7.619424512477419,0,0,2,2,2,210,14.0
102,26452219,cd,2,41,3.230100745559411,0,0,2,1,2,210,14.0
103,26452195,cd,2,87,10.556758938109091,0,0,4,1,4,210,14.0
104,26452204,cd,2,71,7.699950117753028,0,0,3,1,3,210,14.0
105,26451987,cd,2,70,18.89580784849543,0,0,3,1,3,210,14.0
106,26451995,cd,2,69,10.539152847679912,0,0,3,1,3,210,14.0
107,26451973,cd,2,40,21.088881637873705,0,0,2,1,2,210,14.0
108,26451980,cd,2,39,16.173253878380034,0,0,2,1,2,210,14.0
109,26452017,cd,2,38,7.922894230836466,0,0,2,1,2,210,14.0
110,26452024,cd,2,37,9.887648616535975,0,0,2,1,2,210,14.0
111,26452031,cd,2,36,8.24090160138918,0,0,2,1,2,210,14.0
112,26452003,cd,2,35,5.761514895154004,0,0,2,1,2,210,14.0
113,26452010,cd,2,34,7.044107825429472,0,0,2,1,2,210,14.0
114,26452052,cd,2,68,5.754180119227021,0,0,3,1,3,210,14.0
115,26452060,cd,2,33,3.1172896629767743,0,0,2,1,2,210,14.0
116,26452038,cd,2,32,4.876020178163159,0,0,2,1,2,210,14.0
117,26452045,cd,2,31,4.2090665673651095,0,0,2,1,2,210,14.0
118,26452082,cd,2,67,12.724178586215967,0,0,3,1,3,210,14.0
119,26452090,cd,2,30,4.249895878157617,0,0,2,1,2,210,14.0
120,26452067,cd,2,29,11.51251345905354,0,0,2,1,2,210,14.0
121,26452074,cd,2,66,14.057574994382026,0,0,3,1,3,210,14.0
122,26450832,cd,1,28,3.2197171701220286,0,0,2,1,2,210,14.0
123,26450839,cd,1,27,3.2197171701220286,0,0,2,1,2,210,14.0
124,26450846,cd,1,26,3.2197171701220286,0,0,2,1,2,210,14.0
125,26450817,cd,1,25,1.4398819503562859,0,0,2,1,2,210,14.0
126,26450824,cd,1,65,1.5251643153955867,0,0,3,1,3,210,14.0
127,26450867,cd,1,24,3.230739152814336,0,0,2,1,2,210,14.0
128,26450874,cd,1,23,1.0643815470991718,0,0,2,1,2,210,14.0
129,26450853,cd,1,22,3.2680718956847787,0,0,2,1,2,210,14.0
130,26450860,cd,1,21,3.4483499158485245,0,0,2,1,2,210,14.0
131,26450903,cd,2,20,34.731607285708584,0,0,2,1,2,210,14.0
132,26450910,cd,2,86,89.90724957881754,0,0,4,1,4,210,14.0
133,26450881,cd,1,19,0.8819997774315604,0,0,2,1,2,210,14.0
134,26450888,cd,1,18,1.0658926709705243,0,0,2,1,2,210,14.0
135,26450895,cd,2,64,100.18846170264108,0,0,3,1,3,210,14.0
136,26450937,cd,2,95,129.3220527733908,0,0,5,1,5,210,14.0
137,26450919,cd,2,17,41.60291377724086,0,0,2,1,2,210,14.0
138,26450926,cd,2,100,159.38484653435063,0,0,6,1,6,210,14.0
139,26450743,cd,1,16,2.188789893240332,0,0,2,1,2,210,14.0
140,26450750,cd,1,146,3.0032493649806566,0,0,2,2,2,210,14.0
141,26450771,cd,1,15,3.3199054714040797,0,0,2,1,2,210,14.0
142,26450778,cd,1,63,1.4344442337147192,0,0,3,1,3,210,14.0
143,26450757,cd,1,14,3.2197171701220286,0,0,2,1,2,210,14.0
144,26450764,cd,1,13,3.2547385623514455,0,0,2,1,2,210,14.0
145,26450801,cd,1,62,1.4344442337147192,0,0,3,1,3,210,14.0
146,26450809,cd,1,61,1.4344442337147192,0,0,3,1,3,210,14.0
147,26450786,cd,1,150,1.4495327803388385,0,0,2,3,2,210,14.0
148,26450793,cd,1,60,1.4344442337147192,0,0,3,1,3,210,14.0
149,26451359,cd,2,124,160.44183865968998,0,0,12,1,12,210,14.0
150,26451330,cd,2,145,9.486268162062677,0,0,2,2,2,210,14.0
151,26451337,cd,2,138,255.4827200800673,0,0,17,1,17,210,14.0
152,26451376,cd,2,121,128.26985610270333,0,0,11,1,11,210,14.0
153,26451412,cd,2,130,204.78328177526734,0,0,14,1,14,210,14.0
154,26451392,cd,2,133,207.17838427849063,0,0,15,1,15,210,14.0
155,26451447,cd,2,135,251.93605661136482,0,0,16,1,16,210,14.0
156,26451431,cd,2,120,158.0467361564667,0,0,11,1,11,210,14.0
157,26451225,cd,2,12,38.23049465203627,0,0,2,1,2,210,14.0
158,26451212,cd,2,108,151.73638590439666,0,0,8,1,8,210,14.0
159,26451260,cd,2,94,53.75874538449277,0,0,5,1,5,210,14.0
160,26451232,cd,2,59,36.26924532539021,0,0,3,1,3,210,14.0
161,26451240,cd,2,132,253.4948394742714,0,0,15,1,15,210,14.0
162,26451291,cd,2,105,90.22465690016148,0,0,7,1,7,210,14.0
163,26451270,cd,2,134,255.5776069833423,0,0,16,1,16,210,14.0
164,26451317,cd,2,107,110.78917134199945,0,0,8,1,8,210,14.0
165,26451303,cd,2,115,126.2819754969074,0,0,9,1,9,210,14.0
166,26451098,cd,2,104,136.11636003285872,0,0,7,1,7,210,14.0
167,26451074,cd,2,85,84.41811948891988,0,0,4,1,4,210,14.0
168,26451083,cd,2,118,182.85290565165934,0,0,10,1,10,210,14.0
169,26451127,cd,2,119,201.09444769227625,0,0,11,1,11,210,14.0
170,26451110,cd,2,123,231.15724145323605,0,0,12,1,12,210,14.0
171,26451153,cd,2,144,48.360800892173955,0,0,2,2,2,210,14.0
172,26451160,cd,2,114,195.4134070074838,0,0,9,1,9,210,14.0
173,26451143,cd,2,93,116.59010204590653,0,0,5,1,5,210,14.0
174,26451188,cd,2,11,35.19579264269991,0,0,2,1,2,210,14.0
175,26451195,cd,2,122,215.26450675742421,0,0,12,1,12,210,14.0
176,26451174,cd,2,10,51.52615048731862,0,0,2,1,2,210,14.0
177,26451181,cd,2,9,35.28308729340381,0,0,2,1,2,210,14.0
178,26450964,cd,2,106,151.20772696221087,0,0,8,1,8,210,14.0
179,26450947,cd,2,84,111.08051073277393,0,0,4,1,4,210,14.0
180,26450956,cd,2,58,56.16684554183358,0,0,3,1,3,210,14.0
181,26451003,cd,2,143,28.952203737342334,0,0,2,2,2,210,14.0
182,26450977,cd,2,103,164.10789105086016,0,0,7,1,7,210,14.0
183,26450989,cd,2,113,162.15959255049242,0,0,9,1,9,210,14.0
184,26451033,cd,2,57,85.19936287507288,0,0,3,1,3,210,14.0
185,26451010,cd,2,83,117.37134543205953,0,0,4,1,4,210,14.0
186,26451019,cd,2,112,212.41222685243687,0,0,9,1,9,210,14.0
187,26451066,cd,2,56,68.92531533401193,0,0,3,1,3,210,14.0
188,26451041,cd,2,92,99.26998914861177,0,0,5,1,5,210,14.0
189,26451051,cd,2,117,211.63098346628388,0,0,10,1,10,210,14.0
190,26451858,cd,2,102,158.1984722871799,0,0,7,1,7,210,14.0
191,26451870,cd,2,91,106.79896736196886,0,0,5,1,5,210,14.0
192,26451851,cd,2,8,69.70655872016492,0,0,2,1,2,210,14.0
193,26451898,cd,2,55,105.0123469559313,0,0,3,1,3,210,14.0
194,26451880,cd,2,142,21.636621630548465,0,0,2,2,2,210,14.0
195,26451887,cd,2,99,104.91941710933423,0,0,6,1,6,210,14.0
196,26451921,cd,2,141,9.428330205468217,0,0,2,2,2,210,14.0
197,26451928,cd,2,82,18.25830257300148,0,0,4,1,4,210,14.0
198,26451906,cd,2,7,24.110483657862147,0,0,2,1,2,210,14.0
199,26451913,cd,2,54,54.17327741882194,0,0,3,1,3,210,14.0
200,26451958,cd,2,53,15.086944954904215,0,0,3,1,3,210,14.0
201,26451966,cd,2,6,5.751276186485319,0,0,2,1,2,210,14.0
202,26451937,cd,2,5,2.785712182465951,0,0,2,1,2,210,14.0
203,26451944,cd,2,4,6.4357450311699544,0,0,2,1,2,210,14.0
204,26451951,cd,2,3,12.36439098478882,0,0,2,1,2,210,14.0
205,26451729,cd,2,52,35.54992762405938,0,0,3,1,3,210,14.0
206,26451737,cd,2,51,20.53660220361686,0,0,3,1,3,210,14.0
207,26451718,cd,2,98,92.58035358156606,0,0,6,1,6,210,14.0
208,26451761,cd,2,81,21.8427946628287,0,0,4,1,4,210,14.0
209,26451770,cd,2,50,13.722959516631047,0,0,3,1,3,210,14.0
210,26451745,cd,2,80,42.52742656325782,0,0,4,1,4,210,14.0
211,26451754,cd,2,2,11.003325457520663,0,0,2,1,2,210,14.0
212,26451800,cd,2,125,235.28602171383798,0,0,13,1,13,210,14.0
213,26451778,cd,2,90,43.833619022469655,0,0,5,1,5,210,14.0
214,26451788,cd,2,101,108.07315773647402,0,0,7,1,7,210,14.0
215,26451837,cd,2,111,181.56818970532407,0,0,9,1,9,210,14.0
216,26451818,cd,2,129,237.3687892229089,0,0,14,1,14,210,14.0
217,26451602,cd,2,110,149.02920079770533,0,0,9,1,9,210,14.0
218,26451595,cd,2,1,10.729241038936067,0,0,2,1,2,210,14.0
219,26451644,cd,2,109,142.58744255566546,0,0,9,1,9,210,14.0
220,26451616,cd,2,79,44.33398812830403,0,0,4,1,4,210,14.0
221,26451625,cd,2,128,238.08810692423975,0,0,14,1,14,210,14.0
222,26451678,cd,2,127,237.62832397604282,0,0,14,1,14,210,14.0
223,26451658,cd,2,131,239.71109148511374,0,0,15,1,15,210,14.0
224,26451697,cd,2,97,74.3581414019329,0,0,6,1,6,210,14.0
225,26451708,cd,2,89,72.01583913972809,0,0,5,1,5,210,14.0
226,26451468,cd,2,139,254.67879664585084,0,0,18,1,18,210,14.0
227,26451513,cd,2,140,5.7641174557219355,0,0,2,2,2,210,14.0
228,26451491,cd,2,137,253.11816015988373,0,0,17,1,17,210,14.0
229,26451542,cd,2,96,52.1999625215862,0,0,6,1,6,210,14.0
230,26451520,cd,2,136,251.76056937372655,0,0,17,1,17,210,14.0
231,26451568,cd,2,49,23.648085878654154,0,0,3,1,3,210,14.0
232,26451576,cd,2,126,203.0449101622087,0,0,14,1,14,210,14.0
233,26451553,cd,2,116,158.45395805389404,0,0,10,1,10,210,14.0
