counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,943933,ud,2,7,6.12546919352938,1,0,0,0,2,114,11.0
2,943951,ud,2,35,57.068581261102814,2,0,0,0,3,114,11.0
3,943942,ud,2,21,6.34419061219156,1,0,0,0,2,114,11.0
4,943963,ud,2,28,42.0336748745365,1,0,0,0,2,114,11.0
5,943981,ud,2,14,10.3529848299198,3,0,0,0,4,114,11.0
6,943972,ud,2,30,3.3741352718549518,1,0,0,0,2,114,11.0
7,943996,ud,2,27,3.7205722436268025,1,0,0,0,2,114,11.0
8,944014,ud,2,26,4.8721266360319655,1,0,0,0,2,114,11.0
9,944005,ud,2,25,4.405522693282608,1,0,0,0,2,114,11.0
10,944023,ud,2,29,9.796674864556067,3,0,0,0,4,114,11.0
11,944047,ud,2,4,4.676931883626482,1,0,0,0,2,114,11.0
12,944035,ud,2,1,3.885163549050171,1,0,0,0,2,114,11.0
13,944056,ud,2,34,1.4109495200458246,1,0,0,0,2,114,11.0
14,944074,ud,2,18,1.3534279406366099,1,0,0,0,2,114,11.0
15,944065,ud,2,3,4.170034837849302,1,0,0,0,2,114,11.0
16,944092,ud,2,20,3.377268786316665,2,0,0,0,3,114,11.0
17,944083,ud,2,11,19.272088062361856,1,0,0,0,2,114,11.0
18,944104,ud,2,17,2.617669977985893,1,0,0,0,2,114,11.0
19,944122,ud,2,6,8.106487566394293,1,0,0,0,2,114,11.0
20,944113,ud,2,31,71.82960005972701,5,0,0,0,6,114,11.0
21,944143,ud,2,16,2.672271377611631,1,0,0,0,2,114,11.0
22,944152,ud,2,2,7.7347419303337,1,0,0,0,2,114,11.0
23,944173,ud,2,5,3.115988003815984,1,0,0,0,2,114,11.0
24,944161,ud,2,24,50.83318964254712,5,0,0,0,6,114,11.0
25,944191,ud,2,19,2.0618388687435294,1,0,0,0,2,114,11.0
26,944200,ud,2,13,15.406020588025811,2,0,0,0,3,114,11.0
27,944221,ud,2,23,92.5052046322744,5,0,0,0,6,114,11.0
28,944209,ud,2,10,6.516217643016472,1,0,0,0,2,114,11.0
29,944251,ud,2,33,9.886611497957905,1,0,0,0,2,114,11.0
30,944242,ud,2,9,6.430933244696778,1,0,0,0,2,114,11.0
31,944269,ud,2,12,12.777446618169584,1,0,0,0,2,114,11.0
32,944260,ud,2,8,1.7859697279792153,1,0,0,0,2,114,11.0
33,944287,ud,2,22,5.424702101106759,2,0,0,0,3,114,11.0
34,944278,ud,2,32,6.0734169554117425,1,0,0,0,2,114,11.0
35,944299,ud,2,15,1.494318558024532,1,0,0,0,2,114,11.0
36,943888,hl,2,1,278.7432960422925,0,37,0,0,37,114,11.0
37,942093,cd,2,68,71.90384812360992,0,0,8,1,8,114,11.0
38,942082,cd,2,48,59.12640150544034,0,0,6,1,6,114,11.0
39,942106,cd,2,34,19.093247278643666,0,0,3,1,3,114,11.0
40,942123,cd,2,93,103.45199133967866,0,0,11,1,11,114,11.0
41,942114,cd,2,37,35.46223475140779,0,0,4,1,4,114,11.0
42,942139,cd,2,42,37.08406515644516,0,0,5,1,5,114,11.0
43,942149,cd,2,101,130.29934477958426,0,0,12,1,12,114,11.0
44,942166,cd,2,58,60.48780595803082,0,0,7,1,7,114,11.0
45,942188,cd,2,109,162.21140865398874,0,0,14,1,14,114,11.0
46,942178,cd,2,41,37.118554214164135,0,0,5,1,5,114,11.0
47,942207,cd,2,114,175.9813818490732,0,0,15,1,15,114,11.0
48,942227,cd,2,76,73.26525257620041,0,0,9,1,9,114,11.0
49,942252,cd,2,33,18.798332268477807,0,0,3,1,3,114,11.0
50,942241,cd,2,47,58.831486495274476,0,0,6,1,6,114,11.0
51,942260,cd,2,92,128.6775143745469,0,0,11,1,11,114,11.0
52,942276,cd,2,91,107.76154462786347,0,0,11,1,11,114,11.0
53,942292,cd,2,120,182.23302029592213,0,0,16,1,16,114,11.0
54,942313,cd,2,57,64.76287018849669,0,0,7,1,7,114,11.0
55,942335,cd,2,100,134.6088980677691,0,0,12,1,12,114,11.0
56,942325,cd,2,40,41.39361844463,0,0,5,1,5,114,11.0
57,942352,cd,2,99,106.39937305677681,0,0,12,1,12,114,11.0
58,942376,cd,2,46,40.031446873543324,0,0,6,1,6,114,11.0
59,942369,cd,2,27,6.93561838320599,0,0,2,1,2,114,11.0
60,942387,cd,2,105,133.2467264966824,0,0,13,1,13,114,11.0
61,942405,cd,2,119,171.9024728658,0,0,16,1,16,114,11.0
62,942426,cd,2,56,46.8096184259754,0,0,7,1,7,114,11.0
63,942438,cd,2,113,155.2112194837454,0,0,15,1,15,114,11.0
64,942458,cd,2,55,40.96489074920091,0,0,7,1,7,114,11.0
65,942470,cd,2,90,77.1115891112372,0,0,11,1,11,114,11.0
66,942486,cd,2,39,14.299995503560355,0,0,5,1,5,114,11.0
67,942496,cd,2,98,79.00970537484764,0,0,12,1,12,114,11.0
68,942513,cd,2,108,134.18017037234,0,0,14,1,14,114,11.0
69,942532,cd,2,104,107.33281693243441,0,0,13,1,13,114,11.0
70,942550,cd,2,67,42.44386668792018,0,0,8,1,8,114,11.0
71,942563,cd,2,123,181.30669432282923,0,0,18,1,18,114,11.0
72,942586,cd,2,66,63.400698617410015,0,0,8,1,8,114,11.0
73,942599,cd,2,84,76.1781452355796,0,0,10,1,10,114,11.0
74,942614,cd,2,118,167.95486488968797,0,0,16,1,16,114,11.0
75,942635,cd,2,54,42.86201044986339,0,0,7,1,7,114,11.0
76,942647,cd,2,75,66.23126219373007,0,0,9,1,9,114,11.0
77,942661,cd,2,112,151.26361150763339,0,0,15,1,15,114,11.0
78,942681,cd,2,89,79.00870881189967,0,0,11,1,11,114,11.0
79,942697,cd,2,97,109.21138022637764,0,0,12,1,12,114,11.0
80,942714,cd,2,122,183.68285589443627,0,0,17,1,17,114,11.0
81,942743,cd,2,65,66.21270578701083,0,0,8,1,8,114,11.0
