counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,50021113,ud,2,24,1.4656504810528435,1,0,0,0,2,206,2.0
2,50021104,ud,2,54,1.939056350289239,1,0,0,0,2,206,2.0
3,50021095,ud,2,63,3.2137208297345166,1,0,0,0,2,206,2.0
4,50021080,ud,2,45,11.36311605128365,3,0,0,0,4,206,2.0
5,50021071,ud,2,80,3.47908845486509,2,0,0,0,3,206,2.0
6,50021062,ud,2,72,3.6586407200369617,1,0,0,0,2,206,2.0
7,50021053,ud,2,44,1.7003716130004785,1,0,0,0,2,206,2.0
8,50021044,ud,2,71,5.071036210544521,2,0,0,0,3,206,2.0
9,50021035,ud,2,23,2.0292937870408,1,0,0,0,2,206,2.0
10,50021026,ud,2,3,2.6927842388896757,1,0,0,0,2,206,2.0
11,50021017,ud,2,77,2.4147507592557536,1,0,0,0,2,206,2.0
12,50021008,ud,2,32,2.587252489656672,1,0,0,0,2,206,2.0
13,50020996,ud,2,53,3.443236413753099,2,0,0,0,3,206,2.0
14,50020987,ud,2,62,2.0891511096611524,1,0,0,0,2,206,2.0
15,50020978,ud,2,76,56.99473927751558,3,0,0,0,4,206,2.0
16,50020969,ud,2,78,4.015193782797579,1,0,0,0,2,206,2.0
17,50020957,ud,2,22,48.02105231383598,2,0,0,0,3,206,2.0
18,50020948,ud,2,68,4.163356222819388,1,0,0,0,2,206,2.0
19,50020939,ud,2,21,1.9133305059436192,1,0,0,0,2,206,2.0
20,50020921,ud,2,52,35.35525066221909,4,0,0,0,5,206,2.0
21,50020912,ud,2,61,4.229239405531006,1,0,0,0,2,206,2.0
22,50020903,ud,2,31,1.4190289518108194,1,0,0,0,2,206,2.0
23,50020894,ud,2,51,4.694026009335873,1,0,0,0,2,206,2.0
24,50020885,ud,2,50,1.8055989802346217,1,0,0,0,2,206,2.0
25,50020876,ud,2,20,3.2599436073957397,1,0,0,0,2,206,2.0
26,50020867,ud,2,43,7.02089445771815,1,0,0,0,2,206,2.0
27,50021374,ud,2,19,2.0411911831554037,1,0,0,0,2,206,2.0
28,50021353,ud,2,30,5.6054875268250655,2,0,0,0,3,206,2.0
29,50021344,ud,2,87,45.020377074452895,1,0,0,0,2,206,2.0
30,50021335,ud,2,42,28.810868829826607,2,0,0,0,3,206,2.0
31,50021326,ud,2,18,16.406636409539594,1,0,0,0,2,206,2.0
32,50021314,ud,2,67,19.43296560358889,1,0,0,0,2,206,2.0
33,50021296,ud,2,29,4.002063801882698,1,0,0,0,2,206,2.0
34,50021278,ud,2,41,3.438880069536361,1,0,0,0,2,206,2.0
35,50021269,ud,2,17,9.67486567772852,3,0,0,0,4,206,2.0
36,50021260,ud,2,40,2.200423839288572,1,0,0,0,2,206,2.0
37,50021245,ud,2,86,3.2570309051498456,1,0,0,0,2,206,2.0
38,50021230,ud,2,39,1.7157131566264563,1,0,0,0,2,206,2.0
39,50021221,ud,2,60,1.7552958531449163,1,0,0,0,2,206,2.0
40,50021212,ud,2,28,6.740055070828996,2,0,0,0,3,206,2.0
41,50021203,ud,2,66,5.295543081838026,1,0,0,0,2,206,2.0
42,50021194,ud,2,49,6.350250366957632,1,0,0,0,2,206,2.0
43,50021185,ud,2,10,17.241151655882565,1,0,0,0,2,206,2.0
44,50021176,ud,2,88,2.1500252404734086,1,0,0,0,2,206,2.0
45,50021167,ud,2,79,1.480271583765428,1,0,0,0,2,206,2.0
46,50021158,ud,2,48,34.490745424400586,1,0,0,0,2,206,2.0
47,50021149,ud,2,9,2.1003459460812506,1,0,0,0,2,206,2.0
48,50021140,ud,2,38,3.794938977503893,1,0,0,0,2,206,2.0
49,50021131,ud,2,70,8.894135550268167,4,0,0,0,5,206,2.0
50,50021122,ud,2,85,3.4276870281782594,1,0,0,0,2,206,2.0
51,50020858,ud,2,16,5.837554629781833,1,0,0,0,2,206,2.0
52,50020846,ud,2,15,1.4211730315053837,1,0,0,0,2,206,2.0
53,50020837,ud,2,84,6.641143029902632,1,0,0,0,2,206,2.0
54,50020828,ud,2,8,3.060500581309491,1,0,0,0,2,206,2.0
55,50020813,ud,2,7,3.9835527127016594,1,0,0,0,2,206,2.0
56,50020789,ud,2,47,78.08463889203088,2,0,0,0,3,206,2.0
57,50020777,ud,2,14,18.767236922752023,1,0,0,0,2,206,2.0
58,50020768,ud,2,59,50.818911066734685,2,0,0,0,3,206,2.0
59,50020759,ud,2,82,16.16855981620307,1,0,0,0,2,206,2.0
60,50020750,ud,2,65,107.35041179698337,5,0,0,0,6,206,2.0
61,50020741,ud,2,27,1.862561883372335,1,0,0,0,2,206,2.0
62,50020729,ud,2,26,6.938838012858971,2,0,0,0,3,206,2.0
63,50020720,ud,2,6,3.435903828495393,1,0,0,0,2,206,2.0
64,50020711,ud,2,83,9.86496973711056,1,0,0,0,2,206,2.0
65,50020702,ud,2,2,3.499892658833582,1,0,0,0,2,206,2.0
66,50020693,ud,2,64,37.62287930201988,8,0,0,0,9,206,2.0
67,50020681,ud,2,1,3.5080645286389167,1,0,0,0,2,206,2.0
68,50020672,ud,2,13,14.433804071301218,3,0,0,0,4,206,2.0
69,50020657,ud,2,37,27.34516949505994,4,0,0,0,5,206,2.0
70,50020648,ud,2,75,71.6118430419489,3,0,0,0,4,206,2.0
71,50020639,ud,2,36,102.42410834688795,3,0,0,0,4,206,2.0
72,50020630,ud,2,12,2.139739048095655,1,0,0,0,2,206,2.0
73,50020621,ud,2,11,16.44595181339529,1,0,0,0,2,206,2.0
74,50020612,ud,2,35,59.876765642769314,2,0,0,0,3,206,2.0
75,50021605,ud,2,5,1.2950569537869052,1,0,0,0,2,206,2.0
76,50021587,ud,2,46,67.5376067191979,1,0,0,0,2,206,2.0
77,50021578,ud,2,58,4.285511480042782,1,0,0,0,2,206,2.0
78,50021536,ud,2,4,8.685670275799149,1,0,0,0,2,206,2.0
79,50021524,ud,2,34,4.06920802088864,2,0,0,0,3,206,2.0
80,50021512,ud,2,57,59.38007599464599,12,0,0,0,13,206,2.0
81,50021503,ud,2,74,28.629834378239885,1,0,0,0,2,206,2.0
82,50021482,ud,2,33,49.15791751013269,1,0,0,0,2,206,2.0
83,50021473,ud,2,56,190.7140934640506,1,0,0,0,2,206,2.0
84,50021461,ud,2,25,4.574929344315175,1,0,0,0,2,206,2.0
85,50021452,ud,2,73,1.8067767743904506,1,0,0,0,2,206,2.0
86,50021401,ud,2,81,412.9493251880705,15,0,0,0,16,206,2.0
87,50021392,ud,2,69,202.19839531306653,2,0,0,0,3,206,2.0
88,50021383,ud,2,55,13.42440622677995,1,0,0,0,2,206,2.0
89,50014973,cd,1,83,1.3160186573817638,0,0,3,1,3,206,2.0
90,50014966,cd,1,55,1.0897592820404498,0,0,2,1,2,206,2.0
91,50014952,cd,1,54,3.378138644405691,0,0,2,1,2,206,2.0
92,50014959,cd,1,53,3.331542847349306,0,0,2,1,2,206,2.0
93,50014945,cd,1,52,5.860078922416604,0,0,2,1,2,206,2.0
94,50014938,cd,1,51,3.3360289584604175,0,0,2,1,2,206,2.0
95,50014931,cd,1,50,3.331542847349306,0,0,2,1,2,206,2.0
96,50014924,cd,1,49,3.331542847349306,0,0,2,1,2,206,2.0
97,50014917,cd,1,48,3.459987291793751,0,0,2,1,2,206,2.0
98,50014910,cd,1,47,3.359295161499708,0,0,2,1,2,206,2.0
99,50014903,cd,1,46,3.351883755617106,0,0,2,1,2,206,2.0
100,50014888,cd,1,314,1.4517080455877749,0,0,2,3,2,206,2.0
101,50014895,cd,1,82,1.442812198104361,0,0,3,1,3,206,2.0
102,50014880,cd,1,81,1.442812198104361,0,0,3,1,3,206,2.0
103,50014872,cd,1,80,1.442812198104361,0,0,3,1,3,206,2.0
104,50014864,cd,1,79,1.442812198104361,0,0,3,1,3,206,2.0
105,50014857,cd,1,45,1.16431720781951,0,0,2,1,2,206,2.0
106,50014850,cd,1,44,2.17889963897596,0,0,2,1,2,206,2.0
107,50014843,cd,1,310,1.8652206253692165,0,0,2,2,2,206,2.0
108,50015231,cd,2,78,54.72044579675021,0,0,3,1,3,206,2.0
109,50015220,cd,2,116,242.1183337560611,0,0,6,1,6,206,2.0
110,50015210,cd,2,108,208.83476187112686,0,0,5,1,5,206,2.0
111,50015197,cd,2,141,309.655940475259,0,0,8,1,8,206,2.0
112,50015185,cd,2,127,313.03198392502736,0,0,7,1,7,206,2.0
113,50015169,cd,2,181,414.20054981540756,0,0,11,1,11,206,2.0
114,50015160,cd,2,98,212.21080532089516,0,0,4,1,4,206,2.0
115,50015145,cd,2,167,423.9397762931809,0,0,10,1,10,206,2.0
116,50015138,cd,2,43,165.7494236369308,0,0,2,1,2,206,2.0
117,50015130,cd,2,77,346.1441608005261,0,0,3,1,3,206,2.0
118,50015123,cd,2,42,318.2419889085792,0,0,2,1,2,206,2.0
119,50015104,cd,2,41,161.69408643314134,0,0,2,1,2,206,2.0
120,50015111,cd,2,126,303.96464412640967,0,0,7,1,7,206,2.0
121,50015093,cd,2,115,299.4588366398304,0,0,6,1,6,206,2.0
122,50015085,cd,2,76,198.63765803569817,0,0,3,1,3,206,2.0
123,50015075,cd,2,107,259.8234018125794,0,0,5,1,5,206,2.0
