counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,81948392,ud,2,81,18.22285348122361,1,0,0,0,2,252,16.0
2,81948401,ud,2,43,21.242563925781997,1,0,0,0,2,252,16.0
3,81948410,ud,2,19,4.235573520989673,1,0,0,0,2,252,16.0
4,81948362,ud,2,80,92.40196609914891,4,0,0,0,5,252,16.0
5,81948371,ud,2,58,100.73206612170466,3,0,0,0,4,252,16.0
6,81948383,ud,2,72,152.53966307549726,6,0,0,0,7,252,16.0
7,81948296,ud,2,76,88.03916528047903,20,0,0,0,21,252,16.0
8,81948260,ud,2,42,4.345205081629526,2,0,0,0,3,252,16.0
9,81948269,ud,2,57,70.94614860445304,2,0,0,0,3,252,16.0
10,81948278,ud,2,56,237.0775356702004,1,0,0,0,2,252,16.0
11,81948287,ud,2,71,4.137464203875083,1,0,0,0,2,252,16.0
12,81948251,ud,2,18,1.6133835002054324,1,0,0,0,2,252,16.0
13,81948647,ud,2,17,2.2690149202515637,1,0,0,0,2,252,16.0
14,81948656,ud,2,41,6.4703631032551066,1,0,0,0,2,252,16.0
15,81948665,ud,2,40,4.24723722071879,1,0,0,0,2,252,16.0
16,81948611,ud,2,70,15.377311618354478,4,0,0,0,5,252,16.0
17,81948620,ud,2,85,2.9016205142665865,1,0,0,0,2,252,16.0
18,81948629,ud,2,69,3.209134150544961,1,0,0,0,2,252,16.0
19,81948638,ud,2,79,4.581550113902747,1,0,0,0,2,252,16.0
20,81948578,ud,2,16,21.45904410294017,1,0,0,0,2,252,16.0
21,81948587,ud,2,39,6.167587988264014,1,0,0,0,2,252,16.0
22,81948596,ud,2,38,12.404189975500937,3,0,0,0,4,252,16.0
23,81948551,ud,2,55,1.7988677487759888,1,0,0,0,2,252,16.0
24,81948560,ud,2,37,5.640309613515413,1,0,0,0,2,252,16.0
25,81948569,ud,2,75,5.418989879659753,1,0,0,0,2,252,16.0
26,81948518,ud,2,78,57.9557572189687,15,0,0,0,16,252,16.0
27,81948482,ud,2,68,4.481006759045449,1,0,0,0,2,252,16.0
28,81948491,ud,2,54,6.664126900091195,1,0,0,0,2,252,16.0
29,81948455,ud,2,53,52.16786446865373,4,0,0,0,5,252,16.0
30,81948473,ud,2,52,6.9487894630403595,1,0,0,0,2,252,16.0
31,81948419,ud,2,51,8.256936459413218,3,0,0,0,4,252,16.0
32,81948437,ud,2,36,18.03082111500016,1,0,0,0,2,252,16.0
33,81948446,ud,2,50,4.90536671392044,1,0,0,0,2,252,16.0
34,81948899,ud,2,91,3.8174573894112496,1,0,0,0,2,252,16.0
35,81948908,ud,2,92,2.2890114070212553,1,0,0,0,2,252,16.0
36,81948917,ud,2,35,3.156382369146112,1,0,0,0,2,252,16.0
37,81948926,ud,2,15,6.494981013725308,1,0,0,0,2,252,16.0
38,81948872,ud,2,14,1.8861410902125533,1,0,0,0,2,252,16.0
39,81948881,ud,2,13,3.0459571529522704,1,0,0,0,2,252,16.0
40,81948833,ud,2,95,1.7224683538268677,1,0,0,0,2,252,16.0
