counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,1627802,ud,2,23,6.481246135306693,1,0,0,0,2,113,9.0
2,1627793,ud,2,8,7.191579527602988,1,0,0,0,2,113,9.0
3,1627832,ud,2,24,3.403571611473703,1,0,0,0,2,113,9.0
4,1627823,ud,2,29,41.62563866250912,1,0,0,0,2,113,9.0
5,1627811,ud,2,33,56.26835140348486,2,0,0,0,3,113,9.0
6,1627868,ud,2,28,4.550905414956576,1,0,0,0,2,113,9.0
7,1627859,ud,2,27,3.6478114879919623,1,0,0,0,2,113,9.0
8,1627841,ud,2,22,14.381440360220875,5,0,0,0,6,113,9.0
9,1627895,ud,2,4,3.850848593981471,1,0,0,0,2,113,9.0
10,1627886,ud,2,21,7.873237914208158,2,0,0,0,3,113,9.0
11,1627877,ud,2,26,4.758175893186785,1,0,0,0,2,113,9.0
12,1627934,ud,2,3,4.0488828060503135,1,0,0,0,2,113,9.0
13,1627925,ud,2,32,1.645131074860946,1,0,0,0,2,113,9.0
14,1627916,ud,2,13,1.9298636179315913,1,0,0,0,2,113,9.0
15,1627907,ud,2,7,4.574234110314494,1,0,0,0,2,113,9.0
16,1627967,ud,2,15,2.61420154304631,1,0,0,0,2,113,9.0
17,1627955,ud,2,20,3.4791538327876994,2,0,0,0,3,113,9.0
18,1627943,ud,2,19,39.12815295837659,2,0,0,0,3,113,9.0
19,1627985,ud,2,6,8.85703596941131,1,0,0,0,2,113,9.0
20,1627976,ud,2,31,80.56680813006756,5,0,0,0,6,113,9.0
21,1628024,ud,2,25,53.8941905973837,5,0,0,0,6,113,9.0
22,1628015,ud,2,2,7.9684918147717525,1,0,0,0,2,113,9.0
23,1628006,ud,2,14,2.6205611890931277,1,0,0,0,2,113,9.0
24,1628054,ud,2,18,18.524064216391412,3,0,0,0,4,113,9.0
25,1628039,ud,2,5,3.097462776846605,1,0,0,0,2,113,9.0
26,1628084,ud,2,30,1.5554774238605429,1,0,0,0,2,113,9.0
27,1628075,ud,2,11,8.342604982489187,1,0,0,0,2,113,9.0
28,1628066,ud,2,17,2.049063928858491,1,0,0,0,2,113,9.0
29,1628126,ud,2,10,5.774370772114084,1,0,0,0,2,113,9.0
30,1628105,ud,2,16,79.14964920466882,4,0,0,0,5,113,9.0
31,1628096,ud,2,1,7.5135535429004765,1,0,0,0,2,113,9.0
32,1628144,ud,2,12,12.747077290755431,1,0,0,0,2,113,9.0
33,1628135,ud,2,9,1.9341712097796384,1,0,0,0,2,113,9.0
34,1627740,hl,2,1,249.97291439180876,0,45,0,0,43,113,9.0
35,1626494,cd,1,85,3.034782889466612,0,0,2,4,2,113,9.0
36,1626522,cd,1,25,1.72459707856182,0,0,2,1,2,113,9.0
37,1626515,cd,1,24,1.7534523993626658,0,0,2,1,2,113,9.0
38,1626508,cd,1,23,1.72459707856182,0,0,2,1,2,113,9.0
39,1626501,cd,1,22,1.848454221418963,0,0,2,1,2,113,9.0
40,1626557,cd,1,82,1.1364582733884134,0,0,2,2,2,113,9.0
41,1626550,cd,1,21,0.9644251451413345,0,0,2,1,2,113,9.0
42,1626536,cd,1,20,1.7534523993626658,0,0,2,1,2,113,9.0
43,1626543,cd,1,19,1.72459707856182,0,0,2,1,2,113,9.0
44,1626529,cd,1,18,1.72459707856182,0,0,2,1,2,113,9.0
