counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,2794031,ud,2,29,5.883970959902914,2,0,0,0,3,179,13.0
2,2794022,ud,2,7,12.286150835854778,1,0,0,0,2,179,13.0
3,2794040,ud,2,11,10.475768973674509,2,0,0,0,3,179,13.0
4,2794010,ud,2,15,4.355591956088055,2,0,0,0,3,179,13.0
5,2794082,ud,2,25,20.718652389746595,7,0,0,0,8,179,13.0
6,2794106,ud,2,24,4.033733046803489,1,0,0,0,2,179,13.0
7,2794052,ud,2,31,63.81954749841509,2,0,0,0,3,179,13.0
8,2794073,ud,2,10,3.6198753925765357,1,0,0,0,2,179,13.0
9,2794064,ud,2,23,48.519362241189945,1,0,0,0,2,179,13.0
10,2794151,ud,2,6,2.0002341853142065,1,0,0,0,2,179,13.0
11,2794169,ud,2,28,1.6911904058934824,1,0,0,0,2,179,13.0
12,2794160,ud,2,3,2.9153424809711175,1,0,0,0,2,179,13.0
13,2794124,ud,2,26,8.413113155024869,3,0,0,0,4,179,13.0
14,2794115,ud,2,22,3.9389051253074725,1,0,0,0,2,179,13.0
15,2794139,ud,2,5,7.529254910441117,2,0,0,0,3,179,13.0
16,2794220,ud,2,21,74.0175100042323,3,0,0,0,4,179,13.0
17,2794211,ud,2,2,10.980401934325268,1,0,0,0,2,179,13.0
18,2794229,ud,2,20,76.49812946526707,2,0,0,0,3,179,13.0
19,2794187,ud,2,14,2.33230002985684,1,0,0,0,2,179,13.0
20,2794178,ud,2,19,47.80908691516878,2,0,0,0,3,179,13.0
21,2794199,ud,2,13,3.7533805885327007,2,0,0,0,3,179,13.0
22,2794283,ud,2,30,5.115258088725395,2,0,0,0,3,179,13.0
23,2794295,ud,2,9,19.503795894407055,3,0,0,0,4,179,13.0
24,2794247,ud,2,18,4.758542549084025,1,0,0,0,2,179,13.0
25,2794268,ud,2,1,5.014051180382527,1,0,0,0,2,179,13.0
26,2794256,ud,2,8,52.285827397305525,3,0,0,0,4,179,13.0
27,2794337,ud,2,17,95.52487421486076,5,0,0,0,6,179,13.0
28,2794361,ud,2,4,5.3440289496174795,1,0,0,0,2,179,13.0
29,2794316,ud,2,27,1.7484187563516456,1,0,0,0,2,179,13.0
30,2794307,ud,2,16,1.5807316233450683,1,0,0,0,2,179,13.0
31,2794325,ud,2,12,1.5594397510355407,1,0,0,0,2,179,13.0
32,2793853,hl,1,2,25.586880803492573,0,91,0,0,85,179,13.0
33,2793952,hl,2,1,260.20881794726006,0,50,0,0,48,179,13.0
34,2793477,cd,2,25,4.544952611802252,0,0,2,1,2,179,13.0
35,2792958,cd,1,24,1.9912192758582605,0,0,2,1,2,179,13.0
36,2793000,cd,1,23,1.8951347076860006,0,0,2,1,2,179,13.0
37,2793007,cd,1,22,0.9644251451413345,0,0,2,1,2,179,13.0
38,2792993,cd,1,21,1.8673621330011176,0,0,2,1,2,179,13.0
39,2793021,cd,2,20,82.8255739264653,0,0,2,1,2,179,13.0
40,2793014,cd,1,19,1.0637620619010038,0,0,2,1,2,179,13.0
41,2792972,cd,1,18,1.8673621330011176,0,0,2,1,2,179,13.0
42,2792965,cd,1,17,1.8951347076860006,0,0,2,1,2,179,13.0
43,2792986,cd,1,16,1.8673621330011176,0,0,2,1,2,179,13.0
44,2792979,cd,1,15,1.8673621330011176,0,0,2,1,2,179,13.0
45,2793066,cd,2,39,117.44529626210422,0,0,5,1,5,179,13.0
46,2793083,cd,2,60,13.31427589118844,0,0,2,2,2,179,13.0
47,2793076,cd,2,14,77.7284639851606,0,0,2,1,2,179,13.0
48,2793036,cd,2,13,75.02987928994713,0,0,2,1,2,179,13.0
49,2793028,cd,2,30,106.6032007859929,0,0,3,1,3,179,13.0
50,2793054,cd,2,55,161.35799748774582,0,0,7,1,7,179,13.0
51,2793043,cd,2,47,138.74256620273218,0,0,6,1,6,179,13.0
52,2793128,cd,2,29,42.08887193690028,0,0,3,1,3,179,13.0
53,2793121,cd,2,12,18.311245077372686,0,0,2,1,2,179,13.0
54,2793146,cd,2,34,42.181605262501165,0,0,4,1,4,179,13.0
55,2793136,cd,2,38,44.23076132054354,0,0,5,1,5,179,13.0
56,2793097,cd,2,59,46.273017582760865,0,0,2,2,2,179,13.0
57,2793090,cd,2,11,39.908487239937834,0,0,2,1,2,179,13.0
58,2793113,cd,2,28,20.654804932770137,0,0,3,1,3,179,13.0
59,2793104,cd,2,33,44.432431792297734,0,0,4,1,4,179,13.0
60,2793195,cd,2,32,27.33283695450175,0,0,4,1,4,179,13.0
61,2793184,cd,2,46,50.79380914294952,0,0,6,1,6,179,13.0
62,2793211,cd,2,56,53.10759166539623,0,0,8,1,8,179,13.0
63,2793204,cd,2,10,10.911981044348003,0,0,2,1,2,179,13.0
64,2793163,cd,2,37,44.87023159376926,0,0,5,1,5,179,13.0
65,2793155,cd,2,27,18.403978402973568,0,0,3,1,3,179,13.0
66,2793173,cd,2,45,53.68872564079305,0,0,6,1,6,179,13.0
67,2793253,cd,2,54,53.859594041873414,0,0,7,1,7,179,13.0
68,2793277,cd,2,44,52.27264709734103,0,0,6,1,6,179,13.0
69,2793265,cd,2,53,58.44867641171206,0,0,7,1,7,179,13.0
70,2793224,cd,2,9,5.574266948822865,0,0,2,1,2,179,13.0
71,2793231,cd,2,26,9.832798212233197,0,0,3,1,3,179,13.0
72,2793246,cd,2,8,7.680710855940981,0,0,2,1,2,179,13.0
73,2793239,cd,2,7,7.062085850876104,0,0,2,1,2,179,13.0
74,2793319,cd,2,52,50.15880744581331,0,0,7,1,7,179,13.0
75,2793341,cd,2,43,25.124127371233776,0,0,6,1,6,179,13.0
76,2793331,cd,2,36,13.876432009617146,0,0,5,1,5,179,13.0
77,2793288,cd,2,58,5.842254134233739,0,0,2,2,2,179,13.0
78,2793295,cd,2,51,52.50164005068785,0,0,7,1,7,179,13.0
79,2793307,cd,2,50,52.517358648460444,0,0,7,1,7,179,13.0
80,2793384,cd,2,35,51.11046381402935,0,0,5,1,5,179,13.0
81,2793401,cd,2,42,48.55502379474576,0,0,6,1,6,179,13.0
82,2793394,cd,2,6,8.185672623984043,0,0,2,1,2,179,13.0
83,2793352,cd,2,49,48.90175423076138,0,0,7,1,7,179,13.0
84,2793373,cd,2,41,49.1157615404524,0,0,6,1,6,179,13.0
85,2793364,cd,2,31,14.09043931930817,0,0,4,1,4,179,13.0
86,2793449,cd,2,5,3.601532379075014,0,0,2,1,2,179,13.0
87,2793442,cd,2,4,2.6017603489950627,0,0,2,1,2,179,13.0
88,2793470,cd,2,57,10.542983727512143,0,0,2,2,2,179,13.0
89,2793456,cd,2,3,3.9052287979903877,0,0,2,1,2,179,13.0
90,2793463,cd,2,2,3.499537217688677,0,0,2,1,2,179,13.0
91,2793412,cd,2,48,51.13328562150946,0,0,7,1,7,179,13.0
92,2793435,cd,2,1,7.156283041356934,0,0,2,1,2,179,13.0
93,2793424,cd,2,40,49.25565315021849,0,0,6,1,6,179,13.0
