counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,3272758,ud,2,30,4.884842823499431,2,0,0,0,3,204,15.0
2,3272740,ud,2,9,17.35515876881083,2,0,0,0,3,204,15.0
3,3272749,ud,2,16,5.076690803302002,1,0,0,0,2,204,15.0
4,3272725,ud,2,5,5.256633038239478,1,0,0,0,2,204,15.0
5,3272710,ud,2,15,58.31416649910079,3,0,0,0,4,204,15.0
6,3272803,ud,2,27,120.2841191231855,7,0,0,0,8,204,15.0
7,3272788,ud,2,14,3.762602352724259,1,0,0,0,2,204,15.0
8,3272770,ud,2,33,5.287455230342873,2,0,0,0,3,204,15.0
9,3272779,ud,2,29,8.182171346150641,1,0,0,0,2,204,15.0
10,3272872,ud,2,8,12.327076551257655,1,0,0,0,2,204,15.0
11,3272851,ud,2,24,5.153459164686883,1,0,0,0,2,204,15.0
12,3272860,ud,2,13,4.71427390923404,2,0,0,0,3,204,15.0
13,3272833,ud,2,28,4.353399727107748,1,0,0,0,2,204,15.0
14,3272842,ud,2,4,6.275559574534219,1,0,0,0,2,204,15.0
15,3272506,ud,2,32,6.374384577580047,2,0,0,0,3,204,15.0
16,3272485,ud,2,3,5.317831424409739,1,0,0,0,2,204,15.0
17,3272494,ud,2,34,83.03651484050513,3,0,0,0,4,204,15.0
18,3272560,ud,2,23,3.970029173458958,1,0,0,0,2,204,15.0
19,3272569,ud,2,22,3.96338812482452,1,0,0,0,2,204,15.0
20,3272533,ud,2,12,3.5811996476136803,1,0,0,0,2,204,15.0
21,3272515,ud,2,21,54.76645392277325,1,0,0,0,2,204,15.0
22,3272524,ud,2,26,24.99009742737021,8,0,0,0,9,204,15.0
23,3272632,ud,2,11,2.497192833351974,1,0,0,0,2,204,15.0
24,3272614,ud,2,2,2.855151342893663,1,0,0,0,2,204,15.0
25,3272623,ud,2,31,1.7910110338523009,1,0,0,0,2,204,15.0
26,3272593,ud,2,7,7.660951159498678,2,0,0,0,3,204,15.0
27,3272605,ud,2,6,2.1762138085521365,1,0,0,0,2,204,15.0
28,3272578,ud,2,25,8.346256021559162,3,0,0,0,4,204,15.0
