counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,4497,ud,2,2,7.728814201918423,2,0,0,0,3,9,5.0
2,4506,ud,2,4,4.523774156508485,1,0,0,0,2,9,5.0
3,4515,ud,2,5,10.01046245893356,2,0,0,0,3,9,5.0
4,4527,ud,2,3,5.0146552502217805,1,0,0,0,2,9,5.0
5,4539,ud,2,1,10.359538912854667,2,0,0,0,3,9,5.0
6,4418,cd,2,3,12.407864625806003,0,0,3,1,3,9,5.0
7,4426,cd,2,5,19.665436292590712,0,0,5,1,5,9,5.0
8,4436,cd,2,2,7.819159849507845,0,0,2,1,2,9,5.0
9,4443,cd,2,6,14.77985853041056,0,0,3,2,3,9,5.0
10,4451,cd,2,1,7.362718374657247,0,0,2,1,2,9,5.0
11,4458,cd,2,4,12.603784762113804,0,0,4,1,4,9,5.0
