counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,102569,ud,2,2,10.848843701949237,2,0,0,0,3,9,7.0
2,102581,ud,2,1,7.900910271065882,2,0,0,0,3,9,7.0
3,102590,ud,2,4,5.5549175758657015,1,0,0,0,2,9,7.0
4,102599,ud,2,3,4.64354685781075,1,0,0,0,2,9,7.0
5,102608,ud,2,5,10.712370874421225,2,0,0,0,3,9,7.0
6,102439,cd,2,3,8.193631120518207,0,0,2,1,2,9,7.0
7,102446,cd,2,4,12.827088072220938,0,0,3,1,3,9,7.0
8,102454,cd,2,8,22.429295624290667,0,0,5,1,5,9,7.0
9,102464,cd,2,2,8.039050830733972,0,0,2,1,2,9,7.0
10,102471,cd,2,9,21.667625736368393,0,0,6,1,6,9,7.0
11,102482,cd,2,6,18.692893266457567,0,0,4,1,4,9,7.0
12,102491,cd,2,10,15.776689235244373,0,0,3,2,3,9,7.0
13,102499,cd,2,1,7.832648324419079,0,0,2,1,2,9,7.0
14,102506,cd,2,7,16.396904869230355,0,0,5,1,5,9,7.0
15,102516,cd,2,5,13.480700838017158,0,0,4,1,4,9,7.0
