counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,123499,ud,2,1,9.236239655217245,1,0,0,0,2,8,7.0
2,123508,ud,2,2,7.661039842159851,2,0,0,0,3,8,7.0
3,123517,ud,2,4,5.387130195084595,1,0,0,0,2,8,7.0
4,123526,ud,2,3,4.576380438753493,1,0,0,0,2,8,7.0
5,123535,ud,2,5,10.394985627462738,2,0,0,0,3,8,7.0
6,123407,cd,2,3,12.58962808899571,0,0,3,1,3,8,7.0
7,123415,cd,2,5,21.928425735417502,0,0,5,1,5,8,7.0
8,123425,cd,2,2,7.615778003210266,0,0,2,1,2,8,7.0
9,123432,cd,2,6,20.838377243965823,0,0,6,1,6,8,7.0
10,123443,cd,2,4,18.105925648641833,0,0,4,1,4,8,7.0
11,123452,cd,2,7,15.278312035349014,0,0,3,2,3,8,7.0
12,123460,cd,2,1,7.946646776876369,0,0,2,1,2,8,7.0
