counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,189172,ud,2,2,17.170928995200235,1,0,0,0,2,44,13.0
2,189181,ud,2,1,19.72016906416424,2,0,0,0,3,44,13.0
3,189112,hl,1,2,7.036289791332315,0,22,0,0,23,44,13.0
4,189143,hl,2,1,57.31622596980611,0,21,0,0,19,44,13.0
5,188972,cd,1,3,2.0103516199928357,0,0,3,1,3,44,13.0
6,188980,cd,1,5,2.2681316681600507,0,0,5,1,5,44,13.0
7,188990,cd,1,4,2.065038101214642,0,0,4,1,4,44,13.0
8,188999,cd,1,1,1.4679371502169363,0,0,2,1,2,44,13.0
9,189006,cd,1,2,1.2909829845790868,0,0,3,1,3,44,13.0
10,189014,cd,1,8,1.0749317321828706,0,0,2,3,2,44,13.0
11,189021,cd,2,9,21.316478629096103,0,0,2,5,2,44,13.0
12,189028,cd,2,6,19.279804948289076,0,0,2,2,2,44,13.0
13,189035,cd,2,7,29.618335631976244,0,0,2,3,2,44,13.0
