counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,204918,ud,2,2,17.393123428959832,1,0,0,0,2,46,13.0
2,204927,ud,2,1,19.930570173366775,2,0,0,0,3,46,13.0
3,204856,hl,1,1,7.027903180415233,0,22,0,0,23,46,13.0
4,204887,hl,2,2,58.60661324270165,0,23,0,0,21,46,13.0
5,204707,cd,1,2,1.2390294102435178,0,0,2,1,2,46,13.0
6,204714,cd,1,5,2.548867340099547,0,0,6,1,6,46,13.0
7,204725,cd,1,4,2.464335032490859,0,0,5,1,5,46,13.0
8,204735,cd,1,3,1.3567686360279958,0,0,3,1,3,46,13.0
9,204743,cd,1,1,1.384420329970698,0,0,2,1,2,46,13.0
10,204750,cd,1,8,1.0651791397006267,0,0,2,3,2,46,13.0
11,204757,cd,2,9,21.549415616354047,0,0,2,5,2,46,13.0
12,204764,cd,2,6,19.52293451472694,0,0,2,2,2,46,13.0
13,204771,cd,2,7,30.024349778351727,0,0,2,3,2,46,13.0
