counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,236105,ud,2,2,17.428097390935154,1,0,0,0,2,46,13.0
2,236114,ud,2,1,19.967793168715886,2,0,0,0,3,46,13.0
3,236043,hl,1,1,7.029438492915235,0,22,0,0,23,46,13.0
4,236074,hl,2,2,58.72318885423855,0,23,0,0,21,46,13.0
5,235894,cd,1,2,1.2390294102435178,0,0,2,1,2,46,13.0
6,235901,cd,1,5,2.548867340099547,0,0,6,1,6,46,13.0
7,235912,cd,1,4,2.464335032490859,0,0,5,1,5,46,13.0
8,235922,cd,1,3,1.3567686360279958,0,0,3,1,3,46,13.0
9,235930,cd,1,1,1.3844203299706979,0,0,2,1,2,46,13.0
10,235937,cd,1,8,1.0651791397006267,0,0,2,3,2,46,13.0
11,235944,cd,2,9,21.588019778008544,0,0,2,5,2,46,13.0
12,235951,cd,2,6,19.560420606911954,0,0,2,2,2,46,13.0
13,235958,cd,2,7,30.089845371052554,0,0,2,3,2,46,13.0
