counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,267517,ud,2,2,16.58954082950764,1,0,0,0,2,27,11.0
2,267526,ud,2,1,20.624963809722445,3,0,0,0,4,27,11.0
3,267490,hl,2,1,55.407928148071946,0,19,0,0,17,27,11.0
4,267302,cd,1,13,1.6111050683990324,0,0,2,6,2,27,11.0
5,267309,cd,1,9,1.7024750836894564,0,0,3,1,3,27,11.0
6,267317,cd,1,8,1.9315119308844104,0,0,3,1,3,27,11.0
7,267325,cd,1,5,1.1189171315293114,0,0,2,1,2,27,11.0
8,267332,cd,1,4,1.3696203518807328,0,0,2,1,2,27,11.0
9,267339,cd,1,7,1.5758263753326278,0,0,3,1,3,27,11.0
10,267347,cd,1,10,2.2041670222063345,0,0,4,1,4,27,11.0
11,267356,cd,1,3,1.2051865228291148,0,0,2,1,2,27,11.0
12,267363,cd,1,12,1.1429228938855278,0,0,2,3,2,27,11.0
13,267370,cd,1,2,1.1321181770092563,0,0,2,1,2,27,11.0
14,267377,cd,2,6,22.367527052626542,0,0,3,1,3,27,11.0
15,267385,cd,2,11,28.413797014943825,0,0,2,3,2,27,11.0
16,267392,cd,2,1,18.620366054414646,0,0,2,1,2,27,11.0
