counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,318544,ud,2,3,19.993395926686855,1,0,0,0,2,28,14.0
2,318553,ud,2,1,20.749602741427687,2,0,0,0,3,28,14.0
3,318565,ud,2,2,19.186871875995124,1,0,0,0,2,28,14.0
4,318574,ud,2,4,17.242937455742776,1,0,0,0,2,28,14.0
5,318512,hl,2,1,73.44500767085779,0,24,0,0,20,28,14.0
6,318286,cd,1,12,2.0458073252749314,0,0,3,1,3,28,14.0
7,318294,cd,1,7,1.5023289749698194,0,0,2,1,2,28,14.0
8,318301,cd,1,14,2.4781479866284526,0,0,4,1,4,28,14.0
9,318310,cd,1,6,1.4073293288861424,0,0,2,1,2,28,14.0
10,318317,cd,1,11,1.6388179899345081,0,0,3,1,3,28,14.0
11,318325,cd,1,13,2.1831266843656323,0,0,4,1,4,28,14.0
12,318334,cd,1,5,1.2073076727069991,0,0,2,1,2,28,14.0
13,318341,cd,1,15,1.064965365137263,0,0,2,3,2,28,14.0
14,318348,cd,1,4,1.0543380183996174,0,0,2,1,2,28,14.0
15,318355,cd,2,3,19.003370903112156,0,0,2,1,2,28,14.0
16,318362,cd,2,16,35.47589993506025,0,0,2,5,2,28,14.0
17,318369,cd,2,10,38.86179036214162,0,0,3,1,3,28,14.0
18,318377,cd,2,2,19.244920620319245,0,0,2,1,2,28,14.0
19,318384,cd,2,9,23.755812538632703,0,0,3,1,3,28,14.0
20,318392,cd,2,8,27.40213166193031,0,0,3,1,3,28,14.0
21,318400,cd,2,1,22.89123974361685,0,0,2,1,2,28,14.0
