counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,406644,ud,2,3,21.2486730271746,1,0,0,0,2,27,14.0
2,406653,ud,2,1,21.776337303699954,2,0,0,0,3,27,14.0
3,406665,ud,2,2,20.110373871052037,1,0,0,0,2,27,14.0
4,406674,ud,2,4,18.13887226303677,1,0,0,0,2,27,14.0
5,406613,hl,2,1,76.46431070708248,0,23,0,0,19,27,14.0
6,406356,cd,1,8,1.6699618505250977,0,0,2,1,2,27,14.0
7,406363,cd,1,13,2.476765399556629,0,0,3,1,3,27,14.0
8,406371,cd,1,15,2.647353967830231,0,0,4,1,4,27,14.0
9,406380,cd,1,7,1.5202276993713388,0,0,2,1,2,27,14.0
10,406387,cd,1,6,1.8924747131639423,0,0,2,1,2,27,14.0
11,406394,cd,1,12,1.7548548343234536,0,0,3,1,3,27,14.0
12,406402,cd,1,5,1.2120192522572482,0,0,2,1,2,27,14.0
13,406409,cd,1,14,2.3391455207161407,0,0,4,1,4,27,14.0
14,406418,cd,1,4,1.0943417502933492,0,0,2,1,2,27,14.0
15,406425,cd,1,16,1.1039143705626682,0,0,2,2,2,27,14.0
16,406439,cd,2,17,37.5001409216805,0,0,2,7,2,27,14.0
17,406432,cd,2,3,20.026276631567647,0,0,2,1,2,27,14.0
18,406446,cd,2,11,41.03329463449076,0,0,3,1,3,27,14.0
19,406454,cd,2,2,20.23489928727349,0,0,2,1,2,27,14.0
20,406461,cd,2,10,25.232104419942193,0,0,3,1,3,27,14.0
21,406469,cd,2,9,28.96648498026688,0,0,3,1,3,27,14.0
22,406477,cd,2,1,23.969279847598177,0,0,2,1,2,27,14.0
