counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,494554,ud,2,3,20.513043571369288,1,0,0,0,2,29,14.0
2,494563,ud,2,1,20.894108384188375,2,0,0,0,3,29,14.0
3,494575,ud,2,2,19.43992940344013,1,0,0,0,2,29,14.0
4,494584,ud,2,4,17.542385238370425,1,0,0,0,2,29,14.0
5,494521,hl,2,1,76.14092146328234,0,25,0,0,21,29,14.0
6,494283,cd,1,8,1.6695937111715393,0,0,2,1,2,29,14.0
7,494290,cd,1,13,2.6468521296560055,0,0,4,1,4,29,14.0
8,494299,cd,1,7,1.5199763428760436,0,0,2,1,2,29,14.0
9,494306,cd,1,10,2.4764827398176257,0,0,3,1,3,29,14.0
10,494314,cd,1,6,1.8923248774292407,0,0,2,1,2,29,14.0
11,494321,cd,1,9,1.7547295749674634,0,0,3,1,3,29,14.0
12,494329,cd,1,5,1.2120116505758864,0,0,2,1,2,29,14.0
13,494336,cd,1,12,2.3388874373558486,0,0,4,1,4,29,14.0
14,494345,cd,1,4,1.0942080337957378,0,0,2,1,2,29,14.0
15,494359,cd,2,3,33.38393574082548,0,0,2,1,2,29,14.0
16,494352,cd,1,14,1.1037806345473449,0,0,2,2,2,29,14.0
17,494366,cd,2,15,25.184536640283525,0,0,2,7,2,29,14.0
18,494373,cd,2,11,38.81164884676612,0,0,4,1,4,29,14.0
19,494382,cd,2,2,19.36343580537459,0,0,2,1,2,29,14.0
20,494389,cd,2,1,23.038308304425207,0,0,2,1,2,29,14.0
