counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,24326,ud,2,1,18.829016500313674,2,0,0,0,3,51,12.0
2,24338,ud,2,3,17.324308255931705,1,0,0,0,2,51,12.0
3,24347,ud,2,2,5.066772987003949,1,0,0,0,2,51,12.0
4,24260,hl,1,2,8.237497614105067,0,27,0,0,27,51,12.0
5,24295,hl,2,1,56.934783060504614,0,23,0,0,21,51,12.0
6,24067,cd,1,11,1.382676822425307,0,0,3,2,3,51,12.0
7,24075,cd,1,6,2.7829452727854527,0,0,5,1,5,51,12.0
8,24085,cd,1,10,2.325119101977563,0,0,3,2,3,51,12.0
9,24093,cd,1,3,1.3174615743016487,0,0,2,1,2,51,12.0
10,24100,cd,1,13,2.1704296551043747,0,0,2,5,2,51,12.0
11,24107,cd,1,9,1.449512762383864,0,0,2,2,2,51,12.0
12,24114,cd,1,12,1.2713601579040046,0,0,2,3,2,51,12.0
13,24121,cd,1,4,2.372006945537076,0,0,3,1,3,51,12.0
14,24129,cd,2,2,17.542433646396674,0,0,2,1,2,51,12.0
15,24136,cd,2,5,26.423708024363126,0,0,4,1,4,51,12.0
16,24145,cd,2,8,28.7644215332103,0,0,2,2,2,51,12.0
17,24152,cd,2,1,6.311286915590882,0,0,2,1,2,51,12.0
18,24060,cd,1,7,1.6950118563616479,0,0,2,2,2,51,12.0
