counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,538478,ud,2,4,20.297086782965486,1,0,0,0,2,29,14.0
2,538469,ud,2,1,20.749109553502358,2,0,0,0,3,29,14.0
3,538490,ud,2,2,19.262701629011147,1,0,0,0,2,29,14.0
4,538499,ud,2,3,17.39374124571414,1,0,0,0,2,29,14.0
5,538436,hl,2,1,75.66355779889044,0,25,0,0,21,29,14.0
6,538204,cd,1,8,1.892353513639167,0,0,2,1,2,29,14.0
7,538219,cd,1,7,1.520002522099051,0,0,2,1,2,29,14.0
8,538211,cd,1,11,2.4765138771630264,0,0,3,1,3,29,14.0
9,538235,cd,1,6,1.6696125724191075,0,0,2,1,2,29,14.0
10,538226,cd,1,14,2.6468889900705346,0,0,4,1,4,29,14.0
11,538251,cd,1,5,1.2120366333148347,0,0,2,1,2,29,14.0
12,538242,cd,1,13,2.3389231012863183,0,0,4,1,4,29,14.0
13,538266,cd,1,15,1.10379906762464,0,0,2,2,2,29,14.0
14,538258,cd,1,10,1.7547627377624586,0,0,3,1,3,29,14.0
15,538280,cd,2,4,19.236048829545037,0,0,2,1,2,29,14.0
16,538287,cd,2,9,26.66328805295388,0,0,3,1,3,29,14.0
17,538273,cd,1,3,1.0942261278809653,0,0,2,1,2,29,14.0
18,538295,cd,2,12,38.50970158866183,0,0,4,1,4,29,14.0
19,538304,cd,2,2,33.09301453088055,0,0,2,1,2,29,14.0
20,538311,cd,2,1,22.826129972855885,0,0,2,1,2,29,14.0
