counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,629677,ud,2,4,20.742349291748912,1,0,0,0,2,29,14.0
2,629686,ud,2,2,21.15328740147905,2,0,0,0,3,29,14.0
3,629707,ud,2,3,17.922442390735238,1,0,0,0,2,29,14.0
4,629698,ud,2,1,20.054744708508213,1,0,0,0,2,29,14.0
5,629644,hl,2,1,77.46455109629879,0,25,0,0,21,29,14.0
6,629403,cd,1,14,1.8341371242515558,0,0,2,2,2,29,14.0
7,629396,cd,1,16,2.114554498094354,0,0,2,7,2,29,14.0
8,629418,cd,1,5,1.7985374142403612,0,0,2,1,2,29,14.0
9,629410,cd,1,15,2.4357724621273005,0,0,3,2,3,29,14.0
10,629433,cd,1,10,2.5986913172300428,0,0,4,1,4,29,14.0
11,629425,cd,1,8,1.8422317371207382,0,0,3,1,3,29,14.0
12,629449,cd,1,11,3.2003266551057874,0,0,5,1,5,29,14.0
13,629442,cd,1,4,1.3211928200552099,0,0,2,1,2,29,14.0
14,629467,cd,1,13,1.1205242400062283,0,0,2,2,2,29,14.0
15,629459,cd,1,7,2.400172752116106,0,0,3,1,3,29,14.0
16,629481,cd,2,3,33.93555229726137,0,0,2,1,2,29,14.0
17,629474,cd,1,2,1.1118029468654238,0,0,2,1,2,29,14.0
18,629503,cd,2,9,39.32414072553118,0,0,4,1,4,29,14.0
19,629488,cd,2,1,19.62363044822077,0,0,2,1,2,29,14.0
20,629495,cd,2,6,27.27684894781902,0,0,3,1,3,29,14.0
21,629512,cd,2,12,24.0963795104903,0,0,2,2,2,29,14.0
