counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,651639,ud,2,2,21.112334057115433,2,0,0,0,3,29,13.0
2,651660,ud,2,1,20.04122805590996,1,0,0,0,2,29,13.0
3,651648,ud,2,4,20.757307341525227,1,0,0,0,2,29,13.0
4,651669,ud,2,3,17.93495698813699,1,0,0,0,2,29,13.0
5,651606,hl,2,1,77.48810544945117,0,25,0,0,21,29,13.0
6,651353,cd,1,15,2.114554498094354,0,0,2,7,2,29,13.0
7,651375,cd,1,5,1.7985374142403612,0,0,2,1,2,29,13.0
8,651360,cd,1,12,1.8341371242515558,0,0,2,2,2,29,13.0
9,651367,cd,1,14,2.4357724621273005,0,0,3,2,3,29,13.0
10,651390,cd,1,8,2.5986913172300428,0,0,4,1,4,29,13.0
11,651382,cd,1,7,1.8422317371207382,0,0,3,1,3,29,13.0
12,651406,cd,1,9,3.2003266551057874,0,0,5,1,5,29,13.0
13,651399,cd,1,4,1.3211928200552099,0,0,2,1,2,29,13.0
14,651416,cd,1,6,2.400172752116106,0,0,3,1,3,29,13.0
15,651438,cd,2,13,37.406062006788815,0,0,3,2,3,29,13.0
16,651424,cd,1,11,1.1205242400062283,0,0,2,2,2,29,13.0
17,651431,cd,1,3,1.1118029468654238,0,0,2,1,2,29,13.0
18,651453,cd,2,16,25.51214026547398,0,0,2,8,2,29,13.0
19,651446,cd,2,2,19.8674395586975,0,0,2,1,2,29,13.0
20,651467,cd,2,10,24.07998169424345,0,0,2,2,2,29,13.0
21,651460,cd,2,1,19.54081460385715,0,0,2,1,2,29,13.0
