counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,673724,ud,2,2,20.673893158698498,2,0,0,0,3,29,12.0
2,673715,ud,2,3,20.380366958534534,1,0,0,0,2,29,12.0
3,673733,ud,2,1,19.649879313583668,1,0,0,0,2,29,12.0
4,673684,hl,2,1,73.86260818825384,0,23,0,0,20,29,12.0
5,673448,cd,1,12,2.0922608178732185,0,0,2,2,2,29,12.0
6,673455,cd,1,6,1.832784268265095,0,0,3,1,3,29,12.0
7,673440,cd,1,14,2.666614421139743,0,0,3,2,3,29,12.0
8,673470,cd,1,5,1.7583864513093608,0,0,3,1,3,29,12.0
9,673463,cd,1,4,1.6377101011034902,0,0,2,1,2,29,12.0
10,673487,cd,1,3,1.3017999321376257,0,0,2,1,2,29,12.0
11,673478,cd,1,8,2.482923514069381,0,0,4,1,4,29,12.0
12,673494,cd,1,9,3.7004638096890843,0,0,6,1,6,29,12.0
13,673514,cd,1,15,1.8607269879728818,0,0,2,5,2,29,12.0
14,673505,cd,1,7,2.8552503967231933,0,0,4,1,4,29,12.0
15,673528,cd,1,11,1.0930819301009012,0,0,2,2,2,29,12.0
16,673535,cd,2,16,25.298237085326466,0,0,2,8,2,29,12.0
17,673521,cd,1,2,1.0843532109076084,0,0,2,1,2,29,12.0
18,673550,cd,2,1,19.072165596712466,0,0,2,1,2,29,12.0
19,673542,cd,2,13,36.41979782003526,0,0,3,2,3,29,12.0
20,673557,cd,2,10,23.837261795424737,0,0,2,2,2,29,12.0
